CdS 10 s emission nm (uv 278 nm),,
Wavelength (nm),Intensity (a.u.),
646.9500122,-6.99706316,
647.9699707,-7.228135109,
648.9799805,-6.953481674,
650,-7.421362877,
651,-7.332709789,
652,-7.338777065,
653,-7.426468372,
654,-7.268599987,
655,-7.374597549,
656,-7.43789196,
657,-8.092937469,
658,-7.901531696,
659,-7.668284893,
660,-8.002038002,
661.0100098,-8.198450089,
662.0200195,-7.780230045,
663.039978,-8.085897446,
664.0499878,-8.449583054,
665.0700073,-8.042928696,
665.9400024,-8.235805511,
666.9500122,-8.251272202,
667.9699707,-8.558689117,
668.9799805,-8.488513947,
670,-8.007080078,
671,-8.354106903,
672,-8.502660751,
673,-8.173634529,
674,-8.462507248,
675,-8.473731995,
676,-8.310455322,
677,-8.444125175,
678,-8.371786118,
679,-8.137588501,
680,-8.615312576,
681,-8.524553299,
682,-8.305545807,
683,-7.9049263,
684,-8.758733749,
685,-8.049987793,
686,-8.15887928,
687,-8.077415466,
688,-8.043321609,
689,-8.051927567,
690,-8.190662384,
691,-7.973279476,
692,-8.213960648,
693,-7.888019085,
694,-7.977255344,
695,-8.146924019,
696,-7.710453987,
697,-7.351709843,
698,-8.028673172,
699,-7.684691429,
700,-7.843847275,
701,-7.314337254,
702,-7.13723278,
703,-7.469027042,
704,-7.16432333,
705,-7.324755669,
706,-7.252070427,
707,-6.668179512,
708,-6.795097828,
709,-7.120096207,
710,-6.800281525,
710.9799805,-6.447999001,
711.9699707,-6.808620453,
712.9500122,-6.782394409,
713.9400024,-6.231093407,
715.0700073,-6.765426636,
716.0499878,-6.41867733,
717.039978,-6.34280014,
718.0200195,-6.382092476,
719.0100098,-6.034208298,
720,-6.146879196,
720.9799805,-6.475769997,
721.9699707,-6.300902367,
722.9500122,-6.163773537,
723.9400024,-5.859080315,
725.0700073,-5.812664986,
726.0499878,-5.825634003,
727.039978,-5.417092323,
728.0200195,-5.31918335,
729.0100098,-5.669013977,
730,-5.229146004,
730.9799805,-4.99947834,
731.9699707,-5.170336723,
732.9500122,-4.708683968,
733.9400024,-4.663085938,
735.0700073,-5.135920525,
736.0499878,-5.163118362,
737.039978,-4.927343369,
738.0200195,-4.708937645,
739.0100098,-4.091219902,
740,-4.396141052,
740.9799805,-4.136013031,
741.9699707,-4.164658546,
742.9500122,-4.174104691,
743.9400024,-4.271252632,
745.0700073,-4.175753593,
746.0499878,-4.540802956,
747.039978,-3.922099113,
748.0200195,-4.097468376,
749.0100098,-4.720894814,
750,-4.647776604,
750.9699707,-4.612060547,
751.9400024,-5.020061493,
753.0499878,-4.742743492,
754.0200195,-4.741467476,
755,-4.918406487,
755.9699707,-4.840500832,
756.9400024,-4.461659431,
758.0499878,-4.714617729,
759.0200195,-4.922222137,
760,-4.63640213,
760.9799805,-5.363636017,
761.9699707,-5.068981171,
762.9500122,-5.368287086,
763.9400024,-5.8166399,
765.0700073,-5.550248146,
766.0499878,-5.466245651,
767.039978,-6.131882668,
768.0200195,-5.751223564,
769.0100098,-6.107444763,
770,-6.210651398,
770.9500122,-6.209172249,
772.0499878,-6.735225677,
773.0100098,-6.64847374,
773.9699707,-7.100414276,
775.0599976,-6.893998146,
776.0200195,-7.264652252,
776.9799805,-7.246418476,
777.9400024,-7.67505312,
779.039978,-7.886610508,
780,-8.145771027,
780.9699707,-8.119033813,
781.9400024,-8.004940033,
783.0499878,-8.529242516,
784.0200195,-8.711742401,
785,-8.442285538,
785.9699707,-8.991124153,
786.9400024,-8.722989082,
788.0499878,-9.000955582,
789.0200195,-9.365854263,
790,-9.440543175,
790.9500122,-9.247430801,
792.0499878,-9.747339249,
793.0100098,-9.529697418,
793.9699707,-10.19134426,
795.0599976,-9.926675797,
796.0200195,-9.900513649,
796.9799805,-10.21326828,
797.9400024,-10.31246948,
799.039978,-10.25200558,
800,-10.18802261,

