CdS 10 s emmision (uv 278 nm)-Em.,,
Wavelength (nm),Intensity (a.u.),
552.9799805,21.50689316,
553.8800049,40.12408066,
554.9199829,65.92928314,
555.9699707,101.052948,
556.8599854,125.0137558,
557.9099731,168.3649292,
558.9500122,211.0168762,
559.8499756,248.912262,
560.8900146,289.6098633,
561.9400024,315.2807007,
562.9799805,335.7643127,
563.8800049,341.6340637,
564.9199829,325.923584,
565.9699707,284.2322388,
566.8599854,240.2745667,
567.9099731,181.8197021,
568.9500122,129.4755554,
569.8499756,85.98273468,
570.8800049,46.16557693,
571.9099731,21.63977814,
572.9400024,6.290147781,
573.9699707,-1.685963631,
574.8499756,-5.505025864,
575.8800049,-6.83192873,
576.9099731,-7.583304405,
577.9400024,-8.117837906,
578.9699707,-7.622173309,
579.8499756,-7.814678669,
580.8800049,-7.567826748,
581.9099731,-7.648078442,
582.9400024,-7.382778645,
583.9699707,-7.235201359,
584.8499756,-6.585961342,
585.8800049,-7.083620071,
586.9099731,-6.44187355,
587.9400024,-6.658644676,
588.9699707,-6.920931816,
589.8499756,-5.943449974,
590.8800049,-5.934559822,
591.9099731,-6.084236145,
592.9400024,-5.822216988,
593.9699707,-5.755724907,
594.8499756,-5.906089783,
595.8800049,-5.719660759,
596.9099731,-5.691087723,
597.9400024,-6.06413269,
598.9699707,-5.420902252,
599.8499756,-5.306432724,
600.8800049,-5.016021729,
601.9099731,-5.070925713,
602.9400024,-5.23413372,
603.9699707,-5.066333771,
604.8499756,-4.612175941,
605.8800049,-4.97806263,
606.9099731,-4.319777489,
607.9400024,-4.526042938,
608.9699707,-4.40581131,
609.8499756,-4.681974411,
610.8599854,-3.180912971,
611.8800049,-3.57681942,
612.8900146,-3.715831757,
613.9099731,-3.550147057,
614.9199829,-3.028569221,
615.9400024,-3.436211586,
616.9500122,-4.234249115,
617.9699707,-4.00290966,
618.9799805,-3.817844391,
619.8499756,-4.583464622,
620.8800049,-4.61151886,
621.9099731,-4.578332901,
622.9400024,-4.858527184,
623.9699707,-4.987008095,
624.8499756,-5.500580788,
625.8800049,-5.109243393,
626.9099731,-5.7526474,
627.9400024,-5.599809647,
628.9699707,-5.952583313,
629.8499756,-5.508052826,
630.8599854,-5.256635666,
631.8800049,-6.025550842,
632.8900146,-5.554029465,
633.9099731,-6.403989792,
634.9199829,-6.147882462,
635.9400024,-6.593855858,
636.9500122,-6.471366882,
637.9699707,-6.74768877,
638.9799805,-6.333234787,
639.8499756,-6.306435585,
640.8599854,-7.240400314,
641.8800049,-6.738703251,
642.8900146,-6.563911438,
643.9099731,-7.003071308,
644.9199829,-6.748557568,
645.9400024,-6.578828812,
646.9500122,-6.437678337,
647.9699707,-6.883079052,
648.9799805,-6.564920425,
649.8499756,-6.965051651,
650.8499756,-7.31335783,
651.8499756,-6.907461166,
652.8499756,-6.383160591,
653.8499756,-7.180747986,
654.8499756,-7.614530563,
655.8499756,-7.612190723,
656.8499756,-7.260340691,
657.8499756,-7.669440746,
658.8499756,-7.638960361,
659.8499756,-7.359703064,
660.8599854,-7.750517845,
661.8800049,-7.451933384,
662.8900146,-7.568224907,
663.9099731,-8.020580292,
664.9199829,-7.777194977,
665.9400024,-7.842422962,
666.9500122,-7.913889408,
667.9699707,-8.055452347,
668.9799805,-8.097000122,
669.8499756,-7.82340765,
670.8499756,-7.719917774,
671.8499756,-7.652075768,
672.8499756,-7.978851318,
673.8499756,-7.707673073,
674.8499756,-7.875597954,
675.8499756,-7.221124172,
676.8499756,-7.399707317,
677.8499756,-7.65228796,
678.8499756,-7.567524433,
679.8499756,-8.001625061,
680.8499756,-7.636862278,
681.8499756,-7.40488863,
682.8499756,-7.229454517,
683.8499756,-6.913786888,
684.8499756,-7.353683949,
685.8499756,-6.982223988,
686.8499756,-7.143604279,
687.8499756,-7.664772987,
688.8499756,-7.353592873,
689.8499756,-7.660695553,
690.8499756,-6.751384258,
691.8499756,-7.243834972,
692.8499756,-6.82088995,
693.8499756,-7.441085815,
694.8499756,-6.980950356,
695.8499756,-7.791400909,
696.8499756,-6.559509277,
697.8499756,-7.378366947,
698.8499756,-6.281855583,
699.8499756,-6.79432869,
700.8499756,-6.232586861,
701.8499756,-6.526092529,
702.8499756,-6.796126842,
703.8499756,-6.159113884,
704.8499756,-6.232851028,
705.8499756,-5.943786621,
706.8499756,-6.304927826,
707.8499756,-6.334994316,
708.8499756,-5.841345787,
709.8499756,-5.50389576,
710.9799805,-5.871012688,
711.9699707,-5.266356468,
712.9500122,-5.518098831,
713.9400024,-5.115652084,
714.9199829,-4.867900848,
715.9099731,-5.079733849,
716.9000244,-5.258475304,
717.8800049,-5.254524231,
718.8699951,-4.663830757,
719.8499756,-4.668232918,
720.9799805,-5.006967545,
721.9699707,-3.841850281,
722.9500122,-4.402113914,
