X: (s),Y: (Hits)
9.16758e-09,8
9.18588e-09,8
9.20418e-09,11
9.22248e-09,16
9.24078e-09,6
9.25909e-09,8
9.27739e-09,8
9.29569e-09,7
9.31399e-09,11
9.33229e-09,10
9.3506e-09,14
9.3689e-09,13
9.3872e-09,5
9.4055e-09,9
9.4238e-09,9
9.44211e-09,9
9.46041e-09,7
9.47871e-09,10
9.49701e-09,3
9.51531e-09,4
9.53361e-09,9
9.55192e-09,3
9.57022e-09,6
9.58852e-09,10
9.60682e-09,11
9.62512e-09,16
9.64343e-09,8
9.66173e-09,9
9.68003e-09,7
9.69833e-09,11
9.71663e-09,4
9.73494e-09,8
9.75324e-09,2
9.77154e-09,7
9.78984e-09,4
9.80814e-09,4
9.82645e-09,7
9.84475e-09,8
9.86305e-09,9
9.88135e-09,2
9.89965e-09,7
9.91795e-09,7
9.93626e-09,2
9.95456e-09,8
9.97286e-09,2
9.99116e-09,9
1.00095e-08,7
1.00278e-08,8
1.00461e-08,7
1.00644e-08,4
1.00827e-08,5
1.0101e-08,6
1.01193e-08,7
1.01376e-08,8
1.01559e-08,5
1.01742e-08,0
1.01925e-08,1
1.02108e-08,11
1.02291e-08,9
1.02474e-08,9
1.02657e-08,11
1.0284e-08,6
1.03023e-08,2
1.03206e-08,6
1.03389e-08,12
1.03572e-08,6
1.03755e-08,4
1.03938e-08,6
1.04121e-08,6
1.04304e-08,4
1.04487e-08,3
1.0467e-08,3
1.04853e-08,4
1.05036e-08,8
1.05219e-08,6
1.05402e-08,3
1.05585e-08,1
1.05768e-08,8
1.05951e-08,2
1.06134e-08,5
1.06317e-08,7
1.065e-08,9
1.06683e-08,6
1.06866e-08,7
1.07049e-08,1
1.07232e-08,6
1.07415e-08,9
1.07598e-08,4
1.07781e-08,5
1.07964e-08,4
1.08147e-08,2
1.0833e-08,2
1.08514e-08,4
1.08697e-08,8
1.0888e-08,7
1.09063e-08,6
1.09246e-08,6
1.09429e-08,4
1.09612e-08,4
1.09795e-08,5
1.09978e-08,8
1.10161e-08,6
1.10344e-08,7
1.10527e-08,3
1.1071e-08,2
1.10893e-08,2
1.11076e-08,6
1.11259e-08,4
1.11442e-08,14
1.11625e-08,6
1.11808e-08,6
1.11991e-08,1
1.12174e-08,1
1.12357e-08,0
1.1254e-08,4
1.12723e-08,3
1.12906e-08,2
1.13089e-08,2
1.13272e-08,3
1.13455e-08,4
1.13638e-08,7
1.13821e-08,4
1.14004e-08,3
1.14187e-08,3
1.1437e-08,1
1.14553e-08,3
1.14736e-08,2
1.14919e-08,4
1.15102e-08,2
1.15285e-08,5
1.15468e-08,8
1.15651e-08,3
1.15834e-08,4
1.16017e-08,6
1.162e-08,2
1.16383e-08,3
1.16566e-08,2
1.16749e-08,5
1.16932e-08,4
1.17115e-08,2
1.17298e-08,4
1.17481e-08,5
1.17664e-08,6
1.17847e-08,4
1.1803e-08,0
1.18213e-08,1
1.18397e-08,4
1.1858e-08,3
1.18763e-08,5
1.18946e-08,3
1.19129e-08,1
1.19312e-08,4
1.19495e-08,3
1.19678e-08,5
1.19861e-08,1
1.20044e-08,2
1.20227e-08,4
1.2041e-08,3
1.20593e-08,5
1.20776e-08,2
1.20959e-08,5
1.21142e-08,3
1.21325e-08,3
1.21508e-08,4
1.21691e-08,5
1.21874e-08,1
1.22057e-08,2
1.2224e-08,2
1.22423e-08,4
1.22606e-08,3
1.22789e-08,4
1.22972e-08,6
1.23155e-08,1
1.23338e-08,3
1.23521e-08,0
1.23704e-08,2
1.23887e-08,3
1.2407e-08,3
1.24253e-08,1
1.24436e-08,2
1.24619e-08,3
1.24802e-08,2
1.24985e-08,3
1.25168e-08,3
1.25351e-08,0
1.25534e-08,3
1.25717e-08,3
1.259e-08,2
1.26083e-08,1
1.26266e-08,3
1.26449e-08,3
1.26632e-08,2
1.26815e-08,2
1.26998e-08,1
1.27181e-08,1
1.27364e-08,1
1.27547e-08,1
1.2773e-08,0
1.27913e-08,3
1.28097e-08,3
1.2828e-08,1
1.28463e-08,3
1.28646e-08,2
1.28829e-08,2
1.29012e-08,2
1.29195e-08,1
1.29378e-08,4
1.29561e-08,2
1.29744e-08,2
1.29927e-08,4
1.3011e-08,1
1.30293e-08,0
1.30476e-08,3
1.30659e-08,2
1.30842e-08,0
1.31025e-08,2
1.31208e-08,0
1.31391e-08,1
1.31574e-08,0
1.31757e-08,0
1.3194e-08,4
1.32123e-08,3
1.32306e-08,1
1.32489e-08,2
1.32672e-08,3
1.32855e-08,1
1.33038e-08,1
1.33221e-08,4
1.33404e-08,1
1.33587e-08,2
1.3377e-08,3
1.33953e-08,1
1.34136e-08,2
1.34319e-08,4
1.34502e-08,2
1.34685e-08,5
1.34868e-08,0
1.35051e-08,2
1.35234e-08,3
1.35417e-08,1
1.356e-08,1
1.35783e-08,4
1.35966e-08,1
1.36149e-08,3
1.36332e-08,2
1.36515e-08,4
1.36698e-08,2
1.36881e-08,3
1.37064e-08,3
1.37247e-08,3
1.3743e-08,1
1.37613e-08,2
1.37797e-08,2
1.3798e-08,3
1.38163e-08,2
1.38346e-08,4
1.38529e-08,0
1.38712e-08,3
1.38895e-08,2
1.39078e-08,1
1.39261e-08,0
1.39444e-08,2
1.39627e-08,2
1.3981e-08,2
1.39993e-08,1
1.40176e-08,3
1.40359e-08,2
1.40542e-08,0
1.40725e-08,2
1.40908e-08,6
1.41091e-08,1
1.41274e-08,1
1.41457e-08,0
1.4164e-08,0
1.41823e-08,0
1.42006e-08,2
1.42189e-08,0
1.42372e-08,2
1.42555e-08,2
1.42738e-08,0
1.42921e-08,1
1.43104e-08,1
1.43287e-08,1
1.4347e-08,2
1.43653e-08,4
1.43836e-08,1
1.44019e-08,0
1.44202e-08,3
1.44385e-08,1
1.44568e-08,2
1.44751e-08,4
1.44934e-08,1
1.45117e-08,1
1.453e-08,0
1.45483e-08,0
1.45666e-08,3
1.45849e-08,1
1.46032e-08,1
1.46215e-08,1
1.46398e-08,1
1.46581e-08,0
1.46764e-08,1
1.46947e-08,0
1.4713e-08,3
1.47313e-08,0
1.47497e-08,0
1.4768e-08,0
1.47863e-08,1
1.48046e-08,1
1.48229e-08,1
1.48412e-08,3
1.48595e-08,2
1.48778e-08,1
1.48961e-08,0
1.49144e-08,2
1.49327e-08,2
1.4951e-08,1
1.49693e-08,2
1.49876e-08,1
1.50059e-08,2
1.50242e-08,3
1.50425e-08,1
1.50608e-08,1
1.50791e-08,1
1.50974e-08,1
1.51157e-08,1
1.5134e-08,4
1.51523e-08,3
1.51706e-08,2
1.51889e-08,0
1.52072e-08,1
1.52255e-08,1
1.52438e-08,0
1.52621e-08,2
1.52804e-08,0
1.52987e-08,0
1.5317e-08,0
1.53353e-08,0
1.53536e-08,2
1.53719e-08,3
1.53902e-08,1
1.54085e-08,1
1.54268e-08,2
1.54451e-08,3
1.54634e-08,1
1.54817e-08,1
1.55e-08,2
1.55183e-08,1
1.55366e-08,0
1.55549e-08,2
1.55732e-08,3
1.55915e-08,0
1.56098e-08,1
1.56281e-08,1
1.56464e-08,0
1.56647e-08,2
1.5683e-08,0
1.57013e-08,2
1.57196e-08,0
1.5738e-08,3
1.57563e-08,3
1.57746e-08,0
1.57929e-08,1
1.58112e-08,0
1.58295e-08,0
1.58478e-08,1
1.58661e-08,1
1.58844e-08,1
1.59027e-08,0
1.5921e-08,0
1.59393e-08,0
1.59576e-08,1
1.59759e-08,1
1.59942e-08,1
1.60125e-08,0
1.60308e-08,4
1.60491e-08,0
1.60674e-08,0
1.60857e-08,0
1.6104e-08,0
1.61223e-08,0
1.61406e-08,1
1.61589e-08,1
1.61772e-08,0
1.61955e-08,3
1.62138e-08,1
1.62321e-08,1
1.62504e-08,0
1.62687e-08,1
1.6287e-08,1
1.63053e-08,1
1.63236e-08,2
1.63419e-08,2
1.63602e-08,0
1.63785e-08,2
1.63968e-08,2
1.64151e-08,0
1.64334e-08,0
1.64517e-08,0
1.647e-08,2
1.64883e-08,2
1.65066e-08,2
1.65249e-08,2
1.65432e-08,1
1.65615e-08,1
1.65798e-08,0
1.65981e-08,1
1.66164e-08,1
1.66347e-08,3
1.6653e-08,1
1.66713e-08,0
1.66896e-08,2
1.6708e-08,0
1.67263e-08,2
1.67446e-08,1
1.67629e-08,3
1.67812e-08,2
1.67995e-08,0
1.68178e-08,1
1.68361e-08,3
1.68544e-08,0
1.68727e-08,3
1.6891e-08,0
1.69093e-08,0
1.69276e-08,0
1.69459e-08,0
1.69642e-08,1
1.69825e-08,0
1.70008e-08,1
1.70191e-08,1
1.70374e-08,0
1.70557e-08,1
1.7074e-08,1
1.70923e-08,0
1.71106e-08,1
1.71289e-08,2
1.71472e-08,1
1.71655e-08,2
1.71838e-08,0
1.72021e-08,0
1.72204e-08,0
1.72387e-08,0
1.7257e-08,1
1.72753e-08,1
1.72936e-08,1
1.73119e-08,0
1.73302e-08,1
1.73485e-08,1
1.73668e-08,0
1.73851e-08,0
1.74034e-08,1
1.74217e-08,0
1.744e-08,0
1.74583e-08,0
1.74766e-08,0
1.74949e-08,0
1.75132e-08,0
1.75315e-08,1
1.75498e-08,1
1.75681e-08,2
1.75864e-08,1
1.76047e-08,1
1.7623e-08,0
1.76413e-08,0
1.76596e-08,0
1.7678e-08,0
1.76963e-08,0
1.77146e-08,2
1.77329e-08,1
1.77512e-08,0
1.77695e-08,1
1.77878e-08,2
1.78061e-08,0
1.78244e-08,1
1.78427e-08,0
1.7861e-08,0
1.78793e-08,0
1.78976e-08,0
1.79159e-08,0
1.79342e-08,0
1.79525e-08,1
1.79708e-08,1
1.79891e-08,1
1.80074e-08,1
1.80257e-08,1
1.8044e-08,0
1.80623e-08,0
1.80806e-08,0
1.80989e-08,2
1.81172e-08,0
1.81355e-08,0
1.81538e-08,0
1.81721e-08,0
1.81904e-08,1
1.82087e-08,0
1.8227e-08,1
1.82453e-08,1
1.82636e-08,1
1.82819e-08,3
1.83002e-08,0
1.83185e-08,0
1.83368e-08,0
1.83551e-08,0
1.83734e-08,0
1.83917e-08,0
1.841e-08,0
1.84283e-08,0
1.84466e-08,0
1.84649e-08,0
1.84832e-08,0
1.85015e-08,0
1.85198e-08,0
1.85381e-08,0
1.85564e-08,0
1.85747e-08,0
1.8593e-08,1
1.86113e-08,0
1.86296e-08,1
1.8648e-08,1
1.86663e-08,0
1.86846e-08,0
1.87029e-08,0
1.87212e-08,1
1.87395e-08,2
1.87578e-08,0
1.87761e-08,0
1.87944e-08,0
1.88127e-08,0
1.8831e-08,1
1.88493e-08,1
1.88676e-08,2
1.88859e-08,1
1.89042e-08,0
1.89225e-08,0
1.89408e-08,0
1.89591e-08,1
1.89774e-08,0
1.89957e-08,0
1.9014e-08,0
1.90323e-08,0
1.90506e-08,0
1.90689e-08,0
1.90872e-08,0
1.91055e-08,1
1.91238e-08,0
1.91421e-08,0
1.91604e-08,1
1.91787e-08,0
