X: (s),Y: (Hits)
1.00519e-08,23
1.0187e-08,19
1.03221e-08,12
1.04572e-08,19
1.05923e-08,16
1.07274e-08,20
1.08625e-08,16
1.09976e-08,11
1.11327e-08,20
1.12678e-08,18
1.14029e-08,11
1.1538e-08,10
1.16731e-08,14
1.18082e-08,12
1.19433e-08,19
1.20783e-08,15
1.22134e-08,17
1.23485e-08,7
1.24836e-08,17
1.26187e-08,8
1.27538e-08,10
1.28889e-08,8
1.3024e-08,12
1.31591e-08,10
1.32942e-08,15
1.34293e-08,12
1.35644e-08,14
1.36995e-08,15
1.38346e-08,9
1.39697e-08,15
1.41048e-08,10
1.42398e-08,11
1.43749e-08,10
1.451e-08,10
1.46451e-08,10
1.47802e-08,16
1.49153e-08,14
1.50504e-08,11
1.51855e-08,10
1.53206e-08,11
1.54557e-08,17
1.55908e-08,10
1.57259e-08,12
1.5861e-08,9
1.59961e-08,12
1.61312e-08,4
1.62663e-08,11
1.64013e-08,14
1.65364e-08,11
1.66715e-08,22
1.68066e-08,9
1.69417e-08,11
1.70768e-08,14
1.72119e-08,12
1.7347e-08,4
1.74821e-08,13
1.76172e-08,6
1.77523e-08,13
1.78874e-08,11
1.80225e-08,11
1.81576e-08,10
1.82927e-08,12
1.84278e-08,7
1.85629e-08,6
1.86979e-08,4
1.8833e-08,6
1.89681e-08,9
1.91032e-08,8
1.92383e-08,7
1.93734e-08,5
1.95085e-08,7
1.96436e-08,4
1.97787e-08,2
1.99138e-08,1
2.00489e-08,0
2.0184e-08,0
2.03191e-08,0
2.04542e-08,0
2.05893e-08,0
2.07244e-08,1
2.08594e-08,0
2.09945e-08,0
2.11296e-08,0
2.12647e-08,0
2.13998e-08,0
2.15349e-08,0
2.167e-08,0
2.18051e-08,0
2.19402e-08,0
2.20753e-08,0
2.22104e-08,0
2.23455e-08,0
2.24806e-08,0
2.26157e-08,0
2.27508e-08,0
2.28859e-08,1
2.30209e-08,0
2.3156e-08,0
2.32911e-08,0
2.34262e-08,1
2.35613e-08,0
2.36964e-08,0
2.38315e-08,0
2.39666e-08,0
2.41017e-08,0
2.42368e-08,0
2.43719e-08,0
2.4507e-08,1
2.46421e-08,0
2.47772e-08,0
2.49123e-08,0
2.50474e-08,0
2.51825e-08,0
2.53175e-08,0
2.54526e-08,0
2.55877e-08,0
2.57228e-08,0
2.58579e-08,0
2.5993e-08,0
2.61281e-08,0
2.62632e-08,1
2.63983e-08,0
2.65334e-08,0
2.66685e-08,0
2.68036e-08,0
2.69387e-08,0
2.70738e-08,0
2.72089e-08,0
2.7344e-08,0
2.7479e-08,0
2.76141e-08,0
2.77492e-08,0
2.78843e-08,0
2.80194e-08,0
2.81545e-08,0
2.82896e-08,1
2.84247e-08,1
2.85598e-08,0
2.86949e-08,0
2.883e-08,0
2.89651e-08,0
2.91002e-08,0
2.92353e-08,0
2.93704e-08,0
2.95055e-08,0
2.96405e-08,0
2.97756e-08,0
2.99107e-08,0
3.00458e-08,0
3.01809e-08,0
3.0316e-08,0
3.04511e-08,1
3.05862e-08,0
3.07213e-08,0
3.08564e-08,0
3.09915e-08,0
3.11266e-08,0
3.12617e-08,0
3.13968e-08,0
3.15319e-08,0
3.1667e-08,0
3.18021e-08,0
3.19371e-08,0
3.20722e-08,0
3.22073e-08,0
3.23424e-08,0
3.24775e-08,1
3.26126e-08,0
3.27477e-08,0
3.28828e-08,0
3.30179e-08,1
3.3153e-08,0
3.32881e-08,0
3.34232e-08,0
3.35583e-08,0
3.36934e-08,0
3.38285e-08,0
3.39636e-08,0
3.40986e-08,0
3.42337e-08,0
3.43688e-08,1
3.45039e-08,0
3.4639e-08,0
3.47741e-08,0
3.49092e-08,0
3.50443e-08,0
3.51794e-08,0
3.53145e-08,0
3.54496e-08,0
3.55847e-08,0
3.57198e-08,0
3.58549e-08,0
3.599e-08,0
3.61251e-08,0
3.62601e-08,0
3.63952e-08,0
