X: (V),Y: (Hits)
0.00356039,2
0.00356588,7
0.00357137,3
0.00357686,5
0.00358235,6
0.00358784,6
0.00359333,7
0.00359882,2
0.00360431,10
0.0036098,8
0.00361529,8
0.00362078,4
0.00362627,11
0.00363176,10
0.00363725,6
0.00364274,3
0.00364823,7
0.00365372,5
0.00365921,2
0.0036647,6
0.00367019,4
0.00367568,14
0.00368117,11
0.00368666,6
0.00369215,8
0.00369765,5
0.00370314,7
0.00370863,5
0.00371412,4
0.00371961,8
0.0037251,6
0.00373059,11
0.00373608,2
0.00374157,5
0.00374706,6
0.00375255,5
0.00375804,5
0.00376353,3
0.00376902,1
0.00377451,4
0.00378,6
0.00378549,6
0.00379098,2
0.00379647,4
0.00380196,6
0.00380745,2
0.00381294,4
0.00381843,2
0.00382392,8
0.00382941,2
0.0038349,10
0.00384039,5
0.00384588,3
0.00385137,2
0.00385686,4
0.00386235,5
0.00386784,3
0.00387333,3
0.00387882,1
0.00388431,6
0.0038898,3
0.00389529,5
0.00390078,6
0.00390627,3
0.00391176,2
0.00391725,3
0.00392274,3
0.00392823,5
0.00393373,3
0.00393922,6
0.00394471,2
0.0039502,2
0.00395569,6
0.00396118,6
0.00396667,5
0.00397216,1
0.00397765,3
0.00398314,4
0.00398863,3
0.00399412,4
0.00399961,5
0.0040051,3
0.00401059,1
0.00401608,4
0.00402157,2
0.00402706,2
0.00403255,2
0.00403804,3
0.00404353,6
0.00404902,2
0.00405451,4
0.00406,3
0.00406549,0
0.00407098,5
0.00407647,3
0.00408196,2
0.00408745,3
0.00409294,2
0.00409843,1
0.00410392,2
0.00410941,0
0.0041149,3
0.00412039,0
0.00412588,2
0.00413137,4
0.00413686,2
0.00414235,4
0.00414784,2
0.00415333,2
0.00415882,0
0.00416431,0
0.00416981,3
0.0041753,2
0.00418079,1
0.00418628,0
0.00419177,3
0.00419726,1
0.00420275,2
0.00420824,1
0.00421373,2
0.00421922,2
0.00422471,5
0.0042302,4
0.00423569,1
0.00424118,1
0.00424667,1
0.00425216,0
0.00425765,1
0.00426314,1
0.00426863,2
0.00427412,2
0.00427961,1
0.0042851,3
0.00429059,1
0.00429608,1
0.00430157,1
0.00430706,1
0.00431255,2
0.00431804,1
0.00432353,1
0.00432902,2
0.00433451,1
0.00434,0
0.00434549,1
0.00435098,1
0.00435647,2
0.00436196,2
0.00436745,0
0.00437294,3
0.00437843,1
0.00438392,2
0.00438941,1
0.0043949,0
0.00440039,0
0.00440588,1
0.00441138,2
0.00441687,1
0.00442236,2
0.00442785,1
0.00443334,0
0.00443883,1
0.00444432,0
0.00444981,0
0.0044553,0
0.00446079,1
0.00446628,2
0.00447177,3
0.00447726,1
0.00448275,0
0.00448824,0
0.00449373,0
0.00449922,1
0.00450471,2
0.0045102,0
0.00451569,1
0.00452118,0
0.00452667,2
0.00453216,0
0.00453765,0
0.00454314,0
0.00454863,2
0.00455412,0
0.00455961,1
0.0045651,2
0.00457059,0
0.00457608,0
0.00458157,1
0.00458706,0
0.00459255,0
0.00459804,1
0.00460353,0
0.00460902,0
0.00461451,0
0.00462,0
0.00462549,0
0.00463098,0
0.00463647,2
0.00464196,2
0.00464746,2
0.00465295,2
0.00465844,1
0.00466393,1
0.00466942,0
0.00467491,2
0.0046804,0
0.00468589,1
0.00469138,1
0.00469687,1
0.00470236,1
0.00470785,0
0.00471334,0
0.00471883,1
0.00472432,1
0.00472981,0
0.0047353,0
0.00474079,1
0.00474628,3
0.00475177,2
0.00475726,0
0.00476275,0
0.00476824,0
0.00477373,1
0.00477922,0
0.00478471,0
0.0047902,0
0.00479569,0
0.00480118,0
0.00480667,1
0.00481216,0
0.00481765,0
0.00482314,1
0.00482863,0
0.00483412,1
0.00483961,0
0.0048451,0
0.00485059,0
0.00485608,0
0.00486157,0
0.00486706,2
0.00487255,0
0.00487804,0
0.00488354,0
0.00488903,0
0.00489452,0
0.00490001,0
0.0049055,0
0.00491099,0
0.00491648,0
0.00492197,0
0.00492746,0
0.00493295,1
0.00493844,0
0.00494393,0
0.00494942,0
0.00495491,0
0.0049604,0
0.00496589,2
0.00497138,0
0.00497687,0
0.00498236,0
0.00498785,0
0.00499334,2
0.00499883,1
0.00500432,0
0.00500981,0
0.0050153,1
0.00502079,1
0.00502628,0
0.00503177,1
0.00503726,1
0.00504275,0
0.00504824,0
0.00505373,0
0.00505922,0
0.00506471,1
0.0050702,2
0.00507569,2
0.00508118,0
0.00508667,0
0.00509216,0
0.00509765,0
0.00510314,0
0.00510863,1
0.00511412,2
0.00511961,1
0.00512511,1
0.0051306,0
0.00513609,0
0.00514158,1
0.00514707,2
0.00515256,0
0.00515805,0
0.00516354,0
0.00516903,2
0.00517452,1
0.00518001,1
0.0051855,0
0.00519099,1
0.00519648,0
0.00520197,0
0.00520746,1
0.00521295,2
0.00521844,0
0.00522393,0
0.00522942,0
0.00523491,0
0.0052404,0
0.00524589,0
0.00525138,0
0.00525687,1
0.00526236,0
0.00526785,0
0.00527334,1
0.00527883,0
0.00528432,1
0.00528981,0
0.0052953,1
0.00530079,1
0.00530628,0
0.00531177,0
0.00531726,0
0.00532275,1
0.00532824,1
0.00533373,0
0.00533922,0
0.00534471,0
0.0053502,1
0.00535569,1
0.00536119,0
0.00536668,1
0.00537217,1
0.00537766,0
0.00538315,0
0.00538864,0
0.00539413,0
0.00539962,0
0.00540511,1
0.0054106,2
0.00541609,1
0.00542158,0
0.00542707,0
0.00543256,2
0.00543805,2
0.00544354,2
0.00544903,0
0.00545452,1
0.00546001,0
0.0054655,1
0.00547099,0
0.00547648,1
0.00548197,1
0.00548746,1
0.00549295,0
0.00549844,0
0.00550393,2
0.00550942,0
0.00551491,0
0.0055204,0
0.00552589,0
0.00553138,0
0.00553687,0
0.00554236,0
0.00554785,0
0.00555334,0
0.00555883,1
0.00556432,0
0.00556981,2
0.0055753,0
0.00558079,1
0.00558628,0
0.00559177,0
0.00559727,1
0.00560276,1
0.00560825,0
0.00561374,1
0.00561923,0
0.00562472,0
0.00563021,0
0.0056357,0
0.00564119,0
0.00564668,1
0.00565217,0
0.00565766,0
0.00566315,0
0.00566864,1
0.00567413,0
0.00567962,1
0.00568511,0
0.0056906,0
0.00569609,0
0.00570158,0
0.00570707,0
0.00571256,0
0.00571805,0
0.00572354,0
0.00572903,0
0.00573452,0
0.00574001,0
0.0057455,1
0.00575099,0
0.00575648,0
0.00576197,0
0.00576746,0
0.00577295,0
0.00577844,0
0.00578393,1
0.00578942,0
0.00579491,0
0.0058004,0
0.00580589,0
0.00581138,1
0.00581687,0
0.00582236,0
0.00582785,0
0.00583335,1
0.00583884,0
0.00584433,0
0.00584982,0
0.00585531,0
0.0058608,1
0.00586629,0
0.00587178,1
0.00587727,0
0.00588276,1
0.00588825,0
0.00589374,0
0.00589923,0
0.00590472,0
0.00591021,1
0.0059157,0
0.00592119,0
0.00592668,0
0.00593217,1
0.00593766,1
0.00594315,0
0.00594864,0
0.00595413,0
0.00595962,2
0.00596511,0
0.0059706,0
0.00597609,0
0.00598158,0
0.00598707,0
0.00599256,0
0.00599805,0
0.00600354,0
0.00600903,0
0.00601452,0
0.00602001,0
0.0060255,0
0.00603099,0
0.00603648,1
0.00604197,0
0.00604746,1
0.00605295,0
0.00605844,0
0.00606393,0
0.00606942,0
0.00607492,0
0.00608041,0
0.0060859,0
0.00609139,1
0.00609688,0
0.00610237,0
0.00610786,0
0.00611335,0
0.00611884,0
0.00612433,1
0.00612982,0
0.00613531,0
0.0061408,0
0.00614629,0
0.00615178,0
0.00615727,0
0.00616276,0
0.00616825,0
0.00617374,0
0.00617923,0
0.00618472,0
0.00619021,1
0.0061957,0
0.00620119,0
0.00620668,1
0.00621217,0
0.00621766,0
0.00622315,0
0.00622864,0
0.00623413,0
0.00623962,1
0.00624511,0
0.0062506,0
0.00625609,0
0.00626158,0
0.00626707,0
0.00627256,1
0.00627805,0
0.00628354,0
0.00628903,0
0.00629452,0
0.00630001,0
0.0063055,0
0.006311,0
0.00631649,1
0.00632198,0
0.00632747,1
0.00633296,0
0.00633845,0
0.00634394,0
0.00634943,0
0.00635492,0
0.00636041,0
0.0063659,1
0.00637139,0
0.00637688,0
0.00638237,0
0.00638786,0
0.00639335,0
0.00639884,0
0.00640433,0
0.00640982,1
0.00641531,0
0.0064208,0
0.00642629,0
0.00643178,0
0.00643727,0
0.00644276,0
0.00644825,0
0.00645374,0
0.00645923,1
0.00646472,0
0.00647021,0
0.0064757,0
0.00648119,2
0.00648668,0
0.00649217,1
0.00649766,0
0.00650315,1
0.00650864,0
0.00651413,0
0.00651962,0
0.00652511,0
0.0065306,0
0.00653609,0
0.00654158,0
0.00654708,0
0.00655257,0
0.00655806,0
0.00656355,0
0.00656904,0
0.00657453,0
0.00658002,0
0.00658551,0
0.006591,0
0.00659649,1
0.00660198,0
0.00660747,0
0.00661296,1
0.00661845,0
0.00662394,0
0.00662943,0
0.00663492,2
0.00664041,0
0.0066459,0
0.00665139,1
0.00665688,0
0.00666237,0
0.00666786,0
0.00667335,0
0.00667884,0
0.00668433,0
0.00668982,0
0.00669531,0
0.0067008,1
0.00670629,1
0.00671178,2
0.00671727,1
0.00672276,0
0.00672825,1
0.00673374,0
0.00673923,0
0.00674472,0
0.00675021,1
0.0067557,0
0.00676119,0
0.00676668,0
0.00677217,0
0.00677766,1
0.00678315,1
0.00678865,0
0.00679414,1
0.00679963,0
0.00680512,1
0.00681061,0
0.0068161,0
0.00682159,0
0.00682708,0
0.00683257,1
0.00683806,0
0.00684355,1
0.00684904,0
0.00685453,0
0.00686002,0
0.00686551,0
0.006871,1
0.00687649,0
0.00688198,1
0.00688747,1
0.00689296,0
0.00689845,0
0.00690394,0
0.00690943,0
0.00691492,0
0.00692041,0
0.0069259,0
0.00693139,1
0.00693688,0
0.00694237,0
0.00694786,0
0.00695335,0
0.00695884,0
0.00696433,0
0.00696982,0
0.00697531,0
0.0069808,0
0.00698629,0
0.00699178,0
0.00699727,0
0.00700276,1
0.00700825,0
0.00701374,0
0.00701923,0
0.00702473,0
0.00703022,2
0.00703571,0
0.0070412,0
0.00704669,1
0.00705218,0
0.00705767,0
0.00706316,0
0.00706865,0
0.00707414,0
0.00707963,0
0.00708512,1
0.00709061,0
0.0070961,0
0.00710159,0
0.00710708,1
0.00711257,0
0.00711806,0
0.00712355,0
0.00712904,0
0.00713453,0
0.00714002,0
0.00714551,0
0.007151,0
0.00715649,0
0.00716198,0
0.00716747,0
0.00717296,0
0.00717845,0
0.00718394,1
0.00718943,1
0.00719492,0
0.00720041,0
0.0072059,0
0.00721139,0
0.00721688,0
0.00722237,0
0.00722786,0
0.00723335,0
0.00723884,0
0.00724433,0
0.00724982,0
0.00725531,0
0.00726081,0
0.0072663,0
0.00727179,0
0.00727728,0
0.00728277,1
0.00728826,0
0.00729375,0
0.00729924,0
0.00730473,0
0.00731022,0
0.00731571,0
0.0073212,0
0.00732669,0
0.00733218,0
0.00733767,0
0.00734316,0
0.00734865,0
0.00735414,0
0.00735963,0
0.00736512,0
0.00737061,0
0.0073761,0
0.00738159,0
0.00738708,1
0.00739257,0
0.00739806,0
0.00740355,0
0.00740904,2
0.00741453,0
0.00742002,0
0.00742551,0
0.007431,0
0.00743649,0
0.00744198,0
0.00744747,0
0.00745296,0
0.00745845,0
0.00746394,0
0.00746943,1
0.00747492,0
0.00748041,0
0.0074859,0
0.00749139,0
0.00749689,0
0.00750238,0
0.00750787,0
0.00751336,0
0.00751885,1
0.00752434,0
0.00752983,0
0.00753532,0
0.00754081,0
0.0075463,0
0.00755179,0
0.00755728,0
0.00756277,1
0.00756826,0
0.00757375,0
0.00757924,0
0.00758473,0
0.00759022,0
0.00759571,1
0.0076012,0
0.00760669,0
0.00761218,0
0.00761767,0
0.00762316,1
0.00762865,0
0.00763414,0
0.00763963,0
0.00764512,0
0.00765061,0
0.0076561,1
0.00766159,0
0.00766708,0
0.00767257,0
0.00767806,0
0.00768355,0
0.00768904,0
0.00769453,0
0.00770002,0
0.00770551,0
0.007711,0
0.00771649,0
0.00772198,0
0.00772747,0
0.00773296,0
0.00773846,1
0.00774395,0
0.00774944,0
0.00775493,0
0.00776042,1
0.00776591,0
0.0077714,1
0.00777689,0
0.00778238,0
0.00778787,0
0.00779336,0
0.00779885,0
0.00780434,0
0.00780983,0
0.00781532,0
0.00782081,0
0.0078263,0
0.00783179,0
0.00783728,0
0.00784277,1
0.00784826,0
0.00785375,0
0.00785924,0
0.00786473,0
0.00787022,0
0.00787571,0
0.0078812,0
0.00788669,0
0.00789218,0
0.00789767,1
0.00790316,0
