CdS 180sec ODE2 Toluene1 em420,,CdS 180sec ODE2 Toluene1 ex340,,CdS 180sec ODE2 Toluene1 ex335,,CdS 180sec ODE2 Toluene1 ex345,,CdS 180sec ODE2 Toluene1 em410,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
277.0700073,-5.026294708,387.0700073,151.0732727,381.8399963,145.3998413,391.8399963,151.5733185,277.0700073,-5.429674149
278,-3.705001831,388,153.1142273,382.9200134,149.5776672,392.9200134,152.8930969,278,-4.494672775
279.0700073,-0.663200378,389.0700073,160.9407959,383.8399963,154.0538635,393.8399963,158.6675873,279.0700073,-0.808086395
280,4.396398544,390,161.5018616,384.9200134,158.5105743,394.9200134,162.4581604,280,3.822561264
280.9299927,9.405138016,391.0700073,163.8044434,385.8399963,161.9620667,395.8399963,163.5401611,280.9299927,10.76614761
282.0299988,18.59918213,392,168.577301,386.9200134,167.6229858,396.9200134,170.6798859,282.0299988,18.80890274
282.9599915,27.18675995,393.0700073,172.8886414,387.8399963,170.7614899,397.8399963,171.3453064,282.9599915,26.04676056
284.0599976,36.08868408,394,175.561554,388.9200134,172.8814697,398.9200134,178.9898987,284.0599976,36.44658279
285,45.26056671,395.0700073,183.7687378,389.8399963,179.2153473,399.8399963,177.8529816,285,45.02223206
285.9299927,51.30834198,396,185.1576233,390.9200134,183.7755432,400.9200134,180.7831421,285.9299927,53.97117615
287.0299988,60.08219147,397.0700073,186.1795654,391.8399963,183.7579956,401.8399963,185.3734894,287.0299988,60.65988922
287.9599915,65.54249573,398,187.4543457,392.9200134,188.2354889,402.9200134,187.915741,287.9599915,67.7441864
289.0599976,73.00469971,399.0700073,190.1650085,393.8399963,189.9968262,403.8399963,191.0460815,289.0599976,75.47275543
290,78.37942505,400,193.1676331,394.9200134,191.4350433,404.9200134,192.4562836,290,78.37818909
290.9299927,83.66770935,401.0700073,193.9733887,395.8399963,195.6572418,405.8399963,196.571106,290.9299927,84.48363495
