BLANK ODE2 and toluene1 ex284,,BLANK ODE2 and toluene2,,BLANK ODE2 and toluene1 em330,,BLANK ODE2 and toluene1 ex287,,BLANK ODE2 and toluene1 ex300,,BLANK ODE2 and toluene1 em350,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
401.0700073,-79.78727722,391.0700073,-110.3107681,,,397.8399963,-14.36010742,411.0599976,15.76360607,320.9299927,20.72565842,
402,-79.92714691,392,-111.7880402,,,398.9200134,-15.58055115,411.9599915,16.82798004,322.0299988,17.16065216,
403.0700073,-81.16943359,393.0700073,-111.9548721,,,399.8399963,-15.76366043,413.0299988,15.18042469,322.9599915,17.24245071,
404,-81.18090057,394,-113.0439148,,,400.9200134,-17.47102356,413.9299927,15.01138592,324.0599976,15.52490902,
405.0700073,-82.25016022,395.0700073,-112.4903641,,,401.8399963,-17.12425232,415,13.66477108,325,14.82503796,
406,-81.87917328,396,-112.9063187,,,402.9200134,-18.04010773,416.0599976,13.62397099,325.9299927,13.26961613,
407.0700073,-81.86659241,397.0700073,-114.604187,,,403.8399963,-18.05044937,416.9599915,13.00747585,327.0299988,12.91689968,
408,-82.4913559,398,-114.6539383,,,404.9200134,-18.16669083,418.0299988,13.01851177,327.9599915,12.92694187,
409.0700073,-83.31842041,399.0700073,-114.4234467,,,405.8399963,-18.45917892,418.9299927,12.2492857,329.0599976,11.45746517,
410,-83.45845795,400,-115.8799438,,,406.9200134,-20.44819641,420,12.70275974,330,9.630173683,
411.0599976,-84.73288727,401.0700073,-116.2282715,,,407.8399963,-20.77821159,421.0700073,11.68201923,331.0700073,7.824831963,
411.9599915,-84.65814209,402,-116.6246185,,,408.9200134,-20.73569298,422,11.89564228,332,5.99320507,
413.0299988,-84.8946991,403.0700073,-117.233757,,,409.8399963,-21.03957558,423.0700073,11.68536282,333.0700073,3.735135078,
413.9299927,-85.53395081,404,-117.1278915,,,410.8999939,-21.151968,424,10.06809139,334,2.682010651,
415,-85.62229919,405.0700073,-118.1544189,,,411.9599915,-21.91812897,425.0700073,9.311215401,335.0700073,0.9912490845,
416.0599976,-86.31166077,406,-118.4354324,,,412.8699951,-22.81751823,426,9.330748558,336,-0.7343053818,
416.9599915,-86.59044647,407.0700073,-117.7308807,,,413.9299927,-23.18716431,427.0700073,9.673634529,337.0700073,-2.820660591,
418.0299988,-85.71829224,408,-119.3982773,,,414.8399963,-23.9023037,428,8.824421883,338,-3.016339302,
418.9299927,-87.05123138,409.0700073,-119.6977386,,,415.8999939,-24.587183,429.0700073,8.17802906,339.0700073,-3.792482376,
420,-87.1703186,410,-119.0743484,,,416.9599915,-24.46195984,430,7.429886818,340,-4.658528328,
421.0700073,-87.4734726,411.0599976,-120.1148758,,,417.8699951,-24.59636116,431.0599976,7.182150841,,,
422,-87.5503006,411.9599915,-120.296257,,,418.9299927,-24.65698814,431.9599915,6.854218483,,,
423.0700073,-89.00904846,413.0299988,-120.0217285,,,419.8399963,-25.77051926,433.0299988,6.712155342,,,
424,-88.97103882,413.9299927,-121.5544891,,,420.9200134,-25.61121178,433.9299927,5.685084343,,,
425.0700073,-89.29563904,415,-121.6160507,,,421.8399963,-25.31752014,435,6.264861107,,,
426,-89.20442963,416.0599976,-122.5781631,,,422.9200134,-27.0839138,436.0599976,5.326487541,,,
