CdS 30sec ODE2 Toluene1 ex420,,CdS 30sec ODE2 Toluene1 em420,,CdS 30sec ODE2 Toluene1 ex340,,CdS 30sec ODE2 Toluene1 em415,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
466.0599976,45.42575836,255.9299927,-24.12555695,386,218.5616455,235.9299927,-5.114089966
466.9599915,45.86363983,257.0299988,-23.88185501,387.0700073,224.9589233,237.0299988,-7.306348801
468.0299988,47.32286072,257.9599915,-24.54014587,388,226.4400635,237.9600067,-6.793260574
468.9299927,46.99798584,259.0599976,-24.9205246,389.0700073,237.1833801,239.0599976,-6.502607346
470,47.25656128,260,-25.42791939,390,242.3069763,240,-6.241504669
471.0599976,48.26757813,260.9299927,-25.14120674,391.0700073,245.5092773,240.9299927,-7.23132515
471.9599915,49.21065521,262.0299988,-24.19493294,392,251.4510498,242.0299988,-7.355203629
473.0299988,49.44607544,262.9599915,-24.84292603,393.0700073,257.5871582,242.9600067,-7.356872559
473.9299927,50.00273132,264.0599976,-24.53936958,394,259.8323975,244.0599976,-8.071437836
475,50.32469177,265,-24.05591774,395.0700073,265.6899414,245,-7.289215088
476.0599976,50.68655396,265.9299927,-23.88992119,396,273.4716797,245.9299927,-7.930356979
476.9599915,51.27579498,267.0299988,-24.90752602,397.0700073,273.5637817,247.0299988,-7.460626602
478.0299988,51.37852478,267.9599915,-25.57353592,398,280.0717163,247.9600067,-7.655225754
478.9299927,50.49494934,269.0599976,-26.9009819,399.0700073,284.9024048,249.0599976,-7.451934814
480,51.06903839,270,-27.30036163,400,285.8841553,250,-5.682420731
481.0599976,51.01768494,271.0700073,-28.41953659,401.0700073,290.6252441,250.9299927,-6.790153503
481.9599915,50.90716553,272,-28.95775604,402,290.6378784,252.0299988,-5.804344177
483.0299988,51.02205658,273.0700073,-30.11041451,403.0700073,293.5883179,252.9600067,-4.767158508
483.9299927,50.42575836,274,-31.35861778,404,295.3623657,254.0599976,-4.548627853
485,49.31031799,275.0700073,-31.88903427,405.0700073,300.6786194,255,-4.215202332
486.0599976,48.79245758,276,-31.74403191,406,302.4281921,255.9299927,-5.113916397
