CdS 40sec ODE2 Toluene1 ex340,,CdS 40sec ODE2 Toluene1 em410,,CdS 40sec ODE2 Toluene1 ex336,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
511.0599976,49.07532501,,,507.0100098,50.0608902,
511.9599915,48.66808319,,,508.0499878,50.54232025,
513.0300293,47.45620728,,,508.9500122,46.56785583,
513.9299927,44.32984161,,,510,46.06946564,
515,44.30893707,,,511.0599976,46.16376495,
516.0599976,43.93706512,,,511.9599915,43.74494171,
516.960022,39.62863159,,,513.0300293,43.32402802,
518.0300293,41.84368896,,,513.9299927,42.77270508,
518.9299927,39.66997528,,,515,39.24004364,
520,38.08911896,,,516.0599976,40.70330811,
521.039978,37.52560425,,,516.960022,37.7093277,
521.9400024,35.66670609,,,518.0300293,35.02098083,
522.9799805,32.99840164,,,518.9299927,36.1699295,
524.0200195,34.8895607,,,520,32.94389343,
525.0700073,32.06884384,,,521.039978,33.2566452,
525.9699707,30.55461121,,,521.9400024,31.87989235,
527.0100098,30.28135681,,,522.9799805,31.23283195,
528.0499878,29.52149582,,,524.0200195,28.31540108,
528.9500122,28.31418991,,,525.0700073,28.727705,
530,26.30131149,,,525.9699707,26.57054329,
531.039978,25.57435989,,,527.0100098,25.20008659,
531.9400024,23.83890533,,,528.0499878,24.50267982,
532.9799805,24.3597908,,,528.9500122,23.40448952,
534.0200195,21.68203354,,,530,22.29572105,
535.0700073,23.41343689,,,531.039978,22.04664803,
535.9699707,21.90457153,,,531.9400024,21.73692513,
537.0100098,18.44755554,,,532.9799805,18.67716789,
538.0499878,19.43148041,,,534.0200195,16.57969475,
538.9500122,18.82594681,,,535.0700073,18.97794151,
540,17.23884583,,,535.9699707,16.99403954,
541.0200195,16.76542664,,,537.0100098,17.17483711,
542.0499878,15.19042587,,,538.0499878,15.82848549,
542.9400024,14.63027954,,,538.9500122,14.94703484,
543.9699707,14.60823441,,,540,13.64391136,
545,14.41007614,,,541.0200195,13.1186657,
546.0200195,13.22967148,,,542.0499878,12.26787758,
547.0499878,12.35864639,,,542.9400024,11.28655815,
547.9400024,10.51502609,,,543.9699707,10.17864418,
548.9699707,11.07696915,,,545,9.551362991,
550,8.258808136,,,546.0200195,9.238019943,
551.039978,8.476268768,,,547.0499878,6.513132095,
551.9400024,9.448425293,,,547.9400024,7.999109268,
552.9799805,6.403842926,,,548.9699707,7.319501877,
554.0200195,7.159114838,,,550,6.226045609,
555.0700073,6.003623962,,,551.039978,6.129339218,
555.9699707,5.416706085,,,551.9400024,5.739542007,
557.0100098,5.46913147,,,552.9799805,3.946035385,
558.0499878,3.281961441,,,554.0200195,4.764738083,
558.9500122,3.645084381,,,555.0700073,2.642705917,
560,3.774190903,,,555.9699707,2.502702713,
561.039978,2.418210983,,,557.0100098,1.974527359,
561.9400024,2.982465744,,,558.0499878,2.487085342,
562.9799805,1.699544907,,,558.9500122,1.161230087,
564.0200195,1.149362564,,,560,0.4652080536,
565.0700073,1.267326355,,,561.039978,-0.61876297,
565.9699707,0.6737613678,,,561.9400024,-0.1585578918,
567.0100098,-1.226190567,,,562.9799805,-1.971517563,
568.0499878,-1.284749985,,,564.0200195,-2.668043137,
568.9500122,-1.672014236,,,565.0700073,-1.573347092,
570,-1.773454666,,,565.9699707,-2.263259888,
