CdS 10sec ex260,,CdS 10sec ex300,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
473.0299988,36.89491272,513.0300293,43.54606247,
473.9299927,37.62284851,513.9299927,43.25327301,
475,37.05276871,515,41.71761703,
476.0599976,38.09020233,516.0599976,43.02942276,
476.9599915,37.3589859,516.960022,42.2352562,
478.0299988,38.020401,518.0300293,42.67148972,
478.9299927,37.41595459,518.9299927,42.15189743,
480,37.38924026,520,41.4067421,
481.0599976,36.8633728,521.039978,40.85240936,
481.9599915,37.29891205,521.9400024,42.40470886,
483.0299988,36.3263855,522.9799805,41.3250618,
483.9299927,38.2165184,524.0200195,40.62567139,
485,37.11351776,525.0700073,40.36479568,
486.0599976,36.74822617,525.9699707,41.03267288,
486.9599915,37.13354492,527.0100098,40.64864731,
488.0299988,37.32261276,528.0499878,40.2163353,
488.9299927,37.84025955,528.9500122,39.67964554,
490,36.70702362,530,39.34796143,
491.0400085,37.0655098,531.039978,38.98916626,
491.9400024,36.99539566,531.9400024,39.67244339,
492.980011,37.47806549,532.9799805,38.86784744,
494.019989,37.1131897,534.0200195,39.3573494,
495.0700073,36.8462677,535.0700073,37.8018074,
495.9700012,36.32758713,535.9699707,38.10313034,
497.0100098,37.17111206,537.0100098,37.3298378,
498.0499878,36.18632126,538.0499878,36.27790451,
498.9500122,36.52357101,538.9500122,36.81731415,
500,36.87140274,540,36.12952042,
,,541.0200195,35.79991913,
,,542.0499878,36.14492416,
,,542.9400024,35.41265106,
,,543.9699707,35.47374725,
,,545,35.59266281,
,,546.0200195,34.11890411,
,,547.0499878,34.82474136,
,,547.9400024,34.04348755,
,,548.9699707,33.88912201,
,,550,33.4012413,
,,551.039978,33.0292244,
,,551.9400024,32.64240646,
,,552.9799805,33.2278862,
,,554.0200195,32.44634628,
,,555.0700073,31.75075531,
,,555.9699707,31.87388992,
,,557.0100098,30.00502205,
,,558.0499878,30.74290276,
,,558.9500122,30.01780701,
,,560,30.82447433,
,,561.039978,30.53935623,
,,561.9400024,29.95046234,
,,562.9799805,28.44274712,
,,564.0200195,28.6163044,
,,565.0700073,28.65088081,
,,565.9699707,27.71740341,
,,567.0100098,27.80988503,
,,568.0499878,27.27876663,
,,568.9500122,27.18815613,
,,570,27.40049934,
,,571.0200195,26.40569687,
,,572.0499878,26.34708786,
,,572.9400024,25.42395973,
,,573.9699707,25.49111557,
,,575,25.60657501,
,,576.0200195,25.38787079,
,,577.0499878,24.12009621,
,,577.9400024,23.79262352,
,,578.9699707,23.33979797,
,,580,23.74513817,
,,581.0200195,23.19384193,
,,582.0499878,23.06039047,
,,582.9400024,22.97036171,
,,583.9699707,21.85173798,
,,585,22.73593903,
,,586.0200195,22.99514771,
,,587.0499878,23.44812965,
,,587.9400024,23.77968788,
,,588.9699707,25.89661598,
,,590,30.25772476,

CdS 10sec ex260,
CdS 10sec ex260
Collection Time: 8/19/2022 12:49:10 PM
Operator Name  :
Scan Software Version: 1.1(132)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          E08013467
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        270.00
Stop (nm)                         500.00
Ex. Wavelength (nm)               260.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 8/19/2022 12:26:24 PM
Method Modifications:
Excitation Wavelength Changed: 8/19/2022 12:29:06 PM, Old: 350.00, New: 245.00
Emission Wavelength Changed: 8/19/2022 12:29:06 PM, Old: 400.00, New: 250.00
Zero Mode Changed: 8/19/2022 12:31:22 PM, Old:OFF, New:Reading
Zero Mode Changed: 8/19/2022 12:31:22 PM, Old:Reading, New:ON
Em. Slit Width (nm): Changed: 8/19/2022 12:31:51 PM, Old:5, New:2.5
Zero Mode Changed: 8/19/2022 12:31:51 PM, Old:ON, New:OFF
Zero Mode Changed: 8/19/2022 12:31:54 PM, Old:OFF, New:Reading
Zero Mode Changed: 8/19/2022 12:31:54 PM, Old:Reading, New:ON
Zero Mode Changed: 8/19/2022 12:39:47 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:39:47 PM, Old:Reading, New:ON
Em. Slit Width (nm): Changed: 8/19/2022 12:45:48 PM, Old:2.5, New:5
Zero Mode Changed: 8/19/2022 12:45:48 PM, Old:ON, New:OFF
Zero Mode Changed: 8/19/2022 12:45:52 PM, Old:OFF, New:Reading
Zero Mode Changed: 8/19/2022 12:45:53 PM, Old:Reading, New:ON
Stop Wavelength Changed: 8/19/2022 12:51:26 PM, Old: 600.00, New: 475.00
Zero Mode Changed: 8/19/2022 12:51:33 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:51:34 PM, Old:Reading, New:ON
Scan Control Changed: 8/19/2022 12:52:24 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 8/19/2022 12:52:24 PM, Old:0.10000, New:0.50000
Scan Control Changed: 8/19/2022 12:54:35 PM, Old:Slow, New:Medium
Ave. time (s): Changed: 8/19/2022 12:54:35 PM, Old:0.50000, New:0.10000
Peak Style Changed: 8/19/2022 12:57:02 PM, Old:Peaks, New:Valleys
Peak Style Changed: 8/19/2022 12:57:02 PM, Old:Valleys, New:Peaks Valleys
Peak Style Changed: 8/19/2022 12:57:02 PM, Old:Peaks Valleys, New:Zero Cross
Peak Style Changed: 8/19/2022 12:57:02 PM, Old:Zero Cross, New:Peaks
Emission Wavelength Changed: 8/19/2022 12:59:12 PM, Old: 250.00, New: 255.00
Zero Mode Changed: 8/19/2022 12:59:20 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:59:21 PM, Old:Reading, New:ON
Zero Mode Changed: 8/19/2022 1:05:43 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:05:44 PM, Old:Reading, New:ON
Zero Mode Changed: 8/19/2022 1:06:45 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:06:45 PM, Old:Reading, New:ON
Scan Control Changed: 8/19/2022 1:07:34 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 8/19/2022 1:07:34 PM, Old:0.10000, New:0.50000
Zero Mode Changed: 8/19/2022 1:07:35 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:07:36 PM, Old:Reading, New:ON
Scan Control Changed: 8/19/2022 1:12:30 PM, Old:Slow, New:Medium
Ave. time (s): Changed: 8/19/2022 1:12:30 PM, Old:0.50000, New:0.10000
Zero Mode Changed: 8/19/2022 1:12:47 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:12:47 PM, Old:Reading, New:ON
Excitation Wavelength Changed: 8/19/2022 1:16:43 PM, Old: 245.00, New: 270.00
Emission Wavelength Changed: 8/19/2022 1:16:43 PM, Old: 255.00, New: 280.00
Excitation Wavelength Changed: 8/19/2022 1:18:14 PM, Old: 270.00, New: 285.00
Emission Wavelength Changed: 8/19/2022 1:18:14 PM, Old: 280.00, New: 310.00
Stop Wavelength Changed: 8/19/2022 1:18:14 PM, Old: 475.00, New: 500.00
Excitation Wavelength Changed: 8/19/2022 1:19:57 PM, Old: 285.00, New: 300.00
Stop Wavelength Changed: 8/19/2022 1:19:57 PM, Old: 500.00, New: 590.00
Excitation Wavelength Changed: 8/19/2022 1:20:58 PM, Old: 300.00, New: 320.00
Emission Wavelength Changed: 8/19/2022 1:20:58 PM, Old: 310.00, New: 330.00
Excitation Wavelength Changed: 8/19/2022 12:23:00 PM, Old: 320.00, New: 300.00
Emission Wavelength Changed: 8/19/2022 12:23:00 PM, Old: 330.00, New: 310.00
Excitation Wavelength Changed: 8/19/2022 12:28:05 PM, Old: 300.00, New: 310.00
Emission Wavelength Changed: 8/19/2022 12:28:05 PM, Old: 310.00, New: 320.00
Cursor Peak Style Changed: 8/19/2022 12:29:40 PM, Old:Choice 0, New:Choice 1
Cursor Peak Style Changed: 8/19/2022 12:29:40 PM, Old:Valleys, New:Choice 2
Cursor Peak Style Changed: 8/19/2022 12:29:40 PM, Old:Peaks Valleys, New:Choice 0
Peak Style Changed: 8/19/2022 12:31:24 PM, Old:Peaks, New:Valleys
Peak Style Changed: 8/19/2022 12:31:24 PM, Old:Valleys, New:Peaks Valleys
Peak Style Changed: 8/19/2022 12:31:24 PM, Old:Peaks Valleys, New:Zero Cross
Peak Style Changed: 8/19/2022 12:31:24 PM, Old:Zero Cross, New:Peaks
Excitation Wavelength Changed: 8/19/2022 12:37:14 PM, Old: 310.00, New: 260.00
Emission Wavelength Changed: 8/19/2022 12:37:14 PM, Old: 320.00, New: 300.00
Stop Wavelength Changed: 8/19/2022 12:37:14 PM, Old: 590.00, New: 550.00
Excitation Wavelength Changed: 8/19/2022 12:41:44 PM, Old: 260.00, New: 360.00
Emission Wavelength Changed: 8/19/2022 12:41:44 PM, Old: 300.00, New: 380.00
Stop Wavelength Changed: 8/19/2022 12:41:44 PM, Old: 550.00, New: 650.00
Scan mode: Changed: 8/19/2022 12:46:39 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 8/19/2022 12:46:39 PM, Old: 360.00, New: 240.00
Emission Wavelength Changed: 8/19/2022 12:46:39 PM, Old: 380.00, New: 420.00
Stop Wavelength Changed: 8/19/2022 12:46:39 PM, Old: 650.00, New: 400.00
Excitation Wavelength Changed: 8/19/2022 12:47:38 PM, Old: 240.00, New: 220.00
Emission Wavelength Changed: 8/19/2022 12:47:38 PM, Old: 420.00, New: 365.00
Stop Wavelength Changed: 8/19/2022 12:47:38 PM, Old: 400.00, New: 350.00
Scan mode: Changed: 8/19/2022 12:49:00 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 8/19/2022 12:49:00 PM, Old: 220.00, New: 260.00
Emission Wavelength Changed: 8/19/2022 12:49:00 PM, Old: 365.00, New: 270.00
Stop Wavelength Changed: 8/19/2022 12:49:00 PM, Old: 350.00, New: 500.00
End Method Modifications

CdS 10sec ex300,
CdS 10sec ex300
Collection Time: 8/19/2022 12:50:12 PM
Operator Name  :
Scan Software Version: 1.1(132)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          E08013467
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        310.00
Stop (nm)                         590.00
Ex. Wavelength (nm)               300.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
