CdSe 20sec ex295,,CdSe 20sec em370,,CdSe 20sec ex320,,CdSe 20sec em520,,CdSe 20sec ex380,,CdSe 20sec em390,,CdSe 20sec ex330,,CdSe 20sec em405,,CdSe 20sec ex335,,CdSe 20sec em400,,CdSe 20sec em420,,CdSe 20sec em415,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
339.0700073,19.81782913,274,0.957010746,364,51.97321701,304,26.49115372,424,47.4201889,274,0.910120487,374,61.89547729,274,-0.781150341,378.9200134,62.94914627,274,-1.082996368,274,-1.18048811,274,-0.518776417
340,20.14209747,275.0700073,0.771991253,365.0700073,55.1095314,305.0700073,27.27695274,425.0700073,49.08974838,275.0700073,0.460084915,375.0700073,64.58792114,275.0700073,-1.116186142,379.8399963,64.04029083,275.0700073,-0.83368206,275.0700073,-1.498247623,275.0700073,-0.585361958
341.0700073,21.31241035,276,0.468043089,366,56.25515747,306,27.43878174,426,49.56998062,276,-0.372777462,376,66.95475006,276,-1.286212921,380.9200134,70.1280899,276,-1.637337208,276,-1.780519009,276,-1.117501736
342,21.71592331,277.0700073,0.414618015,367.0700073,59.28010559,307.0700073,27.81508827,427.0700073,50.31256485,277.0700073,-0.083465099,377.0700073,70.52908325,277.0700073,-1.598635197,381.8399963,68.13215637,277.0700073,-1.542708397,277.0700073,-2.125126362,277.0700073,-1.151621819
343.0700073,24.01018715,278,0.582086086,368,58.4704361,308,28.45907021,428,52.48558807,278,0.195839405,378,68.83603668,278,-1.757116318,382.9200134,70.73499298,278,-1.453762054,278,-2.096009254,278,-0.973283291
344,23.54750061,279.0700073,1.413522243,369.0700073,60.79712677,309.0700073,29.83468437,429.0700073,53.89552307,279.0700073,0.862197399,379.0700073,71.61278534,279.0700073,-1.294239521,383.8399963,71.4261322,279.0700073,-1.160048008,279.0700073,-1.868233204,279.0700073,-1.00949955
345.0700073,24.10447121,280,2.934323311,370,64.82752991,310,30.13000679,430,53.17924881,280,1.344073296,380,74.1760025,280,-0.663201332,384.9200134,73.81973267,280,-0.56870985,280,-1.655339718,280,-0.770525456
346,25.58597183,280.9299927,3.758908272,371.0700073,67.34590912,311.0700073,32.07895279,431.0599976,53.96240997,280.9299927,2.12424469,381.0700073,75.68283844,280.9299927,0.717246056,385.8399963,78.33575439,280.9299927,0.409947395,280.9299927,-0.58024025,280.9299927,0.873688221
347.0700073,26.6923008,282.0299988,5.842968941,372,67.68258667,312,32.31796265,431.9599915,55.81564331,282.0299988,4.27162981,382,78.31312561,282.0299988,1.54662323,386.9200134,78.69864655,282.0299988,0.905967236,282.0299988,0.585013866,282.0299988,1.938160419
348,27.38187981,282.9599915,7.728959084,373.0700073,69.43592072,313.0700073,33.0700798,433.0299988,54.39883423,282.9599915,5.752917767,383.0700073,78.485672,282.9599915,3.174013138,387.8399963,80.21628571,282.9599915,2.501231194,282.9599915,1.774577141,282.9599915,3.254421711
