CdS 40sec ODE2 Toluene1 ex340,,CdS 50sec ODE2 Toluene1 ex335,,CdS 50sec ODE2 Toluene1 em420,,CdS 50sec ODE2 Toluene1 ex337,,CdS 50sec ODE2 Toluene1 ex345,,CdS 50sec ODE2 Toluene1 ex325,,CdS 50sec ODE2 Toluene1 em410,,CdS 50sec ODE2 Toluene1 ex333,,CdS 50sec ODE2 Toluene1 ex345,,CdS 50sec ODE2 Toluene1 ex345,,CdS 50sec ODE2 Toluene1 ex335,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
388,207.1603088,382.9200134,157.6209717,278,-5.655202866,384.9200134,154.0483704,392.9200134,150.3046417,372.9200134,147.9359436,278,-2.577898026,380.9200134,157.366394,392.9200134,149.8324432,388,39.50036621,378,55.60741425,
389.0700073,216.6743317,383.8399963,162.3459473,279.0700073,-1.685796738,385.8399963,156.1375427,393.8399963,155.5330353,373.8399963,152.0644531,279.0700073,1.086700439,381.8399963,162.1879883,393.8399963,154.7054291,389.0700073,42.7956543,379.0700073,60.76906586,
390,221.4158783,384.9200134,166.6265717,280,4.336799622,386.9200134,167.985611,394.9200134,160.8011475,374.9200134,160.2934113,280,6.21182251,382.9200134,165.3218994,394.9200134,156.1829681,390,46.30175781,380,66.18856049,
391.0700073,224.9471741,385.8399963,168.878067,280.9299927,9.27368927,387.8399963,169.4220734,395.8399963,159.4781799,375.8399963,160.3750305,280.9299927,12.52189064,383.8399963,169.1056824,395.8399963,160.2634583,391.0700073,50.86827087,381.0700073,67.12883759,
392,228.2987671,386.9200134,172.5807037,282.0299988,18.27104568,388.9200134,172.5821686,396.9200134,163.8592682,376.9200134,166.2901611,282.0299988,21.39377022,384.9200134,173.0448608,396.9200134,164.8869781,392,54.8523407,382,70.7372818,
393.0700073,236.3612976,387.8399963,177.5197601,282.9599915,26.54980469,389.8399963,175.8946075,397.8399963,165.4478607,377.8399963,164.615509,282.9599915,30.18103981,385.8399963,176.4859009,397.8399963,168.8326721,393.0700073,57.90913391,383.0700073,78.28662872,
394,236.100769,388.9200134,177.2778015,284.0599976,35.34363174,390.9200134,177.3581543,398.9200134,170.7355194,378.9200134,173.952179,284.0599976,40.40881348,386.9200134,178.4558716,398.9200134,171.6510468,394,62.05064392,384,80.11623383,
395.0700073,240.0033875,389.8399963,184.4124451,285,44.48096848,391.8399963,181.1215057,399.8399963,174.612793,379.8399963,173.7867126,285,47.61843109,387.8399963,179.8300171,399.8399963,171.3461151,395.0700073,63.17224121,385.0700073,85.72220612,
396,246.9763794,390.9200134,184.2538757,285.9299927,51.43052292,392.9200134,184.0032196,400.9200134,177.9876556,380.9200134,177.5995789,285.9299927,57.29105377,388.9200134,187.1444397,400.9200134,172.8149109,396,67.41732788,386,89.44661713,
397.0700073,249.6061401,391.8399963,187.8557587,287.0299988,59.35787582,393.8399963,188.0016022,401.8399963,177.8655701,381.8399963,177.5883331,287.0299988,64.26795959,389.8399963,188.6792297,401.8399963,179.9920197,397.0700073,68.50669861,387.0700073,92.63806915,
398,257.4723511,392.9200134,189.2395325,287.9599915,64.49557495,394.9200134,188.5468903,402.9200134,180.6414185,382.9200134,182.451416,287.9599915,69.15465546,390.9200134,188.9030457,402.9200134,182.6069946,398,70.279953,388,97.40926361,
399.0700073,255.4492493,393.8399963,190.6464539,289.0599976,72.24726868,395.8399963,192.3169861,403.8399963,184.5717468,383.8399963,184.5627594,289.0599976,75.99604797,391.8399963,192.2367554,403.8399963,183.3542938,399.0700073,78.1754303,389.0700073,97.65987396,
400,261.256897,394.9200134,192.5406342,290,78.14823914,396.9200134,194.5682526,404.9200134,186.2694702,384.9200134,185.2181549,290,81.85606384,392.9200134,195.3531189,404.9200134,183.9337616,400,79.67169189,390,99.2140274,
401.0700073,261.3930359,395.8399963,195.0041809,290.9299927,80.46328735,397.8399963,197.0975952,405.8399963,186.3548279,385.8399963,187.9894257,290.9299927,89.33782959,393.8399963,195.4314575,405.8399963,184.9256897,401.0700073,79.11857605,391.0700073,105.231514,
402,264.7081604,396.9200134,195.5283508,292.0299988,87.80104065,398.9200134,199.4775391,406.9200134,188.3330994,386.9200134,192.4254761,292.0299988,91.99639893,394.9200134,197.8690796,406.9200134,187.9268951,402,83.01016235,392,108.8223953,
403.0700073,267.4562378,397.8399963,199.3212891,292.9599915,90.73045349,399.8399963,196.3394318,407.8399963,191.6965027,387.8399963,194.8500977,292.9599915,96.83480072,395.8399963,201.1230774,407.8399963,192.786972,403.0700073,86.52041626,393.0700073,110.1033096,
404,273.9083862,398.9200134,201.9797516,294.0599976,98.38995361,400.9200134,198.6920776,408.9200134,192.585968,388.9200134,198.8436584,294.0599976,104.2845383,396.9200134,202.8514404,408.9200134,190.955719,404,88.25344849,394,112.5230637,
405.0700073,270.4588928,399.8399963,201.2833557,295,103.0806274,401.8399963,202.2926025,409.8399963,195.6243896,389.8399963,196.3199768,295,108.8886719,397.8399963,203.6939392,409.8399963,193.5151978,405.0700073,91.86317444,395.0700073,112.2112503,
406,277.520752,400.9200134,201.3726196,295.9299927,105.4280853,402.9200134,204.7039642,410.8999939,195.949585,390.9200134,197.2112732,295.9299927,113.8314056,398.9200134,203.7549744,410.8999939,194.692627,406,94.33093262,396,112.7415085,
407.0700073,274.7852173,401.8399963,205.5211487,297.0299988,109.8889465,403.8399963,203.8085175,411.9599915,195.0410461,391.8399963,199.7441254,297.0299988,120.0566559,399.8399963,206.908783,411.9599915,197.9182434,407.0700073,92.3533783,397.0700073,118.7788925,
408,279.0886536,402.9200134,206.5659637,297.9599915,113.747818,404.9200134,205.8753662,412.8699951,198.5468445,392.9200134,202.2385101,297.9599915,118.9494324,400.9200134,204.6465759,412.8699951,198.2157288,408,97.42524719,398,116.9820633,
409.0700073,279.53125,403.8399963,206.9607391,299.0599976,118.2350769,405.8399963,208.1493378,413.9299927,198.307251,393.8399963,201.2876282,299.0599976,125.1398926,401.8399963,209.4778137,413.9299927,200.5556793,409.0700073,96.84761047,399.0700073,118.1435776,
