CdS 10sec ex300,,BLANK ex300,,CdS 20sec ex300,,CdS 20sec em365,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
521.039978,40.85240936,521.039978,-6.72638607,521.039978,16.54064178,,,
521.9400024,42.40470886,521.9400024,-6.672727585,521.9400024,15.63357449,,,
522.9799805,41.3250618,522.9799805,-6.500306606,522.9799805,17.50854492,,,
524.0200195,40.62567139,524.0200195,-6.651081085,524.0200195,16.30850983,,,
525.0700073,40.36479568,525.0700073,-6.663952827,525.0700073,16.6135788,,,
525.9699707,41.03267288,525.9699707,-6.553399086,525.9699707,16.03191376,,,
527.0100098,40.64864731,527.0100098,-6.825197697,527.0100098,14.64091778,,,
528.0499878,40.2163353,528.0499878,-6.717411518,528.0499878,14.87458134,,,
528.9500122,39.67964554,528.9500122,-6.867538929,528.9500122,15.25052357,,,
530,39.34796143,530,-6.77092123,530,15.51157856,,,
531.039978,38.98916626,531.039978,-6.707335472,531.039978,14.01537037,,,
531.9400024,39.67244339,531.9400024,-6.709022999,531.9400024,15.07315922,,,
532.9799805,38.86784744,532.9799805,-6.853748798,532.9799805,14.08616924,,,
534.0200195,39.3573494,534.0200195,-6.807916164,534.0200195,13.96886158,,,
535.0700073,37.8018074,535.0700073,-6.798474789,535.0700073,13.70143223,,,
535.9699707,38.10313034,535.9699707,-6.801391125,535.9699707,14.10585499,,,
537.0100098,37.3298378,537.0100098,-6.904751778,537.0100098,12.85499287,,,
538.0499878,36.27790451,538.0499878,-6.824678421,538.0499878,13.73500347,,,
538.9500122,36.81731415,538.9500122,-6.716558456,538.9500122,13.66685963,,,
540,36.12952042,540,-6.824818134,540,12.20302296,,,
541.0200195,35.79991913,541.0200195,-6.859161377,541.0200195,12.89543819,,,
542.0499878,36.14492416,542.0499878,-6.828675747,542.0499878,12.05322552,,,
542.9400024,35.41265106,542.9400024,-6.647578716,542.9400024,11.90146351,,,
543.9699707,35.47374725,543.9699707,-6.787011623,543.9699707,12.38997555,,,
545,35.59266281,545,-6.847816944,545,11.78704739,,,
546.0200195,34.11890411,546.0200195,-6.834374905,546.0200195,11.25362492,,,
547.0499878,34.82474136,547.0499878,-7.007077217,547.0499878,11.44340038,,,
547.9400024,34.04348755,547.9400024,-6.782855511,547.9400024,11.20619488,,,
548.9699707,33.88912201,548.9699707,-6.718267918,548.9699707,10.70531178,,,
550,33.4012413,550,-6.788293362,550,11.28556919,,,
551.039978,33.0292244,551.039978,-6.846651077,551.039978,10.89108562,,,
551.9400024,32.64240646,551.9400024,-6.763054848,551.9400024,10.6298666,,,
552.9799805,33.2278862,552.9799805,-6.844887733,552.9799805,10.03016567,,,
554.0200195,32.44634628,554.0200195,-6.800145626,554.0200195,10.48973942,,,
555.0700073,31.75075531,555.0700073,-6.947505951,555.0700073,9.201817513,,,
555.9699707,31.87388992,555.9699707,-6.868555069,555.9699707,9.096434593,,,
557.0100098,30.00502205,557.0100098,-6.736292839,557.0100098,9.092417717,,,
558.0499878,30.74290276,558.0499878,-6.737091541,558.0499878,9.05833149,,,
558.9500122,30.01780701,558.9500122,-6.732834339,558.9500122,8.203489304,,,
560,30.82447433,560,-6.69974041,560,8.691855431,,,
561.039978,30.53935623,561.039978,-6.842300892,561.039978,8.723203659,,,
561.9400024,29.95046234,561.9400024,-6.878666401,561.9400024,8.070747375,,,
562.9799805,28.44274712,562.9799805,-6.879308224,562.9799805,8.098367691,,,
564.0200195,28.6163044,564.0200195,-6.839783669,564.0200195,7.604105949,,,
565.0700073,28.65088081,565.0700073,-6.737792492,565.0700073,7.459653854,,,
565.9699707,27.71740341,565.9699707,-6.8201828,565.9699707,7.013767242,,,
567.0100098,27.80988503,567.0100098,-6.861707687,567.0100098,8.070443153,,,
568.0499878,27.27876663,568.0499878,-6.903903008,568.0499878,6.903476715,,,
568.9500122,27.18815613,568.9500122,-6.917543411,568.9500122,6.904983521,,,
570,27.40049934,570,-6.735144615,570,5.741224289,,,
571.0200195,26.40569687,571.0200195,-6.832323551,571.0200195,6.653346062,,,
572.0499878,26.34708786,572.0499878,-6.777904987,572.0499878,6.70539856,,,
572.9400024,25.42395973,572.9400024,-6.946906567,572.9400024,6.798440933,,,
