CdS 10sec ODE2 Toluene1 em400,,CdS 10sec ODE2 Toluene1 ex330,,CdS 10sec ODE2 Toluene1 ex310,,CdS 10sec ODE2 Toluene1 ex350,,CdS 10sec ODE2 Toluene1 em417,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
285.9299927,50.57899094,406,226.9768677,386,204.2699432,426,201.0991516,285.9299927,43.14017868,
287.0299988,59.94198227,407.0700073,226.0823364,387.0700073,203.8165283,427.0700073,198.3166046,287.0299988,51.01367569,
287.9599915,65.48934937,408,225.487793,388,201.5896454,428,197.0589905,287.9599915,57.74367142,
289.0599976,73.67977905,409.0700073,222.6758118,389.0700073,202.7841797,429.0700073,198.1651001,289.0599976,63.53572464,
290,80.50721741,410,222.98172,390,200.5050964,430,190.7743073,290,67.64630127,
290.9299927,85.05758667,411.0599976,222.6151733,391.0700073,204.401474,431.0599976,195.352356,290.9299927,75.16798401,
292.0299988,91.94140625,411.9599915,224.1471558,392,202.5305176,431.9599915,189.7050018,292.0299988,79.31872559,
292.9599915,99.48181152,413.0299988,218.451004,393.0700073,201.9533081,433.0299988,187.6261444,292.9599915,85.28494263,
294.0599976,104.5314636,413.9299927,216.2998047,394,201.8022308,433.9299927,186.6453247,294.0599976,88.97953796,
295,111.117157,415,215.1894684,395.0700073,199.7049408,435,187.0004425,295,94.28570557,
295.9299927,116.6565094,416.0599976,217.6362152,396,195.4118805,436.0599976,181.269516,295.9299927,99.28373718,
297.0299988,121.6510162,416.9599915,212.0409088,397.0700073,197.055069,436.9599915,179.1498871,297.0299988,105.6107635,
297.9599915,123.9147339,418.0299988,209.0089264,398,195.294281,438.0299988,178.2882843,297.9599915,108.0419159,
299.0599976,128.6098022,418.9299927,207.9071808,399.0700073,195.0404816,438.9299927,175.7980652,299.0599976,113.5178833,
300,134.3702545,420,209.6431122,400,194.2160645,440,170.5314484,300,117.2166901,
301.0700073,137.7825928,421.0700073,207.1202698,401.0700073,192.2777557,441.0599976,169.8847046,301.0700073,121.2870331,
302,142.7042847,422,200.5641022,402,191.7246399,441.9599915,169.1071472,302,122.0332489,
303.0700073,147.1398621,423.0700073,199.9702911,403.0700073,190.003479,443.0299988,165.8488617,303.0700073,130.2369537,
304,148.2161865,424,197.1333618,404,187.1753845,443.9299927,163.9618378,304,131.5477295,
305.0700073,157.6022034,425.0700073,194.5612946,405.0700073,188.2176056,445,162.4887848,305.0700073,136.3188782,
306,159.7202148,426,190.7384644,406,188.3126221,446.0599976,160.0022736,306,140.2193146,
307.0700073,165.227005,427.0700073,188.9335175,407.0700073,181.3580475,446.9599915,157.816452,307.0700073,142.8491516,
308,168.288269,428,183.1428833,408,181.9254456,448.0299988,153.0026398,308,149.1770935,
309.0700073,172.7988586,429.0700073,180.5378723,409.0700073,182.7203674,448.9299927,155.5077362,309.0700073,153.2524567,
310,179.3190613,430,177.1779327,410,179.7379303,450,153.6348724,310,154.5234985,
311.0700073,184.9821472,431.0599976,173.0799255,411.0599976,178.1138916,451.0599976,150.8078156,311.0700073,159.921875,
312,186.4774933,431.9599915,172.4859161,411.9599915,176.831543,451.9599915,149.344635,312,163.7678375,
313.0700073,188.915741,433.0299988,167.6425781,413.0299988,175.0058136,453.0299988,147.0059052,313.0700073,166.9356689,
314,191.1603394,433.9299927,165.9476013,413.9299927,170.8396149,453.9299927,142.8151703,314,166.9823761,
315.0700073,193.9797363,435,160.7693176,415,169.3745422,455,142.8076782,315.0700073,169.4532623,
316,197.5009003,436.0599976,160.1810608,416.0599976,169.1919556,456.0599976,141.286911,316,175.7224884,
317.0700073,200.3530426,436.9599915,154.0092926,416.9599915,166.1791077,456.9599915,139.8316193,317.0700073,175.7915649,
318,203.7488708,438.0299988,152.5348969,418.0299988,165.3076172,458.0299988,136.8123322,318,183.3219452,
319.0700073,204.0963593,438.9299927,151.1507874,418.9299927,161.5793762,458.9299927,132.734848,319.0700073,184.4350128,
320,208.8817139,440,145.0111084,420,160.8123779,460,132.0719452,320,186.0755615,
320.9299927,210.0935516,441.0599976,144.3624878,421.0700073,158.7421722,461.0599976,132.4831543,320.9299927,189.7110901,
322.0299988,215.5173187,441.9599915,142.5573273,422,158.4752045,461.9599915,131.9336853,322.0299988,191.1000061,
322.9599915,217.7623291,443.0299988,138.2959137,423.0700073,156.2515717,463.0299988,127.1568909,322.9599915,197.5919495,
324.0599976,217.059082,443.9299927,137.5005646,424,153.3016357,463.9299927,123.9835815,324.0599976,201.3491364,
325,217.1251831,445,134.4400177,425.0700073,148.6907654,465,122.6744843,325,203.1253967,
325.9299927,221.4052429,446.0599976,130.1247711,426,146.0655365,466.0599976,118.8158875,325.9299927,204.2263641,
327.0299988,222.7514343,446.9599915,128.1410065,427.0700073,145.268631,466.9599915,118.0187836,327.0299988,210.7664032,
327.9599915,220.2451477,448.0299988,126.7691803,428,146.0328674,468.0299988,114.7531433,327.9599915,208.0786896,
329.0599976,220.6304321,448.9299927,126.5388489,429.0700073,139.7658997,468.9299927,113.5464478,329.0599976,215.0223694,
