CdS sonochem 120min em410,,CdS sonochem 120min ex337,,CdS sonochem 120min em415,,CdS sonochem 120min ex340,,CdS sonochem 120min ex340 slow,,CdS sonochem 120min em420 slow,,CdS sonochem 120min ex295,,CdS sonochem 120min em350,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
278,-2.954698563,384.9200134,140.5713348,278,-4.793739319,388,142.4509277,388,142.1519623,278,-5.649482727,343.0700073,148.4448853,278,5.852040291,
279.0700073,-1.148645401,385.8399963,142.7532806,279.0700073,-2.78809166,389.0700073,147.7282715,389.0700073,146.2986908,279.0700073,-3.200141907,344,151.5561523,279.0700073,14.35680103,
280,2.191457748,386.9200134,145.3400879,280,0.09295654297,390,149.5600128,390,149.682663,280,0.003580093384,345.0700073,152.8500977,280,21.30200195,
280.9299927,6.615749359,387.8399963,148.3527069,280.9299927,5.308954239,391.0700073,153.2660675,391.0700073,153.8809204,280.9299927,4.741172791,346,151.1365662,280.9299927,33.21944809,
282.0299988,13.38844681,388.9200134,153.532547,282.0299988,13.38853264,392,156.8500671,392,156.4345856,282.0299988,12.50218964,347.0700073,152.3448792,282.0299988,51.40640259,
282.9599915,21.11436844,389.8399963,156.2272034,282.9599915,20.07375908,393.0700073,157.335968,393.0700073,158.9937286,282.9599915,20.6831665,348,154.0410767,282.9599915,68.3819809,
284.0599976,30.69475555,390.9200134,158.1244812,284.0599976,31.93959999,394,165.3906403,394,162.4321289,284.0599976,30.46056366,349.0700073,155.0692902,284.0599976,87.32670593,
285,40.48220825,391.8399963,161.5142365,285,40.23002625,395.0700073,164.1399384,395.0700073,165.0284729,285,38.96347046,350,152.1836243,285,106.0867996,
285.9299927,46.54858017,392.9200134,160.4116974,285.9299927,46.44620514,396,167.437851,396,166.3196411,285.9299927,46.61244965,351.0700073,151.3445282,285.9299927,116.8780746,
287.0299988,56.71772385,393.8399963,166.658432,287.0299988,58.27105713,397.0700073,168.0464783,397.0700073,169.3979187,287.0299988,55.23843384,352,152.3802032,287.0299988,131.8740082,
287.9599915,61.69678879,394.9200134,169.7651062,287.9599915,63.02439117,398,171.2386169,398,169.8702393,287.9599915,61.02436829,353.0700073,151.5309906,287.9599915,141.4000549,
289.0599976,67.53330994,395.8399963,169.3585815,289.0599976,68.89111328,399.0700073,173.0958557,399.0700073,173.2761688,289.0599976,68.72950745,354,151.0824432,289.0599976,148.8502045,
290,74.66886902,396.9200134,173.5804291,290,75.88562775,400,175.2418976,400,174.8344727,290,73.80237579,355.0700073,148.1853485,290,152.5618744,
290.9299927,79.51667786,397.8399963,173.1331787,290.9299927,79.50758362,401.0700073,173.809082,401.0700073,177.9168243,290.9299927,79.26972198,356,147.081955,290.9299927,157.6923828,
292.0299988,82.54023743,398.9200134,173.4644623,292.0299988,84.79360199,402,179.6346588,402,179.8492279,292.0299988,84.29006958,357.0700073,146.4115295,292.0299988,156.8769531,
292.9599915,88.91978455,399.8399963,175.798645,292.9599915,90.67795563,403.0700073,180.7023315,403.0700073,181.6772919,292.9599915,89.04460907,358,145.1713562,292.9599915,160.7634125,
294.0599976,94.54907227,400.9200134,184.4042664,294.0599976,95.04262543,404,179.7127075,404,182.9358826,294.0599976,94.8355484,359.0700073,142.1275787,294.0599976,158.7904968,
295,101.0032501,401.8399963,180.8571625,295,99.40407562,405.0700073,185.9444733,405.0700073,184.0496674,295,99.74179077,360,144.7678528,295,160.6532288,
295.9299927,104.0902863,402.9200134,179.6844025,295.9299927,104.1453857,406,185.4155121,406,185.6385651,295.9299927,103.4226151,361.0700073,143.9535828,295.9299927,160.4396057,
297.0299988,107.2457275,403.8399963,185.4212799,297.0299988,109.5870895,407.0700073,186.1429596,407.0700073,187.0445099,297.0299988,108.0423126,362,143.3964233,297.0299988,161.0346069,
297.9599915,111.0764313,404.9200134,184.9052277,297.9599915,112.089119,408,187.7041779,408,188.4721832,297.9599915,111.6220703,363.0700073,139.5364685,297.9599915,158.4077759,
299.0599976,117.0942078,405.8399963,187.776535,299.0599976,116.7876205,409.0700073,186.0871429,409.0700073,189.1556854,299.0599976,114.935257,364,139.3120728,299.0599976,158.5400543,
300,116.5165253,406.9200134,187.2671814,300,119.845314,410,186.4195251,410,191.3778992,300,117.4006805,365.0700073,137.1050568,300,155.5874176,
301.0700073,123.4427795,407.8399963,189.9150543,301.0700073,122.2410812,411.0599976,191.9900818,411.0599976,190.2522278,301.0700073,120.950119,366,136.7009735,301.0700073,153.2630463,
302,124.0597839,408.9200134,190.938324,302,125.7734756,411.9599915,188.6890259,411.9599915,192.2793427,302,122.0205994,367.0700073,135.2801819,302,149.9221954,
