CdSe sonochem 90min ex360,,CdSe sonochem 90min ex345,,CdSe sonochem 90min ex330,,CdSe sonochem 90min em420,,CdSe sonochem 90min em515,,CdSe sonochem 90min ex385,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
408,100.1640015,392.9200134,113.9495087,378,103.2104416,278,-2.519310951,297.9599915,37.88364792,432.8699951,81.12214661,
409.0700073,101.7812653,393.8399963,113.7156677,379.0700073,108.1304398,279.0700073,-2.412645817,299.0599976,39.28042984,433.9299927,83.57670593,
410,103.5990448,394.9200134,119.1580353,380,109.3747559,280,-1.814199448,300,39.55177689,434.8399963,83.85958099,
411.0599976,106.3310394,395.8399963,122.2805786,381.0700073,113.5105667,280.9299927,-1.689855576,301.0700073,43.36639023,435.8999939,87.2279892,
411.9599915,108.4841614,396.9200134,125.5022125,382,116.7823181,282.0299988,-0.7676706314,302,44.72015762,436.9599915,87.88843536,
413.0299988,113.7852325,397.8399963,125.5053101,383.0700073,118.2030869,282.9599915,0.3788127899,303.0700073,49.01134109,437.8699951,89.20519257,
413.9299927,114.4997711,398.9200134,129.8217926,384,123.1208496,284.0599976,2.199875832,304,50.02296829,438.9299927,92.62379456,
415,117.5747375,399.8399963,131.8688965,385.0700073,122.7165222,285,3.610907555,305.0700073,51.67549515,439.8399963,90.61569977,
416.0599976,119.8723145,400.9200134,136.9687805,386,129.1977081,285.9299927,5.454621315,306,53.90497589,440.8999939,92.55477142,
416.9599915,121.5323944,401.8399963,141.297226,387.0700073,130.6281586,287.0299988,6.561199188,307.0700073,56.70070267,441.9599915,94.78824615,
418.0299988,124.7639771,402.9200134,142.3232727,388,131.5570831,287.9599915,8.997053146,308,58.790905,442.8699951,97.01399994,
418.9299927,126.6521606,403.8399963,143.9780884,389.0700073,131.9410095,289.0599976,11.33538246,309.0700073,59.36416245,443.9299927,95.45510101,
