CdSe 40 sec ex330,,CdSe 40 sec em400,,CdSe 40 sec ex335-380_EX_335.00,,CdSe 40 sec ex335-380_EX_340.00,,CdSe 40 sec ex335-380_EX_345.00,,CdSe 40 sec ex335-380_EX_350.00,,CdSe 40 sec ex335-380_EX_355.00,,CdSe 40 sec ex335-380_EX_360.00,,CdSe 40 sec ex335-380_EX_365.00,,CdSe 40 sec ex335-380_EX_370.00,,CdSe 40 sec ex335-380_EX_375.00,,CdSe 40 sec ex335-380_EX_380.00,,CdSe 40 sec em500,,CdSe 40 sec em420,,CdSe 40 sec em380,,CdSe 40 sec ex340,,CdSe 40 sec ex350,,CdSe 40 sec ex320,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
362,35.35917282,262.0299988,1.373532772,411.9599915,10.60848236,411.9599915,10.28256226,411.9599915,6.572029114,411.9599915,-1.343109131,411.9599915,-12.96530914,411.9599915,-18.88850403,411.9599915,-26.26194763,411.9599915,-35.60486603,411.9599915,-47.81321716,411.9599915,-54.15490723,282.0299988,-1.165490627,262.0299988,0.4260101318,262.0299988,1.681496143,372,39.13715363,382,32.56937027,352,28.09939194,
363.0700073,38.64694595,262.9599915,1.385858059,413.0299988,11.85044098,413.0299988,9.13961792,413.0299988,6.360572815,413.0299988,-0.5373687744,413.0299988,-9.931556702,413.0299988,-17.35486603,413.0299988,-24.25471497,413.0299988,-33.42853165,413.0299988,-45.67926025,413.0299988,-52.01103973,282.9599915,0.6395483017,262.9599915,0.3877630234,262.9599915,2.055161476,373.0700073,40.67434692,383.0700073,34.43980026,353.0700073,29.44310379,
364,40.74279022,264.0599976,1.52705431,413.9299927,11.00428772,413.9299927,10.93930054,413.9299927,9.239929199,413.9299927,1.743125916,413.9299927,-8.569709778,413.9299927,-14.68979645,413.9299927,-23.76072693,413.9299927,-32.25046921,413.9299927,-43.88300323,413.9299927,-50.59818649,284.0599976,0.9188108444,264.0599976,0.2808065414,264.0599976,2.637644291,374,43.23714447,384,36.53540039,354,33.09190369,
365.0700073,42.92776108,265,2.200312138,415,12.54911041,415,9.464035034,415,6.465965271,415,3.304840088,415,-6.599632263,415,-13.40045929,415,-22.09941864,415,-29.84841537,415,-41.26625824,415,-48.68204498,285,2.110788822,265,0.1482925415,265,2.31947279,375.0700073,45.58180237,385.0700073,37.42333984,355.0700073,33.55208588,
366,46.0171051,265.9299927,1.591247082,416.0599976,12.15188599,416.0599976,9.858802795,416.0599976,7.363204956,416.0599976,3.208847046,416.0599976,-5.637962341,416.0599976,-12.96828461,416.0599976,-21.13574982,416.0599976,-28.21820831,416.0599976,-39.02344894,416.0599976,-47.33866882,285.9299927,3.25799942,265.9299927,0.345032692,265.9299927,2.231513977,376,47.11797714,386,42.56897354,356,36.15265656,
367.0700073,48.26466751,267.0299988,1.766377926,416.9599915,11.86145782,416.9599915,10.06183624,416.9599915,10.59614563,416.9599915,3.343399048,416.9599915,-2.733932495,416.9599915,-12.58951569,416.9599915,-19.6585083,416.9599915,-26.90756989,416.9599915,-37.42353058,416.9599915,-45.70053101,287.0299988,4.011618614,267.0299988,-0.2640304565,267.0299988,2.36508894,377.0700073,49.29398727,387.0700073,43.0316391,357.0700073,36.90056992,
368,50.87793732,267.9599915,1.148375988,418.0299988,10.49057007,418.0299988,8.949005127,418.0299988,8.842926025,418.0299988,2.785820007,418.0299988,-4.02822113,418.0299988,-8.488517761,418.0299988,-16.94676971,418.0299988,-24.28887939,418.0299988,-35.16328812,418.0299988,-43.58980179,287.9599915,5.054858208,267.9599915,0.3159751892,267.9599915,2.510059834,378,51.53888321,388,44.27282715,358,40.06734848,
369.0700073,53.58778,269.0599976,1.130349636,418.9299927,9.26322937,418.9299927,10.61274719,418.9299927,9.71346283,418.9299927,5.949783325,418.9299927,-1.586654663,418.9299927,-9.438827515,418.9299927,-15.88609314,418.9299927,-22.42626953,418.9299927,-32.99375153,418.9299927,-41.14719009,289.0599976,6.360359192,269.0599976,-0.3622331619,269.0599976,2.731853962,379.0700073,53.88930511,389.0700073,46.84934616,359.0700073,44.30596161,
370,55.77579498,270,1.193273067,420,9.906036377,420,7.924980164,420,9.197105408,420,6.369239807,420,0.05222320557,420,-6.753746033,420,-15.21755219,420,-21.90975952,420,-29.91614151,420,-39.77678299,290,6.896030426,270,-0.9041643143,270,1.630604744,380,57.58020401,390,50.3850441,360,44.5418396,
371.0700073,54.61100388,271.0700073,0.6191878319,421.0700073,8.262535095,421.0700073,11.40872192,421.0700073,9.48915863,421.0700073,6.382514954,421.0700073,0.306098938,421.0700073,-6.251472473,421.0700073,-13.3659668,421.0700073,-21.01464081,421.0700073,-29.23852158,421.0700073,-38.16936874,290.9299927,7.373113632,271.0700073,-1.201871872,271.0700073,1.746796608,381.0700073,57.71377182,391.0700073,51.8004837,361.0700073,45.49336243,
372,59.28445435,272,0.4819760323,422,5.916381836,422,8.373596191,422,11.07868195,422,7.637588501,422,-0.1979370117,422,-5.719062805,422,-13.02328491,422,-18.59078979,422,-27.36680603,422,-37.7550621,292.0299988,8.435099602,272,-1.079809189,272,2.036235809,382,58.36900711,392,52.0379715,362,47.86883926,
373.0700073,63.08977509,273.0700073,0.1305222511,423.0700073,7.144210815,423.0700073,7.381744385,423.0700073,9.475189209,423.0700073,4.740829468,423.0700073,0.7183532715,423.0700073,-5.514694214,423.0700073,-11.59725189,423.0700073,-18.31552124,423.0700073,-25.05613708,423.0700073,-34.45946503,292.9599915,9.211379051,273.0700073,-1.555019379,273.0700073,1.639939308,383.0700073,61.97992325,393.0700073,53.85261154,363.0700073,50.31260681,
374,64.0844574,274,0.03298187256,424,5.480621338,424,8.604545593,424,8.121154785,424,5.874671936,424,0.02168273926,424,-3.252418518,424,-9.482559204,424,-15.66410828,424,-24.71874237,424,-34.50310135,294.0599976,9.797660828,274,-2.398262024,274,1.341338158,384,64.07815552,394,55.85557175,364,52.56276703,
