CdSe 30 sec ex335,,CdSe 30 sec em410,,CdSe 30 sec ex340,,CdSe 30 sec em500,,CdSe 30 sec ex380,,CdSe 30 sec em420,,CdSe 30 sec ex345,,CdSe 30 sec ex350,,CdSe 30 sec ex355,,CdSe 30 sec ex360,,CdSe 30 sec ex365,,CdSe 30 sec em430,,CdSe 30 sec em440,,CdSe 30 sec em450,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
368.9200134,27.03226662,264.0599976,0.5373950005,374,27.39698601,284.0599976,-1.51925993,413.9299927,29.98575592,264.0599976,0.7911992073,378.9200134,27.37997818,384,27.87677193,388.9200134,27.31080437,394,27.05846977,398.9200134,26.9376564,264.0599976,0.6534461975,264.0599976,-0.7432441711,264.0599976,-0.122402668,
369.8399963,27.38841629,265,0.5350818634,375.0700073,28.86498451,285,-1.026086807,415,31.29157257,265,0.9293961525,379.8399963,28.86683655,385.0700073,30.30045509,389.8399963,28.73432732,395.0700073,28.3590374,399.8399963,28.34315491,265,-0.1781849861,265,-0.8207616806,265,-0.6628866196,
370.9200134,29.95028305,265.9299927,0.2952561378,376,30.37274742,285.9299927,-0.7518911362,416.0599976,33.5839119,265.9299927,0.7797956467,380.9200134,29.85931396,386,31.92549706,390.9200134,29.78159523,396,30.33526421,400.9200134,30.82123947,265.9299927,0.03613185883,265.9299927,-0.5471796989,265.9299927,-0.6571702957,
371.8399963,31.45864105,267.0299988,0.6236972809,377.0700073,33.30821991,287.0299988,-0.1333427429,416.9599915,34.83854675,267.0299988,0.6446833611,381.8399963,31.22284698,387.0700073,32.18009186,391.8399963,31.52646446,397.0700073,31.94818687,401.8399963,32.1544838,267.0299988,0.315984726,267.0299988,-0.6057105064,267.0299988,-0.6056938171,
372.9200134,32.39552307,267.9599915,0.2495889664,378,33.47035217,287.9599915,0.7115430832,418.0299988,37.91772079,267.9599915,0.4402389526,382.9200134,34.56646347,388,32.78378296,392.9200134,32.55563354,398,34.0776825,402.9200134,33.92573929,267.9599915,0.1810045242,267.9599915,-0.9682660103,267.9599915,-1.195541859,
373.8399963,35.82679367,269.0599976,0.5766973495,379.0700073,34.92269897,289.0599976,0.5442638397,418.9299927,38.30895996,269.0599976,0.3032627106,383.8399963,35.84501266,389.0700073,35.21323395,393.8399963,35.63904953,399.0700073,35.12425232,403.8399963,35.54302979,269.0599976,-0.258992672,269.0599976,-0.9825410843,269.0599976,-0.9761013985,
374.9200134,37.86871338,270,-0.6092357635,380,37.48428345,290,0.9457540512,420,40.08170319,270,0.226085186,384.9200134,37.47093201,390,37.67467117,394.9200134,36.95622635,400,37.07395172,404.9200134,37.94327927,270,-0.3868627548,270,-1.414470673,270,-1.20002985,
375.8399963,37.99621964,271.0700073,-0.3903160095,381.0700073,38.01696014,290.9299927,1.627745628,421.0700073,43.51836777,271.0700073,0.1451125145,385.8399963,39.48348618,391.0700073,39.02440643,395.8399963,38.09311676,401.0700073,38.14864349,405.8399963,39.68470383,271.0700073,-0.7351551056,271.0700073,-1.656359673,271.0700073,-1.169998169,
376.9200134,39.28189468,272,-0.7617030144,382,38.86697388,292.0299988,1.898933411,422,43.55358505,272,-0.3628911972,386.9200134,41.20190811,392,40.46223068,396.9200134,39.49009323,402,39.90866852,406.9200134,39.82568741,272,-1.106407166,272,-1.869434834,272,-1.717161179,
377.8399963,41.37208939,273.0700073,-0.7227511406,383.0700073,41.5640564,292.9599915,2.330182552,423.0700073,45.71718597,273.0700073,-0.2828712463,387.8399963,41.70712662,393.0700073,42.28318024,397.8399963,40.7894783,403.0700073,41.77586365,407.8399963,41.72358704,273.0700073,-1.483034611,273.0700073,-2.050864697,273.0700073,-1.785524368,
378.9200134,41.99308395,274,-0.6438999176,384,42.4792099,294.0599976,3.073207855,424,47.15796661,274,-0.5372447968,388.9200134,42.72541428,394,43.14360809,398.9200134,42.80183411,404,43.61051178,408.9200134,43.36725235,274,-1.512834549,274,-2.16499424,274,-2.378288031,
379.8399963,43.45504379,275.0700073,-1.234913349,385.0700073,44.98363495,295,3.589532852,425.0700073,48.81050873,275.0700073,-1.153717041,389.8399963,44.93092346,395.0700073,45.64770126,399.8399963,43.64502716,405.0700073,45.2062149,409.8399963,44.69205093,275.0700073,-1.856265545,275.0700073,-2.501647472,275.0700073,-2.237368345,
380.9200134,44.86227417,276,-1.999966621,386,47.4217453,295.9299927,3.816843987,426,49.45492172,276,-1.4197402,390.9200134,48.2008667,396,46.69569397,400.9200134,46.1264534,406,47.19465637,410.8999939,47.68996048,276,-1.990124702,276,-2.92410326,276,-2.458370209,
381.8399963,45.79544067,277.0700073,-1.821904182,387.0700073,48.68766785,297.0299988,4.554403305,427.0700073,51.20214844,277.0700073,-1.34030056,391.8399963,47.37737656,397.0700073,48.23276901,401.8399963,47.61408997,407.0700073,48.58672333,411.9599915,48.43470001,277.0700073,-2.032607079,277.0700073,-2.780586004,277.0700073,-2.838484049,
382.9200134,47.79856873,278,-1.684782028,388,49.10419464,297.9599915,4.314464569,428,52.02560425,278,-1.535638809,392.9200134,49.93434906,398,50.28796768,402.9200134,49.43117905,408,50.28762054,412.8699951,50.44303894,278,-2.263487816,278,-3.088839054,278,-3.088043213,
383.8399963,47.85415649,279.0700073,-1.696268082,389.0700073,51.79819489,299.0599976,5.378554344,429.0700073,53.2552948,279.0700073,-1.455010414,393.8399963,51.0336113,399.0700073,51.04394531,403.8399963,49.20106125,409.0700073,52.28767395,413.9299927,51.99658966,279.0700073,-2.146919727,279.0700073,-2.863684654,279.0700073,-2.834559202,
384.9200134,50.40319824,280,-1.118279934,390,51.44801331,300,5.648424149,430,55.16848373,280,-0.9827184677,394.9200134,52.00188828,400,50.89207077,404.9200134,50.50976181,410,53.07226563,414.8399963,52.59169388,280,-2.019286156,280,-3.162664175,280,-2.464247942,
385.8399963,52.51813126,280.9299927,-1.12688446,391.0700073,54.26860809,301.0700073,6.480761528,431.0599976,54.3744545,280.9299927,-1.580407143,395.8399963,53.8745575,401.0700073,52.34775925,405.8399963,52.99866104,411.0599976,53.9034729,415.8999939,54.31583405,280.9299927,-1.911522865,280.9299927,-2.552965641,280.9299927,-2.498420238,
386.9200134,54.24675751,282.0299988,-0.8168096542,392,55.11478424,302,7.447491646,431.9599915,56.43688583,282.0299988,-0.8224568367,396.9200134,54.17349625,402,53.58167267,406.9200134,54.09824371,411.9599915,53.65977478,416.9599915,56.41650009,282.0299988,-1.469861984,282.0299988,-2.139408112,282.0299988,-2.072014809,
