CdSe 10sec hi ex300,,CdSe 10sec hi em510301,,CdSe 10sec hi ex400,,CdSe 180sec hi ex400,,CdSe 180sec hi em525,,CdSe 180sec hi ex460,,CdSe 180sec hi em470,,CdSe 180min sonochem em520,,CdSe 180min sonochem ex410,,CdSe 180min sonochem em485,,CdSe 180min sonochem ex390,,CdSe 180min sonochem em560,,CdSe 180min sonochem ex470,,CdSe 30min sonochem ex470,,CdSe 30min sonochem em515,,CdSe 30min sonochem ex400,,CdSe 30min sonochem em470,,CdSe 30min sonochem ex385,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
332,2.929510593,272,4.013637543,431.9599915,188.9225159,431.9599915,79.747612,272,-4.196696281,491.9400024,176.6405487,272,-1.380042076,272,-0.5197538137,441.9599915,21.74766159,272,-0.9008009434,422,26.06956863,292.0299988,1.035268664,501.9400024,14.16163254,501.9400024,100.7469788,292.0299988,32.55007172,431.9599915,112.2972641,272,0.0840511322,416.9599915,130.9075623,
333.0700073,2.981007814,273.0700073,5.365678787,433.0299988,197.2397156,433.0299988,84.3352356,273.0700073,-4.501677513,492.980011,188.662735,273.0700073,-1.022456169,273.0700073,-0.4188839197,443.0299988,23.4846611,273.0700073,-0.9007921219,423.0700073,26.79250336,292.9599915,0.8728295565,502.980011,13.9798317,502.980011,104.2277069,292.9599915,33.45890045,433.0299988,115.7281418,273.0700073,0.2391996384,417.8699951,137.0202942,
334,3.41374445,274,6.608310699,433.9299927,202.4272156,433.9299927,86.64655304,274,-4.378292084,494.019989,200.141922,274,-1.635313511,274,-0.4442234039,443.9299927,24.67640305,274,-1.011904478,424,27.19896317,294.0599976,1.228013158,504.019989,13.86215782,504.019989,109.4458466,294.0599976,36.36114502,433.9299927,122.1822586,274,0.887471199,418.9299927,142.3512268,
335.0700073,3.463247776,275.0700073,8.641576767,435,208.1886292,435,90.76795197,275.0700073,-4.954394341,495.0700073,215.3699799,275.0700073,-2.097850323,275.0700073,-0.4650239944,445,25.74208832,275.0700073,-0.8733212948,425.0700073,28.6173439,295,1.253615975,505.0700073,14.50130272,505.0700073,112.7154388,295,40.05892181,435,126.9136276,275.0700073,1.343987465,419.8399963,149.8495789,
336,3.51438427,276,10.27709198,436.0599976,218.897644,436.0599976,96.72369385,276,-4.449806213,495.9700012,228.0223846,276,-2.684968948,276,-0.4886445999,446.0599976,26.71087265,276,-0.757545948,426,29.21091461,295.9299927,1.185851932,505.9700012,15.16731834,505.9700012,118.0203247,295.9299927,41.61571503,436.0599976,131.4599915,276,1.676949501,420.9200134,157.0750427,
337.0700073,3.914981365,277.0700073,12.91100121,436.9599915,225.8060913,436.9599915,101.0603638,277.0700073,-4.83608532,497.0100098,240.6238251,277.0700073,-2.367213726,277.0700073,-0.3569777012,446.9599915,28.76926041,277.0700073,-1.10992527,427.0700073,31.64707947,297.0299988,1.209911942,507.0100098,15.04499054,507.0100098,121.8600922,297.0299988,44.14713287,436.9599915,135.6781311,277.0700073,2.050913811,421.8399963,160.7602234,
338,4.26766777,278,15.08366966,438.0299988,235.6352844,438.0299988,104.1792984,278,-5.480958939,498.0499878,256.1629028,278,-2.484170437,278,-0.485850215,448.0299988,29.94375229,278,-0.6564249992,428,31.42214584,297.9599915,1.397007108,508.0499878,15.73476219,508.0499878,124.3888245,297.9599915,46.62891388,438.0299988,140.4675293,278,3.148504257,422.9200134,168.9612427,
339.0700073,4.805037975,279.0700073,17.53333855,438.9299927,239.6150208,438.9299927,110.0378494,279.0700073,-5.532235146,498.9500122,266.7353516,279.0700073,-2.350265503,279.0700073,-0.07785129547,448.9299927,30.98589706,279.0700073,-0.6381268501,429.0700073,32.29875946,299.0599976,1.582083583,508.9500122,14.78051758,508.9500122,128.6688995,299.0599976,48.1611557,438.9299927,145.4620361,279.0700073,3.141532898,423.8399963,169.9088745,
340,5.455246449,280,14.52353859,440,248.519928,440,113.5771866,280,-10.96141148,500,284.8896484,280,-3.711262703,280,-0.3217908144,450,32.28532791,280,-0.7760398388,430,34.2347908,300,1.708491921,510,15.4925518,510,129.6847534,300,51.22258759,440,149.3221436,280,2.550611496,424.9200134,176.3702087,
341.0700073,5.908990383,280.9299927,15.97823906,441.0599976,257.2070618,441.0599976,119.3223495,280.9299927,-11.59811497,501.0400085,305.9280396,280.9299927,-3.863672018,280.9299927,-0.5338660479,451.0599976,33.67991638,280.9299927,-0.9326491356,431.0599976,35.34420013,301.0700073,1.56155479,511.0599976,15.97802925,511.0599976,132.5462799,301.0700073,54.33969879,441.0599976,154.0178223,280.9299927,3.636407852,425.8399963,182.8387146,
342,5.865686893,282.0299988,18.54600716,441.9599915,265.5832214,441.9599915,120.8306961,282.0299988,-11.0900526,501.9400024,319.4996338,282.0299988,-4.138115883,282.0299988,-0.3077069521,451.9599915,34.04293823,282.0299988,-0.7821240425,431.9599915,36.4660759,302,1.809671998,511.9599915,15.51159859,511.9599915,134.7966461,302,56.06027985,441.9599915,157.9586792,282.0299988,4.734762192,426.9200134,188.0319214,
343.0700073,6.82860136,282.9599915,21.04620934,443.0299988,270.5948181,443.0299988,128.2805328,282.9599915,-11.78523254,502.980011,336.8041382,282.9599915,-4.542060375,282.9599915,-0.4146559238,453.0299988,36.52077103,282.9599915,-0.892226696,433.0299988,37.16395187,303.0700073,1.898753285,513.0300293,16.30979729,513.0300293,136.754303,303.0700073,60.7872467,443.0299988,161.9744263,282.9599915,4.379577637,427.8399963,190.4098816,
344,6.65248251,284.0599976,23.58403206,443.9299927,280.2791138,443.9299927,132.1108398,284.0599976,-11.49055862,504.019989,353.1311646,284.0599976,-4.729522228,284.0599976,-0.2140586376,453.9299927,37.76107025,284.0599976,-0.8535864353,433.9299927,37.2702713,304,2.393803596,513.9299927,15.15873146,513.9299927,138.5383453,304,64.0138855,443.9299927,166.3056946,284.0599976,5.587013245,428.9200134,195.1571045,
345.0700073,7.054354191,285,25.32682228,445,287.0887146,445,138.3530426,285,-11.84240913,505.0700073,375.3739014,285,-4.776821613,285,-0.1396535635,455,37.79698563,285,-0.3958172798,435,38.685009,305.0700073,2.651692867,515,15.73646736,515,137.4490204,305.0700073,66.85262299,445,169.9323425,285,6.916837692,429.8399963,201.2668152,
