CdS sonochem 180min ex330-400_EX_330.00,,CdS sonochem 180min ex330-400_EX_335.00,,CdS sonochem 180min ex330-400_EX_340.00,,CdS sonochem 180min ex330-400_EX_345.00,,CdS sonochem 180min ex330-400_EX_350.00,,CdS sonochem 180min ex330-400_EX_355.00,,CdS sonochem 180min ex330-400_EX_360.00,,CdS sonochem 180min ex330-400_EX_365.00,,CdS sonochem 180min ex330-400_EX_370.00,,CdS sonochem 180min ex330-400_EX_375.00,,CdS sonochem 180min ex330-400_EX_380.00,,CdS sonochem 180min ex330-400_EX_385.00,,CdS sonochem 180min ex330-400_EX_390.00,,CdS sonochem 180min ex330-400_EX_395.00,,CdS sonochem 180min ex330-400_EX_400.00,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
436.0599976,0.1172485352,436.0599976,7.068161011,436.0599976,14.60963821,436.0599976,20.10118103,436.0599976,25.18317795,436.0599976,30.30335236,436.0599976,31.42456818,436.0599976,33.63137054,436.0599976,32.76239777,436.0599976,27.15345764,436.0599976,23.47341537,436.0599976,15.63858795,436.0599976,8.074798584,436.0599976,0.1398048401,436.0599976,-7.166927338,
436.9599915,1.040779114,436.9599915,6.258617401,436.9599915,14.45027542,436.9599915,21.1054306,436.9599915,24.68183517,436.9599915,30.76808167,436.9599915,32.27444458,436.9599915,32.04964447,436.9599915,30.91814423,436.9599915,28.56433868,436.9599915,22.81388092,436.9599915,16.30224991,436.9599915,8.766658783,436.9599915,0.8979110718,436.9599915,-6.261749268,
438.0299988,0.3356018066,438.0299988,6.479000092,438.0299988,14.27446365,438.0299988,19.45829391,438.0299988,25.63526154,438.0299988,30.41889191,438.0299988,33.54011536,438.0299988,31.49197388,438.0299988,32.42440033,438.0299988,29.7171936,438.0299988,23.16288757,438.0299988,16.92945099,438.0299988,9.361915588,438.0299988,1.74066925,438.0299988,-4.551635742,
438.9299927,-0.1241950989,438.9299927,5.82604599,438.9299927,12.44065475,438.9299927,20.22143555,438.9299927,24.74772644,438.9299927,28.45876312,438.9299927,31.85326385,438.9299927,33.29494476,438.9299927,32.57401276,438.9299927,29.16217041,438.9299927,24.51145935,438.9299927,17.13605118,438.9299927,9.261089325,438.9299927,2.34154129,438.9299927,-4.31072998,
440,-1.179679871,440,6.67647934,440,11.53527451,440,20.42498398,440,26.26820374,440,28.83105469,440,32.12757874,440,32.32899475,440,33.56594849,440,29.79241943,440,23.84918594,440,18.53720474,440,10.16811752,440,2.877429962,440,-3.893287659,
441.0599976,-1.536262512,441.0599976,6.867336273,441.0599976,12.31447983,441.0599976,19.71225357,441.0599976,22.25906372,441.0599976,29.26266479,441.0599976,30.25184631,441.0599976,30.89315796,441.0599976,32.63624573,441.0599976,29.35545349,441.0599976,25.38373947,441.0599976,18.75719452,441.0599976,12.85902786,441.0599976,4.070861816,441.0599976,-3.211456299,
441.9599915,-3.049430847,441.9599915,4.596115112,441.9599915,12.03113556,441.9599915,19.35671234,441.9599915,23.55014038,441.9599915,28.27359772,441.9599915,30.96990967,441.9599915,32.12109375,441.9599915,32.67034149,441.9599915,30.20821381,441.9599915,25.93774033,441.9599915,19.34262848,441.9599915,11.21479416,441.9599915,4.599544525,441.9599915,-2.428806305,
443.0299988,-2.455673218,443.0299988,4.629104614,443.0299988,11.47140503,443.0299988,18.76539612,443.0299988,22.84488678,443.0299988,28.09992981,443.0299988,32.102211,443.0299988,32.02832031,443.0299988,33.8204422,443.0299988,29.46748352,443.0299988,24.78988647,443.0299988,18.96411514,443.0299988,11.99570084,443.0299988,4.887275696,443.0299988,-1.752182007,
443.9299927,-2.111461639,443.9299927,5.135990143,443.9299927,10.54576492,443.9299927,16.10334015,443.9299927,22.41209793,443.9299927,28.99867249,443.9299927,31.86281586,443.9299927,32.16018677,443.9299927,32.97608948,443.9299927,30.33216858,443.9299927,26.41349792,443.9299927,19.81967926,443.9299927,13.15794373,443.9299927,4.560901642,443.9299927,-1.326583862,
445,-3.715682983,445,3.491661072,445,10.26353073,445,17.12248993,445,23.36785126,445,27.71380615,445,30.67737579,445,32.49954224,445,32.09390259,445,29.87307739,445,25.45935822,445,19.2989502,445,13.41970062,445,6.560546875,445,-0.4129676819,
