CdSe sonochem 30min ex300,,CdSe sonochem 30min ex300 slit10nm,,CdSe sonochem 30min ex375 slit10nm,,CdSe sonochem 30min slit10nm ex320,,CdSe sonochem 30min slit10nm em600,,CdSe sonochem 30min slit10nm ex420,,CdSe sonochem 30min slit10nm em610,,CdSe sonochem 30min slit10nm ex485,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
359.0700073,2.12701416,369.0700073,27.33068466,289.0599976,-13.76435852,389.0700073,36.87685394,369.0700073,67.96075439,488.9299927,1.476964951,369.0700073,6.948424339,543.9699707,6.248007774,
360,1.875282168,370,27.63397026,290,-15.12600517,390,36.15183258,370,72.43200684,490,1.209381104,370,6.614063263,544.8499756,6.627258301,
361.0700073,2.026963711,371.0700073,28.54252625,290.9299927,-14.57716751,391.0700073,35.1734314,371.0700073,72.38656616,491.0400085,1.202220917,371.0700073,7.222070694,545.8800049,6.953268051,
362,2.299752712,372,27.94820023,292.0299988,-15.19110107,392,34.14651489,372,74.78385925,491.9400024,0.6873588562,372,6.766433716,546.9099731,7.625417709,
363.0700073,2.260211229,373.0700073,27.9817276,292.9599915,-14.5592804,393.0700073,34.94901276,373.0700073,77.26390076,492.980011,0.8836231232,373.0700073,6.795017242,547.9400024,7.588749886,
364,2.154178858,374,29.02013779,294.0599976,-14.83595657,394,33.50327301,374,78.33622742,494.019989,0.6000671387,374,6.58589077,548.9699707,8.141569138,
365.0700073,2.15338707,375.0700073,28.24354553,295,-13.78898048,395.0700073,34.11460114,375.0700073,76.07620239,495.0700073,0.4700393677,375.0700073,7.245480537,549.8499756,8.240383148,
366,2.451955795,376,27.9998436,295.9299927,-12.97885132,396,32.69178009,376,77.27424622,495.9700012,0.8851566315,376,6.140386581,550.8900146,8.38337326,
367.0700073,2.224641562,377.0700073,27.6858139,297.0299988,-12.79431534,397.0700073,31.13643837,377.0700073,78.35102844,497.0100098,0.6260757446,377.0700073,6.849071503,551.9400024,8.876243591,
368,2.124116182,378,28.48326111,297.9599915,-11.79059982,398,30.574049,378,78.05316162,498.0499878,1.150047302,378,6.967404366,552.9799805,9.431580544,
369.0700073,2.162579298,379.0700073,28.78177452,299.0599976,-10.94614792,399.0700073,29.11709404,379.0700073,78.23426819,498.9500122,0.9801616669,379.0700073,6.9272089,553.8800049,9.427130699,
370,2.264461994,380,28.51251221,300,-9.554489136,400,26.59562492,380,80.94165039,500,1.140388489,380,7.083510399,554.9199829,10.11342716,
371.0700073,2.259208441,381.0700073,28.18442726,301.0700073,-8.566818237,401.0700073,27.26238441,381.0700073,81.10218811,501.0400085,1.649801254,381.0700073,7.867549896,555.9699707,10.52853298,
372,2.137088299,382,27.970438,302,-7.304443359,402,26.3541317,382,81.00619507,501.9400024,1.679166794,382,7.03286171,556.8599854,10.44333172,
373.0700073,2.48892045,383.0700073,27.97276878,303.0700073,-5.653560638,403.0700073,23.90071297,383.0700073,80.31028748,502.980011,2.660634995,383.0700073,7.576375961,557.9099731,11.11188221,
374,2.27489233,384,28.06241035,304,-4.30865097,404,24.28495979,384,81.26473999,504.019989,2.695516586,384,7.608343124,558.9500122,11.50492573,
375.0700073,2.219353199,385.0700073,28.09431267,305.0700073,-1.092288971,405.0700073,22.20635033,385.0700073,83.25558472,505.0700073,3.351644516,385.0700073,7.049694061,559.8499756,11.64277935,
376,2.169592142,386,28.29630089,306,0.6882209778,406,22.24447823,386,83.03483582,505.9700012,3.808925629,386,7.609294891,560.8900146,11.83719921,
377.0700073,2.068100691,387.0700073,27.72932816,307.0700073,3.98608017,407.0700073,18.98812294,387.0700073,83.64152527,507.0100098,4.519319534,387.0700073,7.557950974,561.9400024,11.92183685,
378,2.328091383,388,26.78651237,308,3.386322021,408,19.70900154,388,84.298172,508.0499878,4.997505188,388,7.361724854,562.9799805,12.36952019,
379.0700073,2.453919649,389.0700073,27.02435303,309.0700073,5.950645447,409.0700073,19.86845589,389.0700073,84.89657593,508.9500122,5.798906326,389.0700073,7.947132111,563.8800049,12.96957493,
380,2.522906303,390,26.0377655,310,8.759498596,410,18.04796791,390,87.02990723,510,6.28594017,390,7.278577805,564.9199829,12.97039318,
381.0700073,2.309490204,391.0700073,26.07030296,311.0700073,10.83074951,411.0599976,16.48303032,391.0599976,85.68936157,511.0599976,7.691331863,391.0599976,7.524787903,565.9699707,13.19795895,
382,2.189782619,392,26.48478889,312,11.76416016,411.9599915,14.67179298,391.9599915,86.45126343,511.9599915,8.205627441,391.9599915,7.347457886,566.8599854,13.67892551,
383.0700073,2.493053675,393.0700073,25.3927784,313.0700073,13.10512543,413.0299988,14.65831947,393.0299988,87.16893005,513.0300293,8.87963295,393.0299988,7.807178497,567.9099731,13.66585064,
384,2.285682678,394,25.50268364,314,13.91599274,413.9299927,14.12928581,393.9299927,87.15258789,513.9299927,10.5550766,393.9299927,7.907772064,568.9500122,14.09428692,
385.0700073,2.138667345,395.0700073,24.81871033,315.0700073,16.1507225,415,13.43122292,395,87.42366028,515,11.60584259,395,8.183958054,569.8499756,14.59041691,
386,1.994905472,396,24.01142502,316,17.27453232,416.0599976,11.29339027,396.0599976,86.71261597,516.0599976,12.87757683,396.0599976,7.838668823,570.8800049,14.54336071,
387.0700073,2.218242407,397.0700073,22.94210243,317.0700073,18.18081284,416.9599915,13.07140541,396.9599915,87.72138977,516.960022,14.01233673,396.9599915,7.624977112,571.9099731,14.1411581,
388,2.306913137,398,23.39723396,318,17.85807037,418.0299988,11.61868858,398.0299988,88.01142883,518.0300293,15.50855827,398.0299988,7.788024902,572.9400024,14.75524426,
389.0700073,2.077779531,399.0700073,23.07525063,319.0700073,20.70705414,418.9299927,9.586259842,398.9299927,88.35871887,518.9299927,16.36306572,398.9299927,7.818712234,573.9699707,15.09125233,
390,2.010794878,400,23.43166733,320,20.59341431,420,10.38816261,400,87.90103149,520,18.09772682,400,8.240756989,574.8499756,15.14217854,
391.0700073,2.164812326,401.0700073,22.18400192,320.9299927,20.93770218,421.0700073,9.705198288,401.0700073,88.65646362,521.039978,19.98324013,401.0700073,7.525009155,575.8800049,14.99856472,
