CdS sonochem 150min em420,,CdS sonochem 150min ex330,,CdS sonochem 150min em470,,CdS sonochem 150min ex355,,CdS sonochem 150min em520,,CdS sonochem 150min ex345,,CdS sonochem 150min ex345 slow,,CdS sonochem 150min em455 slow,,CdS sonochem 150min ex295,,CdS sonochem 150min em350,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
289.0599976,32.56834412,389.0700073,143.006485,289.0599976,27.11991882,413.9299927,106.1930771,319.0700073,102.5534744,403.8399963,109.0015106,403.8399963,107.8646774,289.0599976,27.58468628,354,121.1122894,289.0599976,90.14002991,
290,37.08675003,390,141.8722229,290,29.91521835,414.8399963,107.2742691,320,103.8822556,404.9200134,112.5774384,404.9200134,110.554718,290,30.57555771,355.0700073,120.5161743,290,96.88681793,
290.9299927,39.89910126,391.0700073,143.9536896,290.9299927,33.26657486,415.8999939,111.2511978,320.9299927,104.0931091,405.8399963,114.6197662,405.8399963,113.6570587,290.9299927,33.66015244,356,120.0126953,290.9299927,102.4591904,
292.0299988,47.58298111,392,144.9628906,292.0299988,38.51835251,416.9599915,113.3234787,322.0299988,105.39711,406.9200134,116.6364288,406.9200134,114.1416626,292.0299988,37.80439758,357.0700073,118.8669891,292.0299988,106.2459946,
292.9599915,51.75667953,393.0700073,145.9194489,292.9599915,40.68454361,417.8699951,115.464653,322.9599915,106.0933456,407.8399963,119.7816772,407.8399963,116.1481781,292.9599915,41.85881805,358,120.464325,292.9599915,111.3258438,
294.0599976,57.77556229,394,146.6026764,294.0599976,44.74230194,418.9299927,116.2950211,324.0599976,107.0916443,408.9200134,120.0136261,408.9200134,116.5002899,294.0599976,46.19287872,359.0700073,121.0840454,294.0599976,116.0417786,
295,61.95492172,395.0700073,144.1290894,295,48.61703873,419.8399963,118.549675,325,108.4365234,409.8399963,119.1733246,409.8399963,118.6535034,295,50.17790222,360,121.0876617,295,119.6044998,
295.9299927,65.52083588,396,146.7034302,295.9299927,51.82398224,420.9200134,120.6917496,325.9299927,109.1584396,410.8999939,119.6606903,410.8999939,119.1267395,295.9299927,53.03536606,361.0700073,122.1687775,295.9299927,124.0021362,
297.0299988,72.11492157,397.0700073,143.3145752,297.0299988,54.26215363,421.8399963,120.8886185,327.0299988,107.8454132,411.9599915,121.6768036,411.9599915,120.95755,297.0299988,56.39103317,362,121.5160828,297.0299988,127.9912567,
297.9599915,76.03959656,398,143.0271149,297.9599915,56.41986847,422.9200134,122.5452042,327.9599915,107.8252258,412.8699951,123.3983002,412.8699951,122.8374023,297.9599915,59.11933517,363.0700073,122.9828949,297.9599915,128.3397827,
299.0599976,80.89933014,399.0700073,144.7809448,299.0599976,59.2999115,423.8399963,123.0145798,329.0599976,114.0911636,413.9299927,123.526413,413.9299927,124.3179169,299.0599976,62.28535843,364,121.9211426,299.0599976,132.6715698,
300,82.95025635,400,143.559906,300,61.45767212,424.9200134,124.3222275,330,110.6146545,414.8399963,125.6616669,414.8399963,125.7955475,300,63.48257065,365.0700073,122.9653015,300,131.3226624,
301.0700073,88.23505402,401.0700073,140.6931458,301.0700073,66.14793396,425.8399963,125.1403732,331.0700073,114.8412399,415.8999939,127.0100098,415.8999939,125.9141541,301.0700073,67.65810394,366,122.6825714,301.0700073,133.7960663,
302,93.2305603,402,140.877243,302,66.2467041,426.9200134,126.4366989,332,110.4942474,416.9599915,130.1314545,416.9599915,128.4263153,302,70.44368744,367.0700073,121.6096802,302,131.1394806,
303.0700073,97.25506592,403.0700073,138.9347687,303.0700073,69.41259003,427.8399963,125.7734299,333.0700073,114.0252228,417.8699951,132.1786346,417.8699951,129.3205109,303.0700073,73.64350128,368,119.1372986,303.0700073,131.6564789,
304,100.8921356,404,143.4924927,304,69.91619873,428.9200134,127.129097,334,115.0898361,418.9299927,130.5733337,418.9299927,130.6748199,304,76.84661102,369.0700073,121.2024536,304,131.0732574,
305.0700073,104.6395569,405.0700073,139.406189,305.0700073,74.37568665,429.8399963,127.7248306,335.0700073,117.0547791,419.8399963,132.2501831,419.8399963,130.652298,305.0700073,79.38564301,370,119.5096436,305.0700073,130.5219727,
306,109.2851639,406,141.0635986,306,78.00363922,430.8999939,128.2859802,336,118.7571793,420.9200134,134.122345,420.9200134,131.7642975,306,82.10930634,371.0700073,119.9599152,306,127.4571533,
307.0700073,110.973877,407.0700073,139.1654816,307.0700073,80.3417511,431.9599915,131.5195007,337.0700073,118.1537857,421.8399963,134.9762726,421.8399963,133.4801788,307.0700073,84.21331024,372,116.9415283,307.0700073,124.4541779,
308,114.7598495,408,140.4272308,308,83.2106781,432.8699951,133.3606873,338,117.6847,422.9200134,133.45784,422.9200134,133.1203461,308,87.3311615,373.0700073,116.4085083,308,122.7787476,
309.0700073,119.4914169,409.0700073,137.2717743,309.0700073,84.76848602,433.9299927,131.1128235,339.0700073,121.2166443,423.8399963,136.6414948,423.8399963,133.5616302,309.0700073,88.93680573,374,115.7964935,309.0700073,122.6858673,
310,123.1813583,410,139.0579071,310,85.5100174,434.8399963,131.1163635,340,120.8711319,424.9200134,134.6248322,424.9200134,134.2312164,310,91.68814087,375.0700073,114.9937134,310,119.6567764,
311.0700073,128.5321808,411.0599976,134.923233,311.0700073,88.72036743,435.8999939,130.5876465,341.0700073,121.1193314,425.8399963,135.5874939,425.8399963,134.0110931,311.0700073,92.68679047,376,113.2605591,311.0700073,118.3988342,
312,128.1835632,411.9599915,137.4654694,312,89.9940033,436.9599915,130.1879272,342,120.3861847,426.9200134,132.5096283,426.9200134,135.5856018,312,93.9981308,377.0700073,113.5368652,312,117.3956604,
313.0700073,130.634201,413.0299988,134.1459961,313.0700073,90.31269073,437.8699951,134.1288757,343.0700073,122.2771912,427.8399963,137.4260559,427.8399963,134.7762299,313.0700073,96.47693634,378,112.7518005,313.0700073,113.9936218,
314,133.690979,413.9299927,134.6822205,314,95.20959473,438.9299927,131.741333,344,123.1109467,428.9200134,134.8593597,428.9200134,135.506424,314,97.70639038,379.0700073,112.8655243,314,111.9387817,
315.0700073,135.8862457,415,134.0927887,315.0700073,93.57892609,439.8399963,131.4890747,345.0700073,125.2401276,429.8399963,137.4238129,429.8399963,134.778656,315.0700073,100.2294159,380,108.6469116,315.0700073,108.3918762,
316,134.7917175,416.0599976,133.1064758,316,95.07878113,440.8999939,134.5804138,346,128.105896,430.8999939,137.8483124,430.8999939,134.6330719,316,101.3163147,381.0700073,108.986145,316,103.9702835,
317.0700073,137.2511902,416.9599915,133.7523651,317.0700073,95.66191101,441.9599915,134.5515137,347.0700073,122.6421356,431.9599915,134.2518463,431.9599915,134.2290802,317.0700073,103.8393936,382,106.5674438,317.0700073,100.5065536,
318,139.010437,418.0299988,132.617218,318,99.24505615,442.8699951,134.5982971,348,125.0518341,432.8699951,135.2040405,432.8699951,133.4058685,318,104.4273529,383.0700073,107.8851776,318,96.30793762,
319.0700073,140.8241882,418.9299927,130.1704559,319.0700073,96.54177856,443.9299927,132.1872253,349.0700073,127.2007751,433.9299927,135.2305908,433.9299927,132.9643097,319.0700073,106.3453293,384,105.5823975,319.0700073,91.42823029,
320,142.5028839,420,128.5299377,320,102.5233841,444.8399963,133.5328064,350,124.4959106,434.8399963,136.0565948,434.8399963,134.0058594,320,107.9933548,385.0700073,104.3385925,320,88.87926483,
320.9299927,140.0627594,421.0700073,127.7938232,320.9299927,102.8385086,445.8999939,134.1471863,351.0700073,123.7389832,435.8999939,134.8975983,435.8999939,134.2778015,320.9299927,109.6643219,386,103.0371399,320.9299927,83.47122955,
322.0299988,143.1628265,422,126.7342987,322.0299988,105.8908463,446.9599915,136.6059875,352,124.9016571,436.9599915,133.6764374,436.9599915,134.0848999,322.0299988,110.7219467,387.0700073,103.260025,322.0299988,80.57229614,
322.9599915,146.8652039,423.0700073,123.9696655,322.9599915,104.5673904,447.8699951,136.2723389,353.0700073,123.7262878,437.8699951,134.6669922,437.8699951,134.3396759,322.9599915,111.8223267,388,103.8456116,322.9599915,77.53860474,
324.0599976,144.8048401,424,125.3431244,324.0599976,107.461792,448.9299927,138.0028076,354,125.0437622,438.9299927,135.6927032,438.9299927,133.6590881,324.0599976,113.5888214,389.0700073,99.75700378,324.0599976,77.99324799,
325,146.9176483,425.0700073,124.8734589,325,108.6245193,449.8399963,136.8676453,355.0700073,121.938324,439.8399963,135.6066437,439.8399963,132.978302,325,115.4591217,390,100.7618713,325,75.58228302,
325.9299927,145.0520477,426,123.2303009,325.9299927,111.1522827,450.8999939,136.3100281,356,123.2001572,440.8999939,134.9815063,440.8999939,133.7072754,325.9299927,116.3769379,391.0700073,99.68371582,325.9299927,72.50978088,
327.0299988,147.1309052,427.0700073,122.902298,327.0299988,111.2478638,451.9599915,137.9571228,357.0700073,123.2402878,441.9599915,135.7102814,441.9599915,133.7125854,327.0299988,117.8509674,392,96.5291748,327.0299988,71.11416626,
327.9599915,149.7066956,428,118.747406,327.9599915,111.0344391,452.8699951,137.0522156,358,122.8864899,442.8699951,133.5239105,442.8699951,132.4597778,327.9599915,119.0859375,393.0700073,95.95475769,327.9599915,67.28077698,
329.0599976,150.3535309,429.0700073,119.2404633,329.0599976,110.4663239,453.9299927,141.0749512,359.0700073,120.4945526,443.9299927,134.0422668,443.9299927,132.8106995,329.0599976,119.881012,394,94.27851868,329.0599976,64.97784424,
330,147.3343048,430,116.6054993,330,115.2303467,454.8399963,139.3235168,360,120.6556168,444.8399963,134.381424,444.8399963,133.4731293,330,121.2541656,395.0700073,92.28128052,330,58.47739029,
331.0700073,147.1405334,431.0599976,117.9156189,331.0700073,116.5170746,455.8999939,139.1505127,361.0700073,120.2099991,445.8999939,132.9396667,445.8999939,133.844986,331.0700073,123.3109131,396,92.38357544,331.0700073,52.82690811,
332,149.6234894,431.9599915,114.0523224,332,117.3809662,456.9599915,141.2233276,362,119.6412582,446.9599915,135.0029755,446.9599915,134.1927948,332,124.853302,397.0700073,92.60830688,332,47.32697678,
333.0700073,151.582901,433.0299988,112.1390839,333.0700073,120.798111,457.8699951,138.6978455,363.0700073,118.1469345,447.8699951,135.5570221,447.8699951,133.8712006,333.0700073,125.9972229,398,89.26495361,333.0700073,42.81144333,
334,147.4438934,433.9299927,115.2725983,334,121.8926086,458.9299927,140.432251,364,116.766571,448.9299927,133.6147766,448.9299927,133.5901947,334,126.9107361,399.0700073,89.53735352,334,39.46556091,
335.0700073,147.3649902,435,108.836731,335.0700073,121.4926758,459.8399963,139.2362366,365.0700073,117.3091278,449.8399963,135.534256,449.8399963,133.9394379,335.0700073,128.0017548,400,88.01010132,335.0700073,35.17726898,
336,146.5936279,436.0599976,107.343338,336,121.6782227,460.8999939,138.7793884,366,115.0311356,450.8999939,136.9350281,450.8999939,134.3102264,336,129.1490021,401.0700073,87.04399109,336,28.76589394,
337.0700073,145.6446991,436.9599915,108.6780853,337.0700073,124.5162048,461.9599915,139.8721619,367.0700073,111.6334686,451.9599915,135.5119476,451.9599915,133.2576904,337.0700073,130.7002106,402,86.20977783,337.0700073,25.50322533,
338,146.1437073,438.0299988,110.3835754,338,127.2384491,462.8699951,138.0282288,368,110.8286896,452.8699951,134.1380463,452.8699951,134.6517944,338,131.7976227,403.0700073,83.3021698,338,22.45035362,
339.0700073,141.8773804,438.9299927,106.1261292,339.0700073,126.250824,463.9299927,139.6967773,369.0700073,109.0883484,453.9299927,135.7171021,453.9299927,134.7563324,339.0700073,132.929657,404,83.63516235,339.0700073,18.7659359,
340,140.5434875,440,103.7270355,340,127.6981659,464.8399963,140.371521,370,109.6087265,454.8399963,135.6095123,454.8399963,135.0069427,340,135.0028839,405.0700073,82.15214539,340,15.59924889,
341.0700073,136.8726196,441.0599976,104.0706177,341.0700073,131.236557,465.8999939,137.8779297,371.0700073,108.2828827,455.8999939,135.9098511,455.8999939,133.6605835,341.0700073,136.5279236,406,82.32209778,,,
342,135.1108704,441.9599915,104.5769501,342,132.9376831,466.9599915,137.0170593,372,104.9480133,456.9599915,136.445755,456.9599915,134.7965088,342,137.0385437,407.0700073,80.8822937,,,
343.0700073,137.7003479,443.0299988,103.3200531,343.0700073,134.5699615,467.8699951,135.8208008,373.0700073,103.9206619,457.8699951,134.2033997,457.8699951,134.9456024,343.0700073,139.0813293,408,79.11741638,,,
344,135.9631348,443.9299927,104.0578613,344,135.2710419,468.9299927,137.0301514,374,101.4716492,458.9299927,134.0491486,458.9299927,133.9685974,344,140.2017059,409.0700073,77.15734863,,,
345.0700073,133.4738007,445,103.873764,345.0700073,135.6182709,469.8399963,134.6073303,375.0700073,100.1133194,459.8399963,135.6170959,459.8399963,134.7859802,345.0700073,140.4266968,410,77.75752258,,,
346,132.5331116,446.0599976,103.9302979,346,136.5373383,470.8999939,133.4333191,376,98.94360352,460.8999939,134.7647705,460.8999939,134.8655396,346,141.6389465,411.0599976,77.97412109,,,
347.0700073,131.5570831,446.9599915,100.4057617,347.0700073,136.9581146,471.9599915,132.210083,377.0700073,95.78617859,461.9599915,134.2517853,461.9599915,134.0937958,347.0700073,143.053421,411.9599915,75.82376099,,,
348,130.944931,448.0299988,100.6879883,348,139.5412903,472.8699951,132.0570068,378,96.1160965,462.8699951,135.146698,462.8699951,132.8119659,348,143.2749786,413.0299988,74.86341858,,,
349.0700073,128.2732544,448.9299927,100.6570129,349.0700073,138.2143707,473.9299927,132.7615051,379.0700073,92.76402283,463.9299927,132.5610199,463.9299927,133.0742645,349.0700073,142.7984009,413.9299927,74.83106995,,,
350,125.8530807,450,102.944046,350,138.9502869,474.8399963,132.3909912,380,92.83253479,464.8399963,132.1212158,464.8399963,133.0446472,350,142.3932648,415,72.21304321,,,
351.0700073,126.9437027,451.0599976,99.43760681,351.0700073,139.4623871,475.8999939,129.5580139,381.0700073,87.84527588,465.8999939,132.6206512,465.8999939,131.8308105,351.0700073,144.2733307,416.0599976,73.26765442,,,
352,122.5810776,451.9599915,101.0723267,352,140.4118958,476.9599915,129.259613,382,87.11613464,466.9599915,130.6607208,466.9599915,130.7951813,352,143.3509827,416.9599915,70.83984375,,,
353.0700073,121.4983444,453.0299988,99.2255249,353.0700073,140.1970215,477.8699951,129.594696,383.0700073,85.08004761,467.8699951,132.5214233,467.8699951,129.5046692,353.0700073,142.8059998,418.0299988,70.18862915,,,
354,117.4946671,453.9299927,97.072052,354,139.1033173,478.9299927,129.4627991,384,83.53699493,468.9299927,132.3153839,468.9299927,129.007309,354,141.3790741,418.9299927,69.90245056,,,
355.0700073,119.4237289,455,99.14292908,355.0700073,140.9398499,479.8399963,126.3945999,385.0700073,82.01396179,469.8399963,131.5129395,469.8399963,128.8003387,355.0700073,142.8933258,420,68.5493927,,,
356,114.4341202,456.0599976,99.16943359,356,138.1303711,480.8999939,125.5300674,386,79.3236084,470.8999939,128.0727386,470.8999939,127.1157379,356,141.381546,421.0700073,67.82803345,,,
357.0700073,113.3987122,456.9599915,99.1330719,357.0700073,138.6265259,481.9599915,126.5680923,387.0700073,77.68019104,471.9599915,127.8357239,471.9599915,126.9434052,357.0700073,139.6372681,422,68.01263428,,,
358,110.127739,458.0299988,95.27107239,358,137.3033447,482.8699951,126.5694199,388,76.90810394,472.8699951,128.2601624,472.8699951,127.6540985,358,139.0832825,423.0700073,66.5778656,,,
359.0700073,107.1714249,458.9299927,97.44662476,359.0700073,136.8449402,483.9299927,125.5549393,389.0700073,73.94699097,473.9299927,126.3866272,473.9299927,124.5616913,359.0700073,138.8653259,424,65.93228149,,,
