CdS sonochem 90min ex335,,CdS sonochem 90min em410,,CdS sonochem 90min ex300,,CdS sonochem 90min em350,,CdS sonochem 90min ex295,,CdS sonochem 90min ex295 slow,,CdS sonochem 90min ex335 slow,,CdS sonochem 90min em410 slow,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
425.8399963,130.5493164,320.9299927,132.9964294,391.0700073,92.40922546,320.9299927,60.37589645,386,89.23241425,386,88.26237488,425.8399963,130.4339294,320.9299927,130.5903168,
426.9200134,128.7029877,322.0299988,129.602417,392,92.18881226,322.0299988,56.30924606,387.0700073,87.83262634,387.0700073,87.35683441,426.9200134,128.2857971,322.0299988,133.1685181,
427.8399963,124.294281,322.9599915,132.7857056,393.0700073,91.16111755,322.9599915,55.17307663,388,85.88155365,388,86.51967621,427.8399963,124.7643661,322.9599915,135.6412659,
428.9200134,120.8889465,324.0599976,139.8036194,394,89.36598206,324.0599976,52.53585434,389.0700073,86.9727478,389.0700073,87.0190506,428.9200134,123.8001938,324.0599976,138.0601501,
429.8399963,119.3255005,325,140.7462158,395.0700073,88.80914307,325,50.50902557,390,84.41816711,390,85.61448669,429.8399963,122.9140701,325,139.5413513,
430.8999939,117.4416351,325.9299927,140.6639099,396,89.14587402,325.9299927,49.5151825,391.0700073,83.99642181,391.0700073,85.27544403,430.8999939,120.2632065,325.9299927,140.0918732,
431.9599915,113.5083008,327.0299988,141.4128876,397.0700073,87.49884033,327.0299988,47.64767075,392,85.35061646,392,84.30564117,431.9599915,118.4897537,327.0299988,142.4047546,
432.8699951,112.8733215,327.9599915,141.1391602,398,89.27650452,327.9599915,47.49503708,393.0700073,83.54922485,393.0700073,84.14428711,432.8699951,116.7116776,327.9599915,143.2190857,
433.9299927,113.7867737,329.0599976,143.5617218,399.0700073,86.12518311,329.0599976,44.3512764,394,82.69955444,394,83.7201004,433.9299927,113.4308395,329.0599976,144.2909241,
434.8399963,110.4360657,330,144.942688,400,88.50553894,330,41.20820236,395.0700073,83.75460052,395.0700073,82.99845123,434.8399963,111.3174515,330,145.6972198,
435.8999939,109.6938477,331.0700073,144.6516571,401.0700073,87.19363403,331.0700073,35.65662384,396,83.63047028,396,82.8894577,435.8999939,110.4776382,331.0700073,146.9959412,
436.9599915,105.1630402,332,147.0356445,402,87.46342468,332,32.47500992,397.0700073,81.8298111,397.0700073,82.78041077,436.9599915,107.7903671,332,148.9424133,
437.8699951,103.9559555,333.0700073,149.6115265,403.0700073,87.66111755,333.0700073,27.12481689,398,81.03046417,398,81.56340027,437.8699951,105.7899094,333.0700073,147.599411,
438.9299927,105.5105286,334,149.8766785,404,86.04978943,334,24.30905533,399.0700073,82.42556,399.0700073,81.61293793,438.9299927,103.5605774,334,149.3191071,
439.8399963,100.9102707,335.0700073,147.6191406,405.0700073,86.86087036,335.0700073,20.63001251,400,82.49526215,400,81.55041504,439.8399963,102.3952637,335.0700073,148.0528412,
440.8999939,98.85351563,336,150.3494568,406,86.05226135,336,16.73530579,401.0700073,79.47963715,401.0700073,81.7915802,440.8999939,99.63505554,336,149.2157898,
441.9599915,98.85695648,337.0700073,148.1985016,407.0700073,85.10163879,337.0700073,13.49036884,402,80.53703308,402,81.01009369,441.9599915,97.08779907,337.0700073,148.5901489,
442.8699951,95.71764374,338,147.7657471,408,86.53970337,338,11.89749241,403.0700073,79.30387878,403.0700073,80.63972473,442.8699951,96.26664734,338,148.1816406,
443.9299927,95.91305542,339.0700073,146.6828766,409.0700073,85.37124634,339.0700073,8.401217461,404,81.41094208,404,80.93096161,443.9299927,94.71417236,339.0700073,146.8668518,
444.8399963,92.55362701,340,142.891571,410,85.55453491,340,7.60721302,405.0700073,79.74079895,405.0700073,79.44013214,444.8399963,94.41891479,340,147.0938263,
445.8999939,90.65719604,341.0700073,145.6094666,411.0599976,85.88275146,,,406,80.56684113,406,79.6737442,445.8999939,91.2575531,341.0700073,146.7538757,
446.9599915,91.43509674,342,144.4243469,411.9599915,84.32170105,,,407.0700073,79.92524719,407.0700073,80.17350769,446.9599915,90.15895081,342,144.5745239,
447.8699951,89.31454468,343.0700073,143.1398315,413.0299988,84.86083984,,,408,79.08828735,408,79.55821991,447.8699951,88.71259308,343.0700073,142.9102478,
448.9299927,88.85466003,344,139.9033813,413.9299927,82.99749756,,,409.0700073,78.78504181,409.0700073,79.02282715,448.9299927,87.98819733,344,141.3823242,
449.8399963,84.05231476,345.0700073,135.7042084,415,81.9410553,,,410,79.36525726,410,78.52443695,449.8399963,85.96172333,345.0700073,139.304657,
450.8999939,83.93061829,346,135.0445404,416.0599976,79.93385315,,,411.0599976,77.88243103,411.0599976,78.4210968,450.8999939,85.40467072,346,138.446701,
451.9599915,80.54273224,347.0700073,135.3512573,416.9599915,81.22662354,,,411.9599915,78.23992157,411.9599915,77.90550995,451.9599915,82.28546906,347.0700073,134.1229095,
452.8699951,81.55599976,348,132.8586273,418.0299988,81.10823059,,,413.0299988,77.77175903,413.0299988,77.08338928,452.8699951,81.6313858,348,133.6504059,
453.9299927,79.94211578,349.0700073,129.9958801,418.9299927,78.03474426,,,413.9299927,76.03377533,413.9299927,77.34877777,453.9299927,79.53884125,349.0700073,130.2824097,
454.8399963,78.00971222,350,126.434639,420,76.63587952,,,415,77.35958862,415,76.56817627,454.8399963,78.94841766,350,126.9929504,
455.8999939,77.62792206,351.0700073,120.9477921,421.0700073,75.35913086,,,416.0599976,74.11615753,416.0599976,75.76733398,455.8999939,77.90335846,351.0700073,123.2895355,
456.9599915,74.67098999,352,120.2409286,422,75.35253906,,,416.9599915,76.13169098,416.9599915,75.79310608,456.9599915,76.06545258,352,120.4398041,
457.8699951,74.31996155,353.0700073,118.2933426,423.0700073,74.62948608,,,418.0299988,74.40401459,418.0299988,74.50300598,457.8699951,75.03227234,353.0700073,116.661438,
458.9299927,72.99851227,354,112.4253159,424,74.92811584,,,418.9299927,73.50395966,418.9299927,74.24329376,458.9299927,72.9127655,354,113.8500671,
459.8399963,72.99533081,355.0700073,108.3084488,425.0700073,72.73065186,,,420,72.59288788,420,73.03052521,459.8399963,71.65827179,355.0700073,109.3470306,
460.8999939,70.55116272,356,107.8418503,426,71.54618835,,,421.0700073,73.03427887,421.0700073,72.57105255,460.8999939,70.83544922,356,107.2450867,
461.9599915,69.36392975,357.0700073,104.0058365,427.0700073,69.86273193,,,422,70.56233978,422,70.47966003,461.9599915,67.90015411,357.0700073,104.2242432,
462.8699951,67.55821991,358,97.78217316,428,65.36935425,,,423.0700073,69.91464233,423.0700073,70.44670105,462.8699951,67.84552002,358,101.1152344,
463.9299927,66.66177368,359.0700073,97.70146942,429.0700073,66.91694641,,,424,69.00300598,424,68.32901764,463.9299927,65.55371857,359.0700073,98.69088745,
464.8399963,65.31056213,360,95.07125092,430,66.022995,,,425.0700073,67.37734985,425.0700073,68.3033371,464.8399963,64.88824463,360,95.96516418,
465.8999939,63.5761261,361.0700073,91.64342499,431.0599976,65.0098877,,,426,66.3787384,426,67.17182922,465.8999939,63.48729706,361.0700073,92.81193542,
466.9599915,61.91177368,362,90.43470001,431.9599915,61.98222733,,,427.0700073,65.55844116,427.0700073,66.3077774,466.9599915,61.58314514,362,89.79598999,
467.8699951,59.54350281,363.0700073,85.82687378,433.0299988,61.48575974,,,428,64.46307373,428,64.92863464,467.8699951,60.85795593,363.0700073,87.565979,
468.9299927,58.76960754,364,86.35025787,433.9299927,60.14571762,,,429.0700073,63.84655762,429.0700073,63.57076263,468.9299927,58.52871704,364,85.74888611,
469.8399963,58.22447205,365.0700073,83.54142761,435,56.7179985,,,430,62.20685577,430,62.43851471,469.8399963,58.09298706,365.0700073,82.27960205,
470.8999939,56.33960724,366,79.58772278,436.0599976,57.76242447,,,431.0599976,60.6702652,431.0599976,61.68435669,470.8999939,56.55414581,366,78.43824768,
471.9599915,55.73223114,367.0700073,73.6035614,436.9599915,56.99123764,,,431.9599915,58.95021057,431.9599915,60.26812744,471.9599915,55.52603912,367.0700073,73.79426575,
472.8699951,53.84113312,368,69.44944763,438.0299988,56.22890091,,,433.0299988,58.43721771,433.0299988,59.54876709,472.8699951,53.35713959,368,69.49514771,
473.9299927,53.62968445,369.0700073,64.44852448,438.9299927,55.79848099,,,433.9299927,57.27083588,433.9299927,57.77513885,473.9299927,53.8216095,369.0700073,64.55291748,
474.8399963,49.87225342,370,62.16243744,440,54.17278671,,,435,55.87660217,435,57.23229218,474.8399963,51.72197723,370,61.86436844,
475.8999939,49.36993408,371.0700073,56.97972107,441.0599976,51.67481613,,,436.0599976,53.99710083,436.0599976,56.49437714,475.8999939,49.67684937,371.0700073,57.66501999,
476.9599915,47.36444092,372,55.14727783,441.9599915,52.68677902,,,436.9599915,54.33442688,436.9599915,55.71968842,476.9599915,48.63728333,372,54.59605789,
477.8699951,47.02745056,373.0700073,51.3789444,443.0299988,50.63606644,,,438.0299988,53.21063995,438.0299988,54.98454285,477.8699951,47.21986389,373.0700073,51.23657608,
