CdS sonochem 60min ex300,,CdS sonochem 60min em400,,CdS sonochem 60min ex330,,CdS sonochem 60min em410,,CdS sonochem 60min ex335,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
381.0700073,152.6373901,311.0700073,185.3496552,411.0599976,223.274826,311.0700073,179.116745,415.8999939,233.6657257,
382,151.1518707,312,185.9993134,411.9599915,216.6301422,312,181.2855225,416.9599915,231.0883636,
383.0700073,150.5630646,313.0700073,188.7120361,413.0299988,218.3027954,313.0700073,181.6482849,417.8699951,234.3400726,
384,150.21138,314,191.1608276,413.9299927,218.2267303,314,187.5536041,418.9299927,231.6215057,
385.0700073,152.6790009,315.0700073,192.0666656,415,217.8507233,315.0700073,186.6835938,419.8399963,230.6118927,
386,152.2381744,316,197.8285065,416.0599976,218.0218658,316,189.5950775,420.9200134,229.9128876,
387.0700073,152.1374817,317.0700073,198.7663269,416.9599915,216.0925446,317.0700073,195.5194855,421.8399963,229.2042084,
388,150.7059937,318,202.4755249,418.0299988,215.1352386,318,197.5229492,422.9200134,225.8981476,
389.0700073,148.3724365,319.0700073,203.3683014,418.9299927,216.0647125,319.0700073,199.299881,423.8399963,222.7810364,
390,148.8132629,320,209.6897583,420,216.1638184,320,201.8577576,424.9200134,224.5003052,
391.0700073,149.6295013,320.9299927,207.9018402,421.0700073,212.9873962,320.9299927,209.7563477,425.8399963,223.4597778,
392,147.7544861,322.0299988,215.9024048,422,213.1998901,322.0299988,212.0813599,426.9200134,222.0021973,
393.0700073,146.9960938,322.9599915,213.849762,423.0700073,209.2304535,322.9599915,213.8911133,427.8399963,218.8089447,
394,148.4207611,324.0599976,216.1398773,424,205.5879364,324.0599976,214.1264954,428.9200134,214.0670166,
395.0700073,147.7054901,325,221.3507538,425.0700073,209.0834198,325,220.1476288,429.8399963,209.5380859,
396,147.2191315,325.9299927,220.3408203,426,203.5700073,325.9299927,220.2742462,430.8999939,205.1026001,
397.0700073,144.56427,327.0299988,225.3579865,427.0700073,204.9329071,327.0299988,226.50383,431.9599915,205.5367126,
