CdSe 180sec ex295,,CdSe 180sec ex340,,CdSe 180sec ex455,,CdSe 180sec em530,,CdSe 180sec ex420,,CdSe 180sec ex330,,CdSe 180sec em420,,CdSe 180sec ex355,,CdSe 180sec em455,,CdSe 180sec ex390,,CdSe 180sec em460,,CdSe 180sec ex400,,CdSe 180sec em530,,CdSe 180sec em530,,CdSe 180sec ex420,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
337.0700073,-0.1612965167,382,1.581305981,497.0100098,1.231050491,322.0299988,2.656745195,461.9599915,2.190291643,372,0.286316663,272,0.1103644669,396.9200134,0.8374716043,272,-0.4196576178,431.9599915,1.79975903,272,-0.1288973689,441.9599915,2.296125174,322.0299988,2.66985631,302,0.04620432854,461.9599915,2.293138027,
338,-0.05389016122,383.0700073,1.745167375,498.0499878,1.329542398,322.9599915,3.168837786,463.0299988,2.416356087,373.0700073,0.5620130301,273.0700073,0.1013412774,397.8399963,0.9064614773,273.0700073,-0.4313602149,433.0299988,1.786999345,273.0700073,-0.1312066019,443.0299988,2.302864552,322.9599915,2.838133812,303.0700073,0.2893673182,463.0299988,2.424542189,
339.0700073,0.02894619107,384,1.397940993,498.9500122,1.644311666,324.0599976,3.036962748,463.9299927,2.529108286,374,0.5412231684,274,0.1508741379,398.9200134,0.5549786687,274,-0.3980721831,433.9299927,2.022419453,274,-0.1687887311,443.9299927,2.375068903,324.0599976,3.299898624,304,0.2832462788,463.9299927,2.365452528,
340,0.000167503953,385.0700073,1.609735727,500,1.657872677,325,3.161899805,465,2.561077833,375.0700073,0.4238450229,275.0700073,0.1324412823,399.8399963,0.8098107576,275.0700073,-0.5354781151,435,1.996964812,275.0700073,-0.1689946949,445,2.407710314,325,3.360125542,305.0700073,0.4599661827,465,2.428646803,
341.0700073,-0.02614112943,386,1.617903709,501.0400085,1.98820281,325.9299927,3.205495834,466.0599976,2.570338964,376,0.3042750657,276,0.0755867362,400.9200134,1.019724369,276,-0.4253265858,436.0599976,2.059448719,276,-0.3427737951,446.0599976,2.841775417,325.9299927,3.7280972,306,0.312492013,466.0599976,2.402936935,
342,-0.03985704482,387.0700073,1.629327416,501.9400024,2.281580925,327.0299988,3.085577965,466.9599915,2.537249088,377.0700073,0.4657300413,277.0700073,0.03187906742,401.8399963,1.063952923,277.0700073,-0.53256917,436.9599915,2.216970921,277.0700073,-0.2856431603,446.9599915,2.544834614,327.0299988,4.237451553,307.0700073,0.5159698725,466.9599915,2.375151157,
343.0700073,-0.03985704482,388,1.647889376,502.980011,2.519012213,327.9599915,3.612959623,468.0299988,2.609200478,378,0.4650682211,278,-0.04246853292,402.9200134,1.121949792,278,-0.5944706798,438.0299988,2.036445141,278,-0.254791826,448.0299988,2.826846361,327.9599915,3.678381205,308,0.7582045794,468.0299988,2.470852613,
344,0.04519023001,389.0700073,2.051618099,504.019989,3.155053377,329.0599976,3.504321575,468.9299927,2.643184185,379.0700073,0.5164222121,279.0700073,-0.03935302794,403.8399963,1.036611915,279.0700073,-0.6621152163,438.9299927,2.319515705,279.0700073,-0.2907904387,448.9299927,2.684034109,329.0599976,4.270801544,309.0700073,0.816578269,468.9299927,2.496605873,
345.0700073,0.1007899344,390,2.268329859,505.0700073,3.20346427,330,3.868286371,470,2.549453735,380,0.5655817986,280,-0.1243315041,404.9200134,1.158303499,280,-0.593695879,440,2.568853378,280,-0.2998024821,450,3.147242546,330,4.310295105,310,0.6206108332,470,2.557563066,
346,0.02656695247,391.0700073,2.287115812,505.9700012,3.868322611,331.0700073,4.667234898,471.0599976,2.48204875,381.0700073,0.5345824361,280.9299927,0.07525783777,405.8399963,1.09921062,280.9299927,-0.7327850461,441.0599976,2.499162197,280.9299927,-0.3278532624,451.0599976,2.778410196,331.0700073,4.150600433,311.0700073,0.9876616001,471.0599976,2.59126687,
347.0700073,-0.1195616126,392,2.554405451,507.0100098,4.54891777,332,4.030448914,471.9599915,2.544953108,382,0.7009164095,282.0299988,-0.04689818621,406.9200134,1.198747039,282.0299988,-0.6563538313,441.9599915,2.584933281,282.0299988,-0.3107698262,451.9599915,3.265478373,332,4.740636349,312,0.9256899357,471.9599915,2.370819092,
348,0.02906569093,393.0700073,2.18178606,508.0499878,5.360735893,333.0700073,4.671040058,473.0299988,2.428730011,383.0700073,0.9286775589,282.9599915,0.01201839745,407.8399963,1.323215604,282.9599915,-0.655618608,443.0299988,2.551660538,282.9599915,-0.3601011038,453.0299988,3.259281158,333.0700073,4.68930912,313.0700073,1.281857729,473.0299988,2.394438267,
349.0700073,0.09475600719,394,2.369056702,508.9500122,5.511253357,334,4.672523499,473.9299927,2.44016695,384,0.4963686764,284.0599976,-0.01615667343,408.9200134,1.401403308,284.0599976,-0.6811003685,443.9299927,2.587622643,284.0599976,-0.4330119789,453.9299927,3.513208151,334,4.813132763,314,1.037887096,473.9299927,2.411605835,
350,-0.02640678361,395.0700073,2.842442751,510,6.546664238,335.0700073,4.642995358,475,2.465046167,385.0700073,0.6415355802,285,-0.04091498256,409.8399963,1.310903788,285,-0.6396538019,445,2.834980488,285,-0.3127896786,455,3.07336092,335.0700073,4.651527405,315.0700073,1.280810833,475,2.341582298,
351.0700073,0.05708914995,396,2.552540779,511.0599976,8.10617733,336,5.282011032,476.0599976,2.25937438,386,0.7772826552,285.9299927,0.06331276894,410.8999939,1.538180232,285.9299927,-0.6297252178,446.0599976,2.913079739,285.9299927,-0.3585527837,456.0599976,3.720363617,336,4.23704195,316,1.304225445,476.0599976,2.332170963,
352,-0.08088380843,397.0700073,2.922854662,511.9599915,8.133739471,337.0700073,5.065130234,476.9599915,2.48764801,387.0700073,0.4596458077,287.0299988,0.0001831948757,411.9599915,1.527332664,287.0299988,-0.765202105,446.9599915,3.135732651,287.0299988,-0.4786653519,456.9599915,3.708427429,337.0700073,4.774097443,317.0700073,1.844645739,476.9599915,2.580246687,
353.0700073,-0.05328310654,398,3.096567392,513.0300293,9.645860672,338,5.606190205,478.0299988,2.414426565,388,0.595577836,287.9599915,-0.07276265323,412.8699951,1.500894189,287.9599915,-0.6473269463,448.0299988,3.123374462,287.9599915,-0.4335371852,458.0299988,3.714675903,338,5.447211742,318,1.866340637,478.0299988,2.289182901,
354,-0.07926487923,399.0700073,3.342737675,513.9299927,10.67939854,339.0700073,5.810520649,478.9299927,2.279288292,389.0700073,0.7729324102,289.0599976,-0.1006414816,413.9299927,1.613156915,289.0599976,-0.618163228,448.9299927,3.364951134,289.0599976,-0.2831783891,458.9299927,3.888699532,339.0700073,5.121994019,319.0700073,1.856834888,478.9299927,2.276116848,
355.0700073,-0.06665735692,400,3.534627438,515,11.80582809,340,5.743769169,480,2.317873478,390,0.8439249992,290,-0.03781346977,414.8399963,1.604295254,290,-0.6785411835,450,3.292485237,290,-0.5102679133,460,3.626527786,340,5.657224655,320,2.099092007,480,2.139752626,
356,-0.08174712956,401.0700073,3.331499815,516.0599976,13.35536194,341.0700073,5.917709827,481.0599976,2.235484362,391.0700073,0.8607872128,290.9299927,-0.05348217487,415.8999939,1.82448709,290.9299927,-0.6755530238,451.0599976,3.285466671,290.9299927,-0.3693106771,461.0599976,3.794655323,341.0700073,6.016435623,320.9299927,2.063293219,481.0599976,2.289865017,
357.0700073,-0.0261520315,402,3.659939289,516.960022,14.88867092,342,6.201097488,481.9599915,2.148543119,392,0.9039857388,292.0299988,-0.1479375362,416.9599915,1.679169893,292.0299988,-0.5549491048,451.9599915,3.41655302,292.0299988,-0.4489375353,461.9599915,3.62028718,342,5.662233353,322.0299988,2.281826973,481.9599915,2.057000399,
358,-0.0132230483,403.0700073,4.169878483,518.0300293,15.98014164,343.0700073,6.479552746,483.0299988,2.00250411,393.0700073,0.7486189008,292.9599915,-0.07753735781,417.8699951,1.757809401,292.9599915,-0.6790931225,453.0299988,3.599668503,292.9599915,-0.432531625,463.0299988,3.93803072,343.0700073,6.165232658,322.9599915,2.136493206,483.0299988,2.046281576,
359.0700073,0.01600653678,404,3.346407175,518.9299927,16.2439785,344,6.126895905,483.9299927,2.055534124,394,0.8179635406,294.0599976,-0.09520052373,418.9299927,1.625220895,294.0599976,-0.5735647678,453.9299927,3.930018902,294.0599976,-0.3292440772,463.9299927,3.800508022,344,5.707589626,324.0599976,2.485044003,483.9299927,2.194960833,
360,0.0008700713515,405.0700073,3.93993187,520,17.95517731,345.0700073,6.454035759,485,2.000434637,395.0700073,1.009551883,295,-0.05760160089,419.8399963,1.724677086,295,-0.6265140772,455,3.635974407,295,-0.3980357349,465,3.897896767,345.0700073,6.572351456,325,2.54756093,485,1.903046846,
361.0700073,-0.05358029902,406,3.68446207,521.039978,19.25592232,346,6.421456814,486.0599976,1.911567211,396,1.085546374,295.9299927,-0.0472420454,420.9200134,2.051310301,295.9299927,-0.650936842,456.0599976,3.772056103,295.9299927,-0.366959393,466.0599976,3.816284657,346,6.119202137,325.9299927,3.013739347,486.0599976,1.894922256,
362,0.01416488737,407.0700073,4.207244873,521.9400024,20.1427803,347.0700073,6.754718304,486.9599915,1.964448452,397.0700073,0.9404388666,297.0299988,-0.05673822761,421.8399963,2.063010931,297.0299988,-0.5194684863,456.9599915,3.849826336,297.0299988,-0.3548868895,466.9599915,3.922184944,347.0700073,6.327920914,327.0299988,3.025951147,486.9599915,1.780964375,
363.0700073,0.06978306174,408,4.177488327,522.9799805,20.79787254,348,6.829112053,488.0299988,1.936197758,398,0.9535666108,297.9599915,-0.01826922596,422.9200134,1.983232975,297.9599915,-0.5986572504,458.0299988,3.956820011,297.9599915,-0.3107892275,468.0299988,3.438477993,348,6.496377468,327.9599915,3.073810816,488.0299988,1.850059986,
