CdS sonochem 180min em420,,CdS sonochem 180min ex360,,CdS sonochem 180min em440,,CdS sonochem 180min ex365,,CdS sonochem 180min ex370,,CdS sonochem 180min em512,,CdS sonochem 180min ex400,,CdS sonochem 180min em515,,CdS sonochem 180min em435,,CdS sonochem 180min ex295,,CdS sonochem 180min em400,,CdS sonochem 180min ex340,,CdS sonochem 180min em425,,CdS sonochem 180min ex385,,CdS sonochem 180min ex365,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
265,0.6369211674,395.0700073,20.92347336,265,-0.02285265923,399.8399963,23.21320724,405.0700073,27.45355988,265,-1.251110554,435,20.5141468,265,-1.644752979,265,0.2592487335,330,0.633526504,265,0.4375765324,375.0700073,12.78096771,265,0.2866930962,419.8399963,30.46293259,399.8399963,23.8819809,
265.9299927,0.699195385,396,23.57805061,265.9299927,-0.3277556896,400.9200134,26.20231247,406,29.72862244,265.9299927,-1.231827736,436.0599976,21.5141983,265.9299927,-1.610466003,265.9299927,0.4346995354,331.0700073,0.4690448642,265.9299927,0.4552595615,376,12.22840118,265.9299927,-0.2299203873,420.9200134,31.66475296,400.9200134,25.61188126,
267.0299988,0.4619486332,397.0700073,24.56883812,267.0299988,-0.1268596649,401.8399963,27.14340973,407.0700073,30.93416595,267.0299988,-1.491819859,436.9599915,21.77421188,267.0299988,-1.828560114,267.0299988,0.3200516701,332,0.5311344862,267.0299988,0.4675774574,377.0700073,14.00784016,267.0299988,-0.1274819374,421.8399963,32.71073914,401.8399963,27.21515656,
267.9599915,0.481149435,398,25.28988838,267.9599915,-0.2008140087,402.9200134,29.79211235,408,31.66200638,267.9599915,-1.649049282,438.0299988,22.5575943,267.9599915,-2.028170347,267.9599915,0.3227918148,333.0700073,0.5240100622,267.9599915,0.388674736,378,13.86783504,267.9599915,-0.01016044617,422.9200134,33.5137558,402.9200134,28.18696594,
269.0599976,0.2798109055,399.0700073,27.69411659,269.0599976,-0.3927369118,403.8399963,29.86812782,409.0700073,33.80093002,269.0599976,-1.875015497,438.9299927,23.07896614,269.0599976,-2.085417271,269.0599976,0.1502819061,334,0.4960945845,269.0599976,0.654825449,379.0700073,14.90637875,269.0599976,-0.3420529366,423.8399963,35.25104523,403.8399963,30.74225998,
270,0.2600471973,400,29.50080681,270,-0.4548153877,404.9200134,32.70492172,410,35.70107651,270,-2.029224634,440,24.70325661,270,-2.355113268,270,-0.2057890892,335.0700073,0.5238913894,270,0.4677507877,380,15.36386776,270,-0.6838672161,424.9200134,36.73413086,404.9200134,32.15887833,
271.0700073,0.04380655289,401.0700073,30.66623116,271.0700073,-0.5737564564,405.8399963,33.43804932,411.0599976,37.66411972,271.0700073,-2.30846858,441.0599976,24.56282616,271.0700073,-2.401848078,271.0700073,-0.08383226395,336,0.7693130374,271.0700073,0.3204052448,381.0700073,17.41588974,271.0700073,-0.3462924957,425.8399963,37.09248734,405.8399963,33.54517365,
272,0.003668785095,402,32.58313751,272,-0.6900613308,406.9200134,35.18078995,411.9599915,38.82305908,272,-2.316010237,441.9599915,25.05832481,272,-2.722314358,272,-0.1785745621,337.0700073,0.6567606926,272,0.1039350033,382,16.90068436,272,-0.7126941681,426.9200134,37.5271759,406.9200134,35.06577682,
273.0700073,-0.3257660866,403.0700073,33.20105362,273.0700073,-0.8169565201,407.8399963,36.72084808,413.0299988,41.99406433,273.0700073,-2.576524019,443.0299988,26.45368767,273.0700073,-2.892515421,273.0700073,-0.5506672859,338,0.6003209352,273.0700073,0.1841893196,383.0700073,17.72782135,273.0700073,-0.754175663,427.8399963,38.7860527,407.8399963,36.73280716,
274,-0.2946124077,404,35.37823486,274,-0.9383881092,408.9200134,38.33404541,413.9299927,42.87798309,274,-2.578946352,443.9299927,27.62348747,274,-3.123149157,274,-0.6630914211,339.0700073,0.7946748734,274,0.03165030479,384,19.44874191,274,-0.6884131432,428.9200134,40.29454422,408.9200134,38.42959976,
