X: (V),Y: (Hits)
0.0109697,11
0.0109838,12
0.010998,8
0.0110122,9
0.0110264,6
0.0110405,11
0.0110547,8
0.0110689,8
0.0110831,7
0.0110972,12
0.0111114,8
0.0111256,15
0.0111398,9
0.011154,9
0.0111681,8
0.0111823,15
0.0111965,12
0.0112107,6
0.0112248,7
0.011239,7
0.0112532,7
0.0112674,11
0.0112815,10
0.0112957,6
0.0113099,4
0.0113241,4
0.0113383,10
0.0113524,6
0.0113666,7
0.0113808,4
0.011395,9
0.0114091,15
0.0114233,6
0.0114375,12
0.0114517,7
0.0114658,7
0.01148,9
0.0114942,7
0.0115084,11
0.0115226,10
0.0115367,7
0.0115509,6
0.0115651,6
0.0115793,5
0.0115934,6
0.0116076,2
0.0116218,5
0.011636,6
0.0116501,5
0.0116643,8
0.0116785,1
0.0116927,7
0.0117068,12
0.011721,5
0.0117352,7
0.0117494,4
0.0117636,6
0.0117777,4
0.0117919,4
0.0118061,4
0.0118203,7
0.0118344,5
0.0118486,4
0.0118628,4
0.011877,9
0.0118911,5
0.0119053,4
0.0119195,4
0.0119337,4
0.0119479,5
0.011962,2
0.0119762,7
0.0119904,2
0.0120046,1
0.0120187,4
0.0120329,4
0.0120471,9
0.0120613,6
0.0120754,3
0.0120896,5
0.0121038,3
0.012118,8
0.0121322,3
0.0121463,3
0.0121605,4
0.0121747,2
0.0121889,5
0.012203,4
0.0122172,7
0.0122314,1
0.0122456,3
0.0122597,6
0.0122739,1
0.0122881,2
0.0123023,6
0.0123165,3
0.0123306,8
0.0123448,7
0.012359,6
0.0123732,2
0.0123873,5
0.0124015,5
0.0124157,8
0.0124299,7
0.012444,2
0.0124582,2
0.0124724,4
0.0124866,5
0.0125008,5
0.0125149,8
0.0125291,7
0.0125433,2
0.0125575,4
0.0125716,9
0.0125858,6
0.0126,4
0.0126142,5
0.0126283,2
0.0126425,4
0.0126567,3
0.0126709,6
0.0126851,2
0.0126992,5
0.0127134,3
0.0127276,8
0.0127418,3
0.0127559,2
0.0127701,5
0.0127843,1
0.0127985,5
0.0128126,8
0.0128268,3
0.012841,1
0.0128552,1
0.0128694,6
0.0128835,3
0.0128977,3
0.0129119,1
0.0129261,4
0.0129402,4
0.0129544,2
0.0129686,2
0.0129828,3
0.0129969,6
0.0130111,3
0.0130253,3
0.0130395,3
0.0130537,2
0.0130678,3
0.013082,7
0.0130962,3
0.0131104,3
0.0131245,4
0.0131387,2
0.0131529,2
0.0131671,2
0.0131812,1
0.0131954,6
0.0132096,0
0.0132238,1
0.013238,3
0.0132521,4
0.0132663,4
0.0132805,4
0.0132947,3
0.0133088,2
0.013323,2
0.0133372,0
0.0133514,3
0.0133655,0
0.0133797,1
0.0133939,6
0.0134081,3
0.0134223,2
0.0134364,2
0.0134506,5
0.0134648,3
0.013479,2
0.0134931,2
0.0135073,3
0.0135215,1
0.0135357,3
0.0135498,3
0.013564,0
0.0135782,0
0.0135924,0
0.0136066,2
0.0136207,2
0.0136349,3
0.0136491,2
0.0136633,2
0.0136774,3
0.0136916,2
0.0137058,6
0.01372,2
0.0137341,1
0.0137483,1
0.0137625,2
0.0137767,2
0.0137909,0
0.013805,2
0.0138192,2
0.0138334,1
0.0138476,1
0.0138617,2
