CdS 120sec ex325,,CdS 120sec em390,,CdS 120sec ex310,,CdS 120sec em380,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
355.8399963,78.05805206,260.9299927,44.64280319,341.0700073,64.79733276,260.9299927,40.58714294,
356.9200134,82.21935272,262.0299988,44.98177338,342,67.70830536,262.0299988,41.30608749,
357.8399963,88.54891205,262.9599915,45.97136307,343.0700073,74.72645569,262.9599915,42.42333221,
358.9200134,94.66887665,264.0599976,47.78271866,344,80.92918396,264.0599976,43.8883667,
359.8399963,96.3239975,265,50.81321716,345.0700073,88.19587708,265,48.54796219,
360.9200134,99.77690125,265.9299927,52.61451721,346,90.93985748,265.9299927,51.98121262,
361.8399963,106.583107,267.0299988,54.22835541,347.0700073,95.01202393,267.0299988,53.38060379,
362.9200134,107.8618011,267.9599915,56.12178802,348,98.49649048,267.9599915,55.83220291,
363.8399963,111.2256241,269.0599976,59.18795013,349.0700073,105.3056641,269.0599976,58.90405655,
364.9200134,113.8601456,270,62.64530182,350,107.0281754,270,63.91199875,
365.8399963,118.2330704,271.0700073,67.90764618,351.0700073,111.4888382,271.0700073,68.79571533,
366.9200134,118.3959579,272,71.61631012,352,118.2136688,272,71.4132843,
367.8399963,123.0681381,273.0700073,74.44298553,353.0700073,121.5799103,273.0700073,75.48626709,
368.9200134,125.7716141,274,79.03808594,354,127.8809204,274,81.2150116,
369.8399963,125.1582413,275.0700073,82.85288239,355.0700073,131.2067261,275.0700073,83.14772034,
370.9200134,127.6909866,276,85.91007233,356,133.7807617,276,88.54949951,
371.8399963,129.2300415,277.0700073,89.08901215,357.0700073,142.3748779,277.0700073,90.94932556,
372.9200134,130.1613159,278,93.88581848,358,144.5730133,278,95.59527588,
373.8399963,133.1032715,279.0700073,95.49360657,359.0700073,151.3627625,279.0700073,100.1282043,
374.9200134,132.5504456,280,96.44448853,360,155.3549805,280,102.1117096,
375.8399963,135.9844971,280.9299927,99.66287231,361.0700073,160.737381,280.9299927,103.9264526,
376.9200134,137.1441345,282.0299988,102.4735489,362,165.9151764,282.0299988,108.4482422,
377.8399963,140.1794434,282.9599915,107.9490891,363.0700073,166.1896667,282.9599915,111.2076721,
378.9200134,138.5318604,284.0599976,110.7156601,364,170.3505707,284.0599976,117.5777283,
379.8399963,137.5996094,285,114.369278,365.0700073,175.1471405,285,120.0448608,
380.9200134,143.5767517,285.9299927,118.1637421,366,175.8401489,285.9299927,124.1629181,
381.8399963,143.7916565,287.0299988,121.7144012,367.0700073,181.3848572,287.0299988,127.7148438,
382.9200134,146.4323425,287.9599915,124.2218475,368,181.8647461,287.9599915,130.0567169,
383.8399963,145.3833618,289.0599976,127.1071472,369.0700073,182.1124725,289.0599976,137.4853516,
384.9200134,149.1796265,290,129.6153717,370,182.669632,290,141.598587,
385.8399963,149.0148926,290.9299927,132.9090424,371.0700073,182.461853,290.9299927,143.4162445,
386.9200134,148.5453491,292.0299988,139.1797943,372,184.9760284,292.0299988,145.4752502,
387.8399963,150.4176636,292.9599915,140.6876221,373.0700073,187.2284698,292.9599915,149.8572388,
388.9200134,149.7726746,294.0599976,144.2303772,374,184.9933929,294.0599976,154.3285522,
389.8399963,149.3093872,295,147.923645,375.0700073,183.2447968,295,155.9687653,
390.9200134,148.8439636,295.9299927,149.6588135,376,183.0358734,295.9299927,162.950882,
391.8399963,146.6747742,297.0299988,152.0392914,377.0700073,182.8084564,297.0299988,164.7704468,
392.9200134,145.7231445,297.9599915,151.8450165,378,183.7408142,297.9599915,164.8097839,
393.8399963,147.3127441,299.0599976,155.3792572,379.0700073,184.758728,299.0599976,165.6628265,
394.9200134,147.5610962,300,156.2381897,380,186.0007629,300,169.7793732,
395.8399963,147.3982849,301.0700073,159.2878876,381.0700073,185.9880219,301.0700073,166.5061951,
396.9200134,144.0000305,302,160.9749756,382,183.3380432,302,169.5147552,
397.8399963,145.7522888,303.0700073,162.8878021,383.0700073,185.7241364,303.0700073,171.195694,
398.9200134,140.774231,304,159.8563995,384,186.5938263,304,171.8792419,
399.8399963,141.9920654,305.0700073,165.0562744,385.0700073,185.7236176,305.0700073,175.5613403,
400.9200134,141.4379272,306,169.427063,386,181.0358276,306,175.4773102,
401.8399963,136.2338867,307.0700073,172.0414886,387.0700073,185.2177582,307.0700073,176.633255,
