CdS 50sec ex310,,CdS 50sec em375,,CdS 50sec em385,,CdS 50sec em380,,CdS 50sec em375,,CdS 50sec ex300,,CdS 60sec ex300,,CdS 60sec em380,,CdS 60sec em390,,CdS 60sec ex325,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
384,125.5060883,304,116.7034454,304,93.37927246,304,94.65132904,304,93.23495483,384,93.00040436,384,52.96250534,304,55.04698181,304,51.72415543,398.9200134,116.800499,
385.0700073,120.8172302,305.0700073,119.4072113,305.0700073,95.13196564,305.0700073,94.25721741,305.0700073,96.11721802,385.0700073,90.39084625,385.0700073,55.29499054,305.0700073,58.64038086,305.0700073,58.09931946,399.8399963,117.7810745,
386,124.9237518,306,119.7419128,306,93.51117706,306,95.44921112,306,94.82103729,386,91.36500549,386,54.95826721,306,64.04362488,306,62.36360168,400.9200134,116.658638,
387.0700073,124.4255829,307.0700073,121.1981201,307.0700073,97.4914856,307.0700073,97.75540924,307.0700073,97.33557129,387.0700073,91.06075287,387.0700073,54.4215126,307.0700073,69.13468933,307.0700073,67.00984192,401.8399963,116.6445084,
388,120.5807037,308,121.9511566,308,95.56165314,308,97.87355042,308,97.11286163,388,90.72254944,388,55.30078125,308,71.69889069,308,69.91972351,402.9200134,115.9889908,
389.0700073,122.2430115,309.0700073,121.2050476,309.0700073,97.08309174,309.0700073,97.53048706,309.0700073,97.04699707,389.0700073,91.33231354,389.0700073,54.28710556,309.0700073,75.41329956,309.0700073,77.09309387,403.8399963,113.6369324,
390,121.4687958,310,125.5217743,310,96.64739227,310,97.35644531,310,98.94429779,390,89.71935272,390,53.10111237,310,81.71207428,310,80.09249878,404.9200134,115.4525299,
391.0700073,119.6273346,311.0700073,122.3161926,311.0700073,97.55503082,311.0700073,97.36974335,311.0700073,96.0434494,391.0700073,87.63593292,391.0700073,53.10933304,311.0700073,86.9503479,311.0700073,87.64671326,405.8399963,112.8190613,
392,120.303009,312,121.0392303,312,98.44698334,312,97.57411957,312,97.14693451,392,86.7550354,392,52.16792679,312,89.30820465,312,88.08069611,406.9200134,111.152626,
393.0700073,114.2735825,313.0700073,119.1441956,313.0700073,98.43867493,313.0700073,95.63567352,313.0700073,93.77497101,393.0700073,84.67444611,393.0700073,54.17713547,313.0700073,94.41444397,313.0700073,93.30133057,407.8399963,112.9689865,
