CdS 180sec em380,,CdS 180sec ex310,,CdS 180sec em365,,CdS 180sec ex260,,CdS 180sec em285,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
319.0700073,164.8126068,399.0700073,153.5429993,319.0700073,142.6391296,344,13.13850021,,,
320,163.6687775,400,150.4333954,320,139.7139587,345.0700073,13.64112473,,,
320.9299927,162.2818451,401.0700073,148.3113708,320.9299927,136.6801453,346,14.22142792,,,
322.0299988,160.3828583,402,149.931427,322.0299988,134.2107544,347.0700073,14.51461411,,,
322.9599915,159.7277069,403.0700073,148.6479645,322.9599915,130.4062805,348,15.21030807,,,
324.0599976,155.8722839,404,145.6064911,324.0599976,126.2476654,349.0700073,15.73865891,,,
325,154.9664459,405.0700073,143.2187042,325,124.296875,350,15.79889297,,,
325.9299927,151.6531525,406,142.5657959,325.9299927,121.4914856,351.0700073,16.93812561,,,
327.0299988,151.1148376,407.0700073,139.9193268,327.0299988,120.9508362,352,16.19131088,,,
327.9599915,148.7256622,408,137.0874786,327.9599915,115.9144745,353.0700073,16.92356491,,,
329.0599976,142.7873383,409.0700073,136.9809723,329.0599976,112.4786377,354,17.18151474,,,
330,141.4091034,410,136.0599365,330,106.532547,355.0700073,18.79786301,,,
331.0700073,134.1361389,411.0599976,133.1423798,331.0700073,100.3051605,356,19.09486771,,,
332,132.4753723,411.9599915,130.438736,332,92.65844727,357.0700073,19.56311035,,,
333.0700073,124.1232071,413.0299988,130.6370544,333.0700073,87.31947327,358,19.85780716,,,
334,121.3221817,413.9299927,129.8342896,334,84.01515961,359.0700073,20.58172989,,,
335.0700073,115.8243637,415,128.2920685,335.0700073,73.05143738,360,21.3841629,,,
336,110.6829376,416.0599976,124.0604935,336,66.56330872,361.0700073,20.90671539,,,
337.0700073,102.3869705,416.9599915,121.3811111,337.0700073,61.24208832,362,21.31937408,,,
338,100.1875153,418.0299988,118.4865189,338,54.90061951,363.0700073,21.98145294,,,
339.0700073,95.80158234,418.9299927,117.0269623,339.0700073,50.27224731,364,22.16324615,,,
