timestamp_iso,elapsed_s,t1_C
2025-10-30T12:58:27.177243,2670.017,11.850
2025-10-30T12:58:37.178804,2680.019,11.776
2025-10-30T12:58:47.181419,2690.022,11.752
2025-10-30T12:58:57.188109,2700.028,11.776
2025-10-30T12:59:07.189551,2710.030,11.825
2025-10-30T12:59:17.196033,2720.036,11.776
2025-10-30T12:59:27.198714,2730.039,11.776
2025-10-30T12:59:37.204394,2740.045,11.727
2025-10-30T12:59:47.207062,2750.047,11.678
2025-10-30T12:59:57.209363,2760.050,11.703
2025-10-30T13:00:07.215154,2770.055,11.727
2025-10-30T13:00:17.217281,2780.058,11.752
2025-10-30T13:00:27.223864,2790.064,11.752
2025-10-30T13:00:37.226451,2800.067,11.727
2025-10-30T13:00:47.229325,2810.070,11.752
2025-10-30T13:00:57.234290,2820.075,11.629
2025-10-30T13:01:07.237107,2830.077,11.703
2025-10-30T13:01:17.242932,2840.083,11.678
2025-10-30T13:01:27.245383,2850.086,11.727
2025-10-30T13:01:37.251361,2860.092,11.703
2025-10-30T13:01:47.254535,2870.095,11.776
2025-10-30T13:01:57.256017,2880.096,11.727
2025-10-30T13:02:07.262213,2890.102,11.703
2025-10-30T13:02:17.264905,2900.105,11.654
2025-10-30T13:02:27.271047,2910.111,11.727
2025-10-30T13:02:37.273133,2920.113,11.752
2025-10-30T13:02:47.276165,2930.116,11.678
2025-10-30T13:02:57.281517,2940.122,11.678
2025-10-30T13:03:07.284103,2950.124,11.727
2025-10-30T13:03:17.290534,2960.131,11.776
2025-10-30T13:03:27.292535,2970.133,11.703
2025-10-30T13:03:37.298792,2980.139,11.703
2025-10-30T13:03:47.301832,2990.142,11.703
2025-10-30T13:03:57.303440,3000.144,11.580
2025-10-30T13:04:07.309657,3010.150,11.678
2025-10-30T13:04:17.311834,3020.152,11.605
2025-10-30T13:04:27.318566,3030.159,11.678
2025-10-30T13:04:37.320651,3040.161,11.629
2025-10-30T13:04:47.326491,3050.167,11.580
2025-10-30T13:04:57.329168,3060.169,11.654
2025-10-30T13:05:07.331312,3070.172,11.605
2025-10-30T13:05:17.337419,3080.178,11.703
2025-10-30T13:05:27.340235,3090.180,11.629
2025-10-30T13:05:37.345942,3100.186,11.654
2025-10-30T13:05:47.348322,3110.189,11.629
2025-10-30T13:05:57.355227,3120.195,11.629
2025-10-30T13:06:07.356909,3130.197,11.654
2025-10-30T13:06:17.359568,3140.200,11.605
2025-10-30T13:06:27.365702,3150.206,11.654
2025-10-30T13:06:37.368181,3160.208,11.629
2025-10-30T13:06:47.374141,3170.214,11.580
2025-10-30T13:06:57.376518,3180.217,11.629
2025-10-30T13:07:07.378374,3190.219,11.629
2025-10-30T13:07:17.384885,3200.225,11.629
2025-10-30T13:07:27.386978,3210.227,11.605
2025-10-30T13:07:37.393617,3220.234,11.703
2025-10-30T13:07:47.395427,3230.236,11.654
2025-10-30T13:07:57.401856,3240.242,11.654
2025-10-30T13:08:07.404108,3250.244,11.629
2025-10-30T13:08:17.406460,3260.247,11.629
2025-10-30T13:08:27.413254,3270.253,11.605
2025-10-30T13:08:37.415407,3280.256,11.678
2025-10-30T13:08:47.421331,3290.262,11.629
2025-10-30T13:08:57.424005,3300.264,11.629
2025-10-30T13:09:07.429870,3310.270,11.605
2025-10-30T13:09:17.431983,3320.272,11.580
2025-10-30T13:09:27.434343,3330.275,11.629
2025-10-30T13:09:37.440331,3340.281,11.629
2025-10-30T13:09:47.443131,3350.283,11.605
2025-10-30T13:09:57.448967,3360.289,11.605
2025-10-30T13:10:07.451713,3370.292,11.580
2025-10-30T13:10:17.458514,3380.299,11.629
2025-10-30T13:10:27.460078,3390.300,11.580
2025-10-30T13:10:37.461831,3400.302,11.531
2025-10-30T13:10:47.468784,3410.309,11.605
2025-10-30T13:10:57.471337,3420.312,11.556
2025-10-30T13:11:07.477630,3430.318,11.629
2025-10-30T13:11:17.479216,3440.319,11.580
2025-10-30T13:11:27.485789,3450.326,11.629
2025-10-30T13:11:37.487494,3460.328,11.629
2025-10-30T13:11:47.490378,3470.331,11.580
2025-10-30T13:11:57.496242,3480.336,11.580
2025-10-30T13:12:07.499115,3490.339,11.556
2025-10-30T13:12:17.505600,3500.346,11.556
2025-10-30T13:12:27.507804,3510.348,11.531
2025-10-30T13:12:37.513641,3520.354,11.629
2025-10-30T13:12:47.516069,3530.356,11.531
2025-10-30T13:12:57.517933,3540.358,11.556
2025-10-30T13:13:07.524888,3550.365,11.605
2025-10-30T13:13:17.526671,3560.367,11.580
2025-10-30T13:13:27.532944,3570.373,11.556
2025-10-30T13:13:37.535348,3580.376,11.531
2025-10-30T13:13:47.537772,3590.378,11.556
2025-10-30T13:13:57.544299,3600.385,11.531
2025-10-30T13:14:07.545932,3610.386,11.556
2025-10-30T13:14:17.552649,3620.393,11.531
2025-10-30T13:14:27.555012,3630.395,11.531
2025-10-30T13:14:37.560365,3640.401,11.556
2025-10-30T13:14:47.563470,3650.404,11.531
2025-10-30T13:14:57.565597,3660.406,11.531
2025-10-30T13:15:07.572307,3670.413,11.531
2025-10-30T13:15:17.574186,3680.414,11.507
2025-10-30T13:15:27.580236,3690.420,11.507
2025-10-30T13:15:37.582467,3700.423,11.531
2025-10-30T13:15:47.588844,3710.429,11.507
2025-10-30T13:15:57.591381,3720.432,11.580
2025-10-30T13:16:07.593185,3730.433,11.507
2025-10-30T13:16:17.599696,3740.440,11.531
2025-10-30T13:16:27.602117,3750.442,11.556
2025-10-30T13:16:37.608052,3760.448,11.507
2025-10-30T13:16:47.610800,3770.451,11.409
2025-10-30T13:16:57.616348,3780.457,11.531
2025-10-30T13:17:07.619498,3790.460,11.580
2025-10-30T13:17:17.621366,3800.462,11.580
2025-10-30T13:17:27.627804,3810.468,11.556
2025-10-30T13:17:37.629640,3820.470,11.507
2025-10-30T13:17:47.635959,3830.476,11.531
2025-10-30T13:17:57.638238,3840.478,11.556
2025-10-30T13:18:07.640690,3850.481,11.482
2025-10-30T13:18:17.647362,3860.488,11.482
2025-10-30T13:18:27.649178,3870.489,11.580
2025-10-30T13:32:56.236044,4739.076,11.458
2025-10-30T13:32:58.088476,4740.929,11.458
2025-10-30T13:32:58.728537,4741.569,11.531
2025-10-30T13:32:59.088450,4741.929,11.531
2025-10-30T13:32:59.440716,4742.281,11.556
2025-10-30T13:32:59.735273,4742.576,11.556
2025-10-30T13:33:00.018726,4742.859,11.482
2025-10-30T13:33:00.292780,4743.133,11.458
2025-10-30T13:33:00.564432,4743.405,11.556
2025-10-30T13:33:00.845017,4743.685,11.507
2025-10-30T13:33:01.100558,4743.941,11.482
2025-10-30T13:33:01.342794,4744.183,11.409
2025-10-30T13:33:01.603225,4744.443,11.458
2025-10-30T13:33:01.858744,4744.699,11.482
2025-10-30T13:33:02.116805,4744.957,11.507
2025-10-30T13:33:02.365679,4745.206,11.458
2025-10-30T13:33:02.605624,4745.446,11.458
2025-10-30T13:33:02.849704,4745.690,11.531
2025-10-30T13:33:03.093142,4745.933,11.531
2025-10-30T13:33:03.336347,4746.177,11.531
2025-10-30T13:33:03.578029,4746.418,11.482
2025-10-30T13:33:03.821125,4746.661,11.482
2025-10-30T13:33:04.073259,4746.913,11.531
2025-10-30T13:33:04.358972,4747.199,11.531
2025-10-30T13:33:04.657042,4747.497,11.580
2025-10-30T13:33:04.904416,4747.745,11.531
2025-10-30T13:33:05.153135,4747.993,11.531
2025-10-30T13:33:05.397807,4748.238,11.556
2025-10-30T13:33:05.645580,4748.486,11.556
2025-10-30T13:33:05.890629,4748.731,11.482
2025-10-30T13:33:06.547692,4749.388,11.507
2025-10-30T13:33:06.788077,4749.628,11.482
2025-10-30T13:33:07.030478,4749.871,11.605
2025-10-30T13:33:07.275595,4750.116,11.556
2025-10-30T13:33:07.520126,4750.360,11.580
2025-10-30T13:33:07.783661,4750.624,11.507
2025-10-30T13:33:08.051162,4750.891,11.482
2025-10-30T13:33:08.300874,4751.141,11.556
2025-10-30T13:33:08.544622,4751.385,11.482
2025-10-30T13:33:08.794057,4751.634,11.556
2025-10-30T13:33:09.051490,4751.892,11.458
2025-10-30T13:33:09.296132,4752.136,11.531
2025-10-30T13:33:09.538534,4752.379,11.507
2025-10-30T13:33:09.782885,4752.623,11.482
2025-10-30T13:33:10.026069,4752.866,11.458
2025-10-30T13:33:10.269792,4753.110,11.458
2025-10-30T13:33:10.513361,4753.354,11.458
2025-10-30T13:33:10.759239,4753.599,11.458
2025-10-30T13:33:11.003865,4753.844,11.531
2025-10-30T13:33:11.249938,4754.090,11.507
2025-10-30T13:33:11.492906,4754.333,11.433
2025-10-30T13:33:11.737545,4754.578,11.507
2025-10-30T13:33:11.978939,4754.819,11.580
2025-10-30T13:33:12.223624,4755.064,11.556
2025-10-30T13:33:12.468185,4755.308,11.409
2025-10-30T13:33:12.712526,4755.553,11.433
2025-10-30T13:33:12.955512,4755.796,11.482
2025-10-30T13:33:13.195421,4756.036,11.409
2025-10-30T13:33:13.448422,4756.289,11.556
2025-10-30T13:34:02.332970,4805.173,11.433
2025-10-30T13:34:02.580934,4805.421,11.433
2025-10-30T13:34:02.823435,4805.664,11.531
