CdSe sonochem 120min ex330,,CdSe sonochem 120min ex345,,CdSe sonochem 120min ex360,,CdSe sonochem 120min em420,,CdSe sonochem 120min em523,,CdSe sonochem 120min ex385,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
430,131.2979736,444.8399963,142.1598969,460,127.9545059,330,145.0416412,350,124.893364,484.8399963,81.50730896,
431.0599976,132.0661469,445.8999939,143.5738068,461.0599976,126.1881943,331.0700073,150.6243286,351.0700073,126.9812393,485.8999939,80.43188477,
431.9599915,128.5334473,446.9599915,138.7281342,461.9599915,124.7671738,332,154.4988861,352,129.3042603,486.9599915,78.62574005,
433.0299988,125.4259644,447.8699951,139.0389252,463.0299988,124.1812057,333.0700073,158.5910187,353.0700073,126.3362045,487.8699951,78.39679718,
433.9299927,125.1033478,448.9299927,136.5898895,463.9299927,121.551384,334,158.3881073,354,131.1689911,488.9299927,79.19137573,
435,124.1203766,449.8399963,136.6976166,465,119.1979599,335.0700073,161.0183868,355.0700073,132.0127716,489.8399963,78.10253906,
436.0599976,123.5101318,450.8999939,133.9663391,466.0599976,118.4075241,336,166.1858673,356,133.2050629,490.8900146,77.94046021,
436.9599915,120.3618088,451.9599915,132.469101,466.9599915,115.3311005,337.0700073,163.2559204,357.0700073,133.684845,491.9400024,78.36404419,
438.0299988,115.6794586,452.8699951,134.0143127,468.0299988,111.8253479,338,168.9635925,358,137.0866089,492.980011,78.66453552,
438.9299927,115.5878448,453.9299927,128.7315979,468.9299927,111.5978165,339.0700073,167.5411377,359.0700073,134.4725647,493.8800049,80.20291901,
440,112.9216766,454.8399963,128.0908356,470,108.0918579,340,172.1810608,360,138.4737091,494.9200134,80.57780457,
441.0599976,110.3025665,455.8999939,126.7813416,471.0599976,106.5137939,341.0700073,168.4350281,361.0700073,137.1154785,495.9700012,82.4947052,
441.9599915,110.3765793,456.9599915,123.129303,471.9599915,104.9782639,342,169.0480194,362,138.7901459,496.8599854,84.10675049,
443.0299988,107.8684769,457.8699951,122.9997711,473.0299988,103.1348267,343.0700073,172.1864777,363.0700073,140.383316,497.9100037,85.93761444,
443.9299927,108.2395248,458.9299927,123.9088745,473.9299927,100.7188263,344,173.306839,364,140.5623627,498.9500122,87.16166687,
445,106.025444,459.8399963,119.8426361,475,99.98199463,345.0700073,168.0409393,365.0700073,139.5514832,499.8500061,89.35370636,
