CdSe sonochem 150min ex330,,CdSe sonochem 150min ex345,,CdSe sonochem 150min ex360,,CdSe sonochem 150min em420,,CdSe sonochem 150min em528,,CdSe sonochem 150min ex390,,CdSe sonochem 150min ex420,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
411.0599976,116.1819382,425.8399963,131.1947632,441.0599976,119.1378708,311.0700073,54.27071381,341.0700073,92.63764954,471.0599976,84.03384399,501.0400085,58.22596359,
411.9599915,118.1663742,426.9200134,129.7617188,441.9599915,118.5984573,312,55.6040535,342,97.16830444,471.9599915,83.25932312,501.9400024,60.0407753,
413.0299988,115.5517044,427.8399963,133.1811218,443.0299988,118.6898575,313.0700073,59.17143631,343.0700073,97.49773407,473.0299988,81.54066467,502.980011,63.00284195,
413.9299927,115.2507782,428.9200134,129.330368,443.9299927,117.2283707,314,59.25284195,344,101.4314346,473.9299927,81.52142334,504.019989,64.90640259,
415,116.4371643,429.8399963,129.8137512,445,119.5855026,315.0700073,63.18091965,345.0700073,102.8385849,475,81.33004761,505.0700073,68.83724976,
416.0599976,113.1921463,430.8999939,130.0856171,446.0599976,117.1422729,316,66.99144745,346,102.6632614,476.0599976,78.72686768,505.9700012,71.82887268,
416.9599915,117.4060745,431.9599915,126.3163986,446.9599915,117.6577759,317.0700073,71.89089966,347.0700073,104.8892212,476.9599915,77.80152893,507.0100098,74.1149292,
418.0299988,116.2276382,432.8699951,128.7920837,448.0299988,116.3319321,318,73.95555115,348,107.4131775,478.0299988,77.19233704,508.0499878,77.09196472,
418.9299927,113.9395599,433.9299927,125.1461563,448.9299927,116.9665146,319.0700073,75.15608215,349.0700073,109.3813553,478.9299927,75.06407166,508.9500122,80.99684143,
420,112.5242767,434.8399963,128.4855652,450,116.60923,320,80.49054718,350,108.9716034,480,75.04418945,510,84.96664429,
421.0700073,114.9056625,435.8999939,125.2156754,451.0599976,113.7993546,320.9299927,81.849617,351.0700073,110.9406891,481.0599976,74.23498535,511.0599976,88.42636108,
422,110.5422974,436.9599915,123.7973862,451.9599915,113.6020126,322.0299988,87.31932068,352,111.761322,481.9599915,72.88960266,511.9599915,91.42298889,
423.0700073,109.0193939,437.8699951,121.9262466,453.0299988,113.9361496,322.9599915,90.93540955,353.0700073,114.919632,483.0299988,71.21342468,513.0300293,95.45375061,
424,107.712265,438.9299927,122.1785507,453.9299927,113.1010437,324.0599976,93.50236511,354,116.2177658,483.9299927,71.78218079,513.9299927,97.31173706,
425.0700073,107.0333023,439.8399963,119.481308,455,114.0796509,325,95.88349915,355.0700073,117.164856,485,70.24989319,515,101.334671,
426,106.3211823,440.8999939,121.4430008,456.0599976,111.4868774,325.9299927,98.70378876,356,118.0861053,486.0599976,70.14038086,516.0599976,105.9461975,
427.0700073,106.0313034,441.9599915,121.3808212,456.9599915,111.3721619,327.0299988,102.5820923,357.0700073,119.1393967,486.9599915,69.66908264,516.960022,108.4151154,
428,103.2052383,442.8699951,116.8809052,458.0299988,109.5105743,327.9599915,104.3415833,358,122.7637711,488.0299988,68.17791748,518.0300293,112.0410614,
429.0700073,102.6632996,443.9299927,114.7735825,458.9299927,110.6718063,329.0599976,107.8980408,359.0700073,122.6183701,488.9299927,68.28767395,518.9299927,114.6500092,
430,99.84631348,444.8399963,115.1541367,460,108.6921921,330,110.9950638,360,123.9935532,490,68.26043701,520,118.1005554,
431.0599976,101.6237411,445.8999939,114.6685944,461.0599976,105.1038818,331.0700073,116.8983994,361.0700073,123.7398911,491.0400085,68.95539856,521.039978,120.9870605,
431.9599915,97.62402344,446.9599915,115.4509735,461.9599915,104.97892,332,118.4009552,362,123.5877609,491.9400024,68.4538269,521.9400024,123.4163055,
433.0299988,96.25218201,447.8699951,111.5882797,463.0299988,105.2481079,333.0700073,121.5521851,363.0700073,125.5333328,492.980011,68.54164124,522.9799805,126.7916718,
433.9299927,96.59024048,448.9299927,110.9531174,463.9299927,103.0190506,334,120.8327026,364,128.0467987,494.019989,69.02105713,524.0200195,128.6188049,
435,96.82191467,449.8399963,110.5618134,465,102.3016357,335.0700073,125.1822586,365.0700073,127.653923,495.0700073,68.5065918,525.0700073,128.5426178,
436.0599976,94.85449982,450.8999939,112.5940857,466.0599976,99.34827423,336,128.1156464,366,127.160347,495.9700012,67.88768005,525.9699707,131.9805145,
436.9599915,93.71198273,451.9599915,108.7050247,466.9599915,100.1922913,337.0700073,126.3619461,367.0700073,130.5059967,497.0100098,70.58140564,527.0100098,131.8382721,
438.0299988,91.44856262,452.8699951,108.2079163,468.0299988,98.05335999,338,129.2667694,368,128.5509186,498.0499878,72.27001953,528.0499878,133.5530548,
438.9299927,88.80904388,453.9299927,104.7374496,468.9299927,95.29585266,339.0700073,130.9478455,369.0700073,129.9476624,498.9500122,72.96150208,528.9500122,133.854248,
440,88.64290619,454.8399963,105.4612885,470,94.00917816,340,129.4419403,370,136.3482361,500,73.87219238,530,133.1703949,
441.0599976,87.05228424,455.8999939,104.057869,471.0599976,92.70489502,341.0700073,131.4672241,371.0700073,136.5579681,501.0400085,77.08772278,531.039978,133.6217499,
441.9599915,87.40684509,456.9599915,102.40728,471.9599915,90.14250183,342,134.1122437,372,138.6191406,501.9400024,77.44429016,531.9400024,131.5149689,
443.0299988,86.97835541,457.8699951,101.9586563,473.0299988,89.3224411,343.0700073,133.2870941,373.0700073,141.3177185,502.980011,80.93829346,532.9799805,131.4327545,
443.9299927,85.87033081,458.9299927,101.3521347,473.9299927,86.75754547,344,137.3858032,374,140.1525574,504.019989,82.4606781,534.0200195,129.4313354,
445,83.10066986,459.8399963,99.95759583,475,85.23192596,345.0700073,136.8298187,375.0700073,141.8873444,505.0700073,85.19664001,535.0700073,126.9909058,
446.0599976,82.7873764,460.8999939,97.489151,476.0599976,83.95545959,346,134.1464233,376,141.8170319,505.9700012,87.87982178,535.9699707,124.7557526,
446.9599915,78.67314148,461.9599915,95.23449707,476.9599915,83.5422287,347.0700073,135.5973816,377.0700073,142.0762634,507.0100098,90.33174133,537.0100098,123.0005493,
448.0299988,78.78755951,462.8699951,95.18131256,478.0299988,79.68912506,348,133.9541626,378,143.3216553,508.0499878,93.40283203,538.0499878,119.4669037,
448.9299927,79.18717194,463.9299927,93.11220551,478.9299927,78.0646286,349.0700073,131.3204346,379.0700073,142.9118347,508.9500122,96.11791992,538.9500122,117.2889099,
450,78.62619781,464.8399963,91.73904419,480,77.08295441,350,127.902626,380,144.1857605,510,99.09765625,540,113.3689423,
451.0599976,79.21563721,465.8999939,89.55711365,481.0599976,76.54756165,351.0700073,129.1965637,381.0700073,143.459137,511.0599976,102.9328613,541.0200195,109.888031,
451.9599915,77.99195862,466.9599915,86.81965637,481.9599915,73.498703,352,128.4748993,382,146.4334717,511.9599915,104.3220367,542.0499878,108.0765839,
453.0299988,75.7410965,467.8699951,85.95155334,483.0299988,73.81194305,353.0700073,126.5464859,383.0700073,146.5803375,513.0300293,108.8189545,542.9400024,104.9909821,
453.9299927,74.96632385,468.9299927,84.20398712,483.9299927,72.18252563,354,125.771553,384,147.015213,513.9299927,111.1888885,543.9699707,102.3988647,
455,73.15458679,469.8399963,82.525177,485,70.79514313,355.0700073,123.9655228,385.0700073,147.0569,515,114.5932007,545,99.19346619,
456.0599976,72.84524536,470.8999939,82.12415314,486.0599976,69.78028107,356,120.8142548,386,147.1608429,516.0599976,117.8423767,546.0200195,95.02770996,
456.9599915,71.45458984,471.9599915,78.50318146,486.9599915,70.12772369,357.0700073,119.4500809,387.0700073,147.3262177,516.960022,118.7488098,547.0499878,92.92713928,
458.0299988,70.87479401,472.8699951,77.10901642,488.0299988,68.34388733,358,116.18116,388,148.8820038,518.0300293,121.2339325,547.9400024,91.71115112,
458.9299927,67.76457214,473.9299927,74.2095108,488.9299927,67.26009369,359.0700073,114.5134048,389.0700073,148.9104919,518.9299927,125.940094,548.9699707,87.33804321,
460,68.73551941,474.8399963,74.14532471,490,66.67443085,360,113.2371826,390,148.2225647,520,128.2862701,550,84.2066803,
461.0599976,66.01251984,475.8999939,73.15811157,491.0400085,66.15898895,361.0700073,110.3989944,391.0599976,147.8123627,521.039978,131.3363647,551.039978,82.42138672,
461.9599915,65.34527588,476.9599915,70.84343719,491.9400024,66.10372925,362,106.8027573,391.9599915,148.9814301,521.9400024,132.1533661,551.9400024,80.58422852,
463.0299988,65.45965576,477.8699951,68.80583954,492.980011,65.99668121,363.0700073,105.250061,393.0299988,149.3379059,522.9799805,134.3155365,552.9799805,77.56222534,
463.9299927,61.66694641,478.9299927,68.61529541,494.019989,65.75714111,364,102.750946,393.9299927,148.3293304,524.0200195,135.1134949,554.0200195,75.80557251,
465,62.29830933,479.8399963,66.25339508,495.0700073,64.84897614,365.0700073,102.7888947,395,149.1954346,525.0700073,138.6966248,555.0700073,74.52604675,
466.0599976,60.43804169,480.8999939,66.02656555,495.9700012,65.12080383,366,98.66039276,396.0599976,148.4100647,525.9699707,138.3225555,555.9699707,71.97816467,
466.9599915,58.71391296,481.9599915,64.38253021,497.0100098,65.80545044,367.0700073,96.05357361,396.9599915,146.9886932,527.0100098,139.9485626,557.0100098,70.84240723,
468.0299988,60.13311768,482.8699951,63.28227997,498.0499878,67.09147644,368,92.19841003,398.0299988,148.0725403,528.0499878,139.3039398,558.0499878,68.57124329,
468.9299927,56.09405518,483.9299927,59.99417114,498.9500122,68.38960266,369.0700073,89.32621002,398.9299927,148.1811981,528.9500122,140.2447052,558.9500122,66.6831665,
