CdSe 120 sec em420,,CdSe 120 sec em410,,CdSe 120 sec ex345,,CdSe 120 sec em425,,CdSe 120 sec em435,,CdSe 120 sec em445,,CdSe 120 sec em455,,CdSe 120 sec em465,,CdSe 120 sec ex365,,CdSe 120 sec ex335,,CdSe 120 sec em500,,CdSe 120 sec ex385,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
272,-1.157940626,272,-1.06897831,386.9200134,22.64343071,272,-0.4527406693,272,-0.9433066845,272,-0.505726099,272,-0.8402690887,272,-1.449648142,406.9200134,23.28696823,376.9200134,20.77723694,292.0299988,3.882562637,426.9200134,27.18691254,
273.0700073,-1.212598801,273.0700073,-1.166731119,387.8399963,22.86330032,273.0700073,-0.7095861435,273.0700073,-1.217879295,273.0700073,-0.5723235607,273.0700073,-1.004410267,273.0700073,-1.499897003,407.8399963,23.13356972,377.8399963,22.2034359,292.9599915,4.082686424,427.8399963,28.20663452,
274,-1.100254059,274,-1.201400042,388.9200134,24.71734047,274,-1.255230904,274,-1.058494329,274,-0.7909193039,274,-1.143168926,274,-1.670801163,408.9200134,24.97529221,378.9200134,22.77418327,294.0599976,4.60942173,428.9200134,28.76478195,
275.0700073,-1.323629379,275.0700073,-1.541150331,389.8399963,24.26182365,275.0700073,-1.101927757,275.0700073,-1.262344122,275.0700073,-1.235734224,275.0700073,-1.625783682,275.0700073,-1.797632933,409.8399963,26.16193199,379.8399963,23.96469498,295,5.088640213,429.8399963,29.49213028,
276,-1.576925278,276,-1.412752151,390.9200134,27.28409004,276,-1.24167037,276,-1.576634645,276,-1.116605759,276,-1.507109165,276,-1.998872519,410.8999939,27.67349052,380.9200134,24.5463028,295.9299927,5.899819374,430.8999939,30.03837204,
277.0700073,-1.751441479,277.0700073,-1.771420956,391.8399963,25.67736435,277.0700073,-1.649255991,277.0700073,-1.65061903,277.0700073,-1.347732544,277.0700073,-1.44120574,277.0700073,-2.040661335,411.9599915,26.84136009,381.8399963,25.1926651,297.0299988,5.833583832,431.9599915,31.3743515,
278,-1.5601964,278,-1.946341753,392.9200134,26.45281029,278,-1.425916195,278,-1.662021399,278,-1.420999289,278,-1.759444237,278,-1.990283728,412.8699951,28.20321083,382.9200134,26.78476334,297.9599915,6.672340393,432.8699951,31.41519547,
279.0700073,-1.652379751,279.0700073,-2.017426729,393.8399963,28.1135025,279.0700073,-1.47406888,279.0700073,-1.851403236,279.0700073,-1.480410814,279.0700073,-1.485325098,279.0700073,-1.971025586,413.9299927,29.44875526,383.8399963,27.31741714,299.0599976,6.710478783,433.9299927,32.82394791,
280,-1.807159662,280,-1.42316103,394.9200134,28.22763443,280,-1.775360823,280,-1.871667147,280,-1.373039246,280,-1.62980032,280,-1.796257854,414.8399963,30.82038307,384.9200134,28.57476616,300,7.306146622,434.8399963,32.80600357,
280.9299927,-1.367787838,280.9299927,-1.394634485,395.8399963,29.58358383,280.9299927,-1.459242821,280.9299927,-2.02419591,280.9299927,-1.141403198,280.9299927,-1.573718309,280.9299927,-2.012198448,415.8999939,31.40587425,385.8399963,29.56267548,301.0700073,7.77014637,435.8999939,33.07194901,
282.0299988,-1.405851841,282.0299988,-1.104938269,396.9200134,30.58174896,282.0299988,-1.43062973,282.0299988,-1.300816536,282.0299988,-1.111112118,282.0299988,-1.097879887,282.0299988,-1.137555361,416.9599915,32.44779968,386.9200134,30.29524803,302,8.434370041,436.9599915,33.55730057,
282.9599915,-1.026682615,282.9599915,-0.7905852795,397.8399963,30.77766418,282.9599915,-0.5813462734,282.9599915,-1.257196426,282.9599915,-0.481767416,282.9599915,-0.9416532516,282.9599915,-0.9994938374,417.8699951,33.0283699,387.8399963,30.49688148,303.0700073,9.536222458,437.8699951,33.67472458,
284.0599976,-0.2946920395,284.0599976,0.1562018394,398.9200134,31.82841492,284.0599976,-0.3743286133,284.0599976,-0.6832563877,284.0599976,-0.2386345863,284.0599976,-0.4853672981,284.0599976,-0.6075325012,418.9299927,33.28913879,388.9200134,30.2780056,304,9.307452202,438.9299927,35.13931274,
285,-0.07702112198,285,0.2051267624,399.8399963,32.09181976,285,-0.169552803,285,-0.355453968,285,-0.1620430946,285,-0.3838737011,285,-0.409457922,419.8399963,35.29305649,389.8399963,31.43901253,305.0700073,10.03025532,439.8399963,34.90223312,
285.9299927,0.6754970551,285.9299927,0.5616617203,400.9200134,33.72569656,285.9299927,0.3044233322,285.9299927,-0.2091927528,285.9299927,0.1534049511,285.9299927,0.0951859951,285.9299927,-0.05135130882,420.9200134,35.79416656,390.9200134,33.11076355,306,10.73846626,440.8999939,35.1896553,
287.0299988,0.7241411209,287.0299988,1.076457024,401.8399963,32.84762573,287.0299988,0.6642689705,287.0299988,0.1154456139,287.0299988,0.2780513763,287.0299988,0.3200478554,287.0299988,0.09351849556,421.8399963,36.36836624,391.8399963,34.4493103,307.0700073,11.40800095,441.9599915,35.10181427,
287.9599915,1.097657681,287.9599915,1.765653133,402.9200134,34.38350677,287.9599915,1.218445301,287.9599915,0.3926811218,287.9599915,0.5707554817,287.9599915,0.7487692833,287.9599915,0.6954238415,422.9200134,37.88498688,392.9200134,33.68751526,308,10.97669792,442.8699951,35.50684357,
289.0599976,1.59925127,289.0599976,2.018729687,403.8399963,34.78101349,289.0599976,1.639876366,289.0599976,1.036035061,289.0599976,1.3024683,289.0599976,0.9542160034,289.0599976,0.5316250324,423.8399963,37.02647018,393.8399963,35.0122757,309.0700073,12.08177471,443.9299927,36.0462265,
290,2.523388386,290,3.318428993,404.9200134,36.01560211,290,1.817800522,290,1.460149288,290,1.563777924,290,1.203556538,290,0.8261539936,424.9200134,38.49471664,394.9200134,36.10630417,310,12.39911747,444.8399963,36.14969635,
290.9299927,3.302941322,290.9299927,3.488663673,405.8399963,35.50501633,290.9299927,2.69144249,290.9299927,1.975553513,290.9299927,2.036054611,290.9299927,1.944304943,290.9299927,1.05255723,425.8399963,39.26283264,395.8399963,34.95137405,311.0700073,12.42147923,445.8999939,37.24945068,
292.0299988,3.573421478,292.0299988,4.357509613,406.9200134,35.49953461,292.0299988,3.583338261,292.0299988,2.371543884,292.0299988,2.407360554,292.0299988,2.14091444,292.0299988,1.800111532,426.9200134,39.83801651,396.9200134,36.39751434,312,13.01849842,446.9599915,36.88005829,
