CdSe sonochem 30min em420,,CdSe sonochem 30min ex345,,CdSe sonochem 30min em510,,CdSe sonochem 30min ex380,,CdSe sonochem 30min ex330,,CdSe sonochem 30min ex360,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
313.0700073,126.8142929,427.8399963,271.7926636,333.0700073,106.3360901,463.0299988,180.6267395,413.0299988,248.1217957,443.0299988,230.5620575,
314,129.9253235,428.9200134,274.1079712,334,108.495285,463.9299927,178.9191895,413.9299927,251.4788208,443.9299927,231.4115448,
315.0700073,138.3209229,429.8399963,267.8849182,335.0700073,112.279541,465,177.1894073,415,248.578186,445,229.6686707,
316,143.8223572,430.8999939,265.1002808,336,114.9733047,466.0599976,174.9001312,416.0599976,246.9334717,446.0599976,226.8500671,
317.0700073,149.3206787,431.9599915,263.8551941,337.0700073,118.8592453,466.9599915,173.8113861,416.9599915,245.8677673,446.9599915,226.22612,
318,157.2236023,432.8699951,260.9750977,338,120.0565948,468.0299988,173.7947083,418.0299988,241.1966248,448.0299988,225.8585968,
319.0700073,162.7154236,433.9299927,260.2287292,339.0700073,122.429245,468.9299927,169.6645508,418.9299927,243.0348816,448.9299927,225.2979279,
320,169.4149475,434.8399963,253.6076813,340,126.5382843,470,168.5319061,420,239.4266663,450,224.8243408,
320.9299927,175.7409668,435.8999939,253.0233307,341.0700073,132.8188171,471.0599976,166.5294647,421.0700073,233.614563,451.0599976,220.5965424,
322.0299988,184.1616211,436.9599915,253.8816071,342,133.5878754,471.9599915,165.8675385,422,236.5714417,451.9599915,222.2748413,
322.9599915,191.1481018,437.8699951,248.2899017,343.0700073,140.3052673,473.0299988,161.6993256,423.0700073,233.8818665,453.0299988,219.1244202,
324.0599976,197.860321,438.9299927,244.311142,344,140.3691559,473.9299927,161.4413605,424,229.392395,453.9299927,214.8288116,
325,203.1637268,439.8399963,245.4942474,345.0700073,143.6194305,475,160.2947845,425.0700073,225.6446228,455,215.3283386,
325.9299927,209.9332886,440.8999939,237.5091248,346,146.2545471,476.0599976,157.3536835,426,223.4515076,456.0599976,212.5451508,
