CdSe sonochem 180min ex330,,CdSe sonochem 180min ex330,,CdSe sonochem 180min ex345,,CdSe sonochem 180min ex360,,CdSe sonochem 180min em420,,CdSe sonochem 180min em460,,CdSe sonochem 180min ex385,,CdSe sonochem 180min em530,,CdSe sonochem 180min ex460,,CdSe sonochem 180min ex520,,CdSe sonochem 180min em535,,CdSe sonochem 180min ex460,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
389.0700073,3.288199425,389.0700073,3.30825758,403.8399963,5.380843163,418.9299927,7.413038254,289.0599976,-0.2386321127,289.0599976,-0.4704892933,443.9299927,10.45068455,319.0700073,4.508639812,518.9299927,38.01529694,578.9699707,-36.22404099,319.0700073,4.26206255,518.9299927,37.91957855,
390,3.057613611,390,3.503789902,404.9200134,5.399113178,420,7.562838078,290,-0.2068177462,290,-0.4511029422,444.8399963,10.78175259,320,4.695420742,520,39.81690598,580,-37.08727646,320,4.299550533,520,40.09793854,
391.0700073,3.413091183,391.0700073,3.771801472,405.8399963,5.688529015,421.0700073,7.898249149,290.9299927,-0.1461312175,290.9299927,-0.3718172312,445.8999939,11.09631538,320.9299927,4.856572151,521.039978,41.41393661,581.0200195,-37.60790634,320.9299927,5.122074604,521.039978,41.45412827,
392,3.637669563,392,3.483314991,406.9200134,5.626686096,422,7.872834682,292.0299988,-0.1395146847,292.0299988,-0.3416159749,446.9599915,11.58383274,322.0299988,5.572204113,521.9400024,43.15563202,582.0499878,-36.455513,322.0299988,5.010697842,521.9400024,42.79896545,
393.0700073,3.211587667,393.0700073,3.683327675,407.8399963,5.89806509,423.0700073,8.02985096,292.9599915,-0.1469439268,292.9599915,-0.3136581182,447.8699951,11.64201641,322.9599915,5.973038673,522.9799805,44.78420639,582.9400024,-37.2306366,322.9599915,5.118525028,522.9799805,44.92570877,
394,3.33530736,394,3.773094177,408.9200134,6.136657715,424,8.221752167,294.0599976,-0.006635546684,294.0599976,-0.2329676151,448.9299927,11.88507271,324.0599976,6.042221069,524.0200195,46.31654739,583.9699707,-37.67488098,324.0599976,5.702394009,524.0200195,46.44023132,
395.0700073,3.655844927,395.0700073,4.057734013,409.8399963,6.427216053,425.0700073,8.617405891,295,-0.02643668652,295,-0.2790110111,449.8399963,12.14066124,325,6.461065769,525.0700073,47.17250824,585,-37.90270233,325,6.015470028,525.0700073,47.21600342,
396,3.880975723,396,4.05340004,410.8999939,6.503176212,426,8.609220505,295.9299927,-0.02514207363,295.9299927,-0.2172127366,450.8999939,12.32075691,325.9299927,6.587578297,525.9699707,48.81125259,586.0200195,-38.13250732,325.9299927,6.743340969,525.9699707,48.05764008,
397.0700073,3.722767591,397.0700073,4.087465286,411.9599915,6.822431564,427.0700073,8.555421829,297.0299988,0.1552962065,297.0299988,-0.141677618,451.9599915,12.75450611,327.0299988,6.711756229,527.0100098,49.47879028,587.0499878,-38.22384262,327.0299988,6.180185795,527.0100098,49.3927002,
398,3.956465721,398,4.209818363,412.8699951,6.8764534,428,8.577687263,297.9599915,0.1993052959,297.9599915,-0.1897251606,452.8699951,12.78424454,327.9599915,7.109033108,528.0499878,50.36951447,587.9400024,-38.82801056,327.9599915,6.422581196,528.0499878,50.54386139,
399.0700073,4.150309086,399.0700073,4.398681641,413.9299927,7.176248074,429.0700073,8.705506325,299.0599976,0.2678764462,299.0599976,-0.06472986937,453.9299927,13.0606823,329.0599976,7.261008739,528.9500122,51.25408554,588.9699707,-38.6319046,329.0599976,7.352396488,528.9500122,51.13911438,
400,4.426867962,400,4.409621239,414.8399963,6.980492592,430,8.933738708,300,0.3170819879,300,0.0197994113,454.8399963,13.52708435,330,7.701320171,530,51.92387009,590,-38.69920731,330,7.301575184,530,51.36491776,
401.0700073,4.161757946,401.0700073,4.514927864,415.8999939,7.319942951,431.0599976,9.038051605,301.0700073,0.4023482203,301.0700073,0.09636747837,455.8999939,13.65172482,331.0700073,8.337068558,531.039978,52.43584824,591.0200195,-39.4560318,331.0700073,7.642047405,531.039978,52.18760681,
402,4.644190788,402,4.524483204,416.9599915,7.44159174,431.9599915,9.302949905,302,0.4350736737,302,0.1426599622,456.9599915,13.66639042,332,8.95615387,531.9400024,52.89957809,592.0499878,-39.44817352,332,7.376758099,531.9400024,51.53330612,
403.0700073,4.674292088,403.0700073,4.592223167,417.8699951,7.72688818,433.0299988,9.534310341,303.0700073,0.6421470046,303.0700073,0.30752033,457.8699951,13.81979275,333.0700073,9.173467636,532.9799805,53.27561951,592.9400024,-39.84964371,333.0700073,8.741928101,532.9799805,52.58430481,
404,4.950539112,404,4.783283234,418.9299927,7.69560051,433.9299927,9.521821976,304,0.6334654689,304,0.3330760598,458.9299927,13.86197376,334,9.818180084,534.0200195,53.37073517,593.9699707,-39.64081573,334,9.390254974,534.0200195,53.258564,
405.0700073,4.622117519,405.0700073,4.793801308,419.8399963,7.678556919,435,9.787899971,305.0700073,0.7674437165,305.0700073,0.531088531,459.8399963,14.01622295,335.0700073,9.990678787,535.0700073,53.3339119,595,-39.71901703,335.0700073,9.678987503,535.0700073,53.43504715,
406,5.387322426,406,5.177156448,420.9200134,7.753545284,436.0599976,9.720321655,306,0.950311482,306,0.5066226125,460.8999939,14.0712204,336,10.25634766,535.9699707,53.15219498,596.0200195,-40.23114777,336,9.998352051,535.9699707,53.40855789,
407.0700073,4.838089943,407.0700073,4.99229908,421.8399963,7.918879986,436.9599915,9.995161057,307.0700073,1.068720818,307.0700073,0.7204508185,461.9599915,14.25671387,337.0700073,11.08313751,537.0100098,53.52018738,597.0499878,-39.94532013,337.0700073,10.54127312,537.0100098,52.52651978,
408,4.962116241,408,5.345921993,422.9200134,7.954868793,438.0299988,9.837016106,308,1.253838539,308,0.9023396373,462.8699951,14.57279587,338,11.54066467,538.0499878,53.06523895,597.9400024,-40.17218781,338,10.57035255,538.0499878,52.53796387,
409.0700073,4.880129337,409.0700073,5.381307602,423.8399963,8.232913971,438.9299927,9.740814209,309.0700073,1.210962534,309.0700073,0.8056785464,463.9299927,14.30156136,339.0700073,11.94246292,538.9500122,52.66786575,598.9699707,-41.3324852,339.0700073,11.29533958,538.9500122,51.74562073,
410,5.749126434,410,5.452196121,424.9200134,8.375715256,440,9.916327477,310,1.469604015,310,0.9522375464,464.8399963,14.34774113,340,12.25421715,540,52.29668808,600,-41.54875183,340,11.76633453,540,51.50590134,
411.0599976,4.933930397,411.0599976,5.423638821,425.8399963,8.293055534,441.0599976,10.39881134,311.0700073,1.596390009,311.0700073,1.164747953,465.8999939,14.34269047,341.0700073,12.96504593,541.0200195,51.74152374,601.0200195,-40.56428528,341.0700073,11.90561104,541.0200195,51.77649689,
411.9599915,5.331468582,411.9599915,5.334337234,426.9200134,8.153784752,441.9599915,10.42648315,312,1.785179853,312,1.136827707,466.9599915,14.18958187,342,12.94910812,542.0499878,50.69168091,602.0499878,-41.80200195,342,13.40200233,542.0499878,50.138134,
413.0299988,4.847243786,413.0299988,5.726169586,427.8399963,8.351362228,443.0299988,10.26432228,313.0700073,1.914119005,313.0700073,1.239066362,467.8699951,13.93242836,343.0700073,13.30678749,542.9400024,50.63277054,602.9400024,-41.13019562,343.0700073,13.26785088,542.9400024,50.1542244,
413.9299927,4.806539059,413.9299927,5.486841202,428.9200134,8.25440979,443.9299927,10.57435703,314,1.924474478,314,1.349302292,468.9299927,13.91807842,344,14.10329628,543.9699707,49.64002609,603.9699707,-41.48868561,344,13.4804039,543.9699707,50.14183044,
415,5.353238106,415,5.889797688,429.8399963,8.139397621,445,10.62761688,315.0700073,2.12463975,315.0700073,1.469087124,469.8399963,13.85061169,345.0700073,14.57661819,545,49.27264404,605,-41.42576599,345.0700073,13.85302353,545,49.12065125,
416.0599976,5.59935379,416.0599976,5.42266655,430.8999939,8.412197113,446.0599976,10.63802528,316,2.371397257,316,1.601269007,470.8999939,13.74399757,346,14.85834312,546.0200195,48.02386856,606.0200195,-42.06157303,346,14.19521523,546.0200195,48.63034821,
416.9599915,5.055375576,416.9599915,5.774151802,431.9599915,8.178222656,446.9599915,10.78234482,317.0700073,2.427206755,317.0700073,1.836936235,471.9599915,13.37141895,347.0700073,15.3113308,547.0499878,47.23403549,607.0499878,-42.49635315,347.0700073,14.09355354,547.0499878,47.37302017,
418.0299988,5.709041595,418.0299988,5.760806561,432.8699951,8.540269852,448.0299988,11.15915108,318,2.583534956,318,1.807188272,472.8699951,13.30910587,348,15.40926743,547.9400024,46.55155563,607.9400024,-42.69756317,348,15.69438934,547.9400024,46.7111702,
