CdSe 60 sec ex380,,CdSe 60 sec em520,,CdSe 60 sec ex400,,CdSe 60 sec em445,,CdSe 60 sec ex375,,CdSe 60 sec ex330,,CdSe 60 sec em410,,CdSe 60 sec ex340,,CdSe 60 sec em425,,CdSe 60 sec ex350,,CdSe 60 sec em455,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
420,14.5380764,300,2.920311928,440,14.05794239,270,-0.7236266136,414.8399963,12.99644375,370,8.098577499,270,0.2156927586,380,9.585427284,270,-0.4449489117,390,9.300098419,270,-0.8881816864,
421.0700073,14.96090508,301.0700073,3.206485271,441.0599976,14.63800526,271.0700073,-0.8017865419,415.8999939,13.45096779,371.0700073,8.229231834,271.0700073,0.1404520273,381.0700073,9.801679611,271.0700073,-0.4770748615,391.0700073,10.41379642,271.0700073,-0.8861076832,
422,15.77071953,302,3.455805302,441.9599915,15.20874882,272,-1.005857348,416.9599915,14.71691322,372,7.996198654,272,-0.08642446995,382,10.38053513,272,-0.4390852451,392,11.06936836,272,-1.187237501,
423.0700073,15.21652031,303.0700073,3.767822742,443.0299988,15.51061535,273.0700073,-1.025565624,417.8699951,14.40217781,373.0700073,8.401942253,273.0700073,0.01327800751,383.0700073,10.70332623,273.0700073,-0.6445629597,393.0700073,11.63461208,273.0700073,-0.9248183966,
424,16.7989769,304,3.753482342,443.9299927,15.76178455,274,-1.029604077,418.9299927,16.25403404,374,9.5343256,274,-0.03510665894,384,11.52692223,274,-0.6508989334,394,12.55467701,274,-1.183618426,
425.0700073,16.49428558,305.0700073,4.415632725,445,16.06425095,275.0700073,-1.020290732,419.8399963,15.95688438,375.0700073,10.00666809,275.0700073,-0.2854219675,385.0700073,12.14034462,275.0700073,-0.6699333191,395.0700073,11.78951073,275.0700073,-1.116039157,
426,18.13171387,306,4.432147503,446.0599976,17.49861526,276,-1.263004422,420.9200134,16.7602272,376,10.31675625,276,-0.292959094,386,12.75644779,276,-0.9400202036,396,13.38022423,276,-1.286636472,
427.0700073,18.14050484,307.0700073,4.318254471,446.9599915,17.96449661,277.0700073,-1.468144894,421.8399963,17.98744583,377.0700073,11.10283089,277.0700073,-0.3493489027,387.0700073,12.20337391,277.0700073,-0.8488380909,397.0700073,13.45380306,277.0700073,-1.43313396,
428,18.19800377,308,4.905858994,448.0299988,17.39744186,278,-1.504575014,422.9200134,17.97629738,378,11.19333553,278,-0.3727525473,388,13.77792168,278,-1.049032211,398,14.50601387,278,-1.589368463,
429.0700073,19.21175575,309.0700073,5.685770988,448.9299927,18.12372971,279.0700073,-1.499591589,423.8399963,18.41145897,379.0700073,11.86995888,279.0700073,-0.4419026375,389.0700073,14.43096828,279.0700073,-0.9505307674,399.0700073,14.11433029,279.0700073,-1.326881886,
430,19.91033173,310,5.797157288,450,19.16937256,280,-1.501438141,424.9200134,18.96361923,380,11.56822968,280,-0.4385114908,390,14.29870129,280,-1.221951365,400,14.46767426,280,-1.473458886,
431.0599976,19.05135727,311.0700073,5.833566666,451.0599976,19.06051254,280.9299927,-1.398122072,425.8399963,19.63511086,381.0700073,12.94899273,280.9299927,-0.2116285563,391.0700073,15.40270805,280.9299927,-1.23546803,401.0700073,14.91001892,280.9299927,-1.574163795,
431.9599915,20.41818428,312,5.877655506,451.9599915,19.47855759,282.0299988,-1.209493756,426.9200134,19.40789223,382,12.54539871,282.0299988,-0.3063746691,392,14.6461935,282.0299988,-0.8936247826,402,16.1581955,282.0299988,-1.534057617,
433.0299988,20.55693436,313.0700073,5.863253593,453.0299988,19.86748505,282.9599915,-1.352024674,427.8399963,19.50936699,383.0700073,14.3283844,282.9599915,-0.1212973595,393.0700073,16.60686111,282.9599915,-1.089478135,403.0700073,16.30734825,282.9599915,-1.284223914,
433.9299927,20.64407921,314,7.010472298,453.9299927,20.44365692,284.0599976,-1.143815994,428.9200134,20.61417007,384,13.98115349,284.0599976,-0.1010366678,394,16.73799706,284.0599976,-0.7988883257,404,16.8204422,284.0599976,-1.290730119,
435,21.24392509,315.0700073,6.586974144,455,20.98720932,285,-1.108921409,429.8399963,21.17093086,385.0700073,14.21563244,285,0.1447966099,395.0700073,16.05216217,285,-0.6627149582,405.0700073,16.85101318,285,-1.032119036,
436.0599976,22.35981369,316,6.787809372,456.0599976,20.62695313,285.9299927,-0.9116815329,430.8999939,20.91266251,386,15.38559914,285.9299927,0.18892169,396,17.41504288,285.9299927,-0.6546754837,406,17.20095634,285.9299927,-1.116117954,
