CdSe sonochem 60min em420,,CdSe sonochem 60min ex345,,CdSe sonochem 60min em510,,CdSe sonochem 60min ex385,,CdSe sonochem 60min ex330,,CdSe sonochem 60min ex360,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
311.0700073,85.96880341,425.8399963,203.5667877,331.0700073,101.6001511,465.8999939,126.6348572,411.0599976,182.6946259,441.0599976,175.9842072,
312,87.50701904,426.9200134,203.0429993,332,102.8633041,466.9599915,128.075882,411.9599915,182.0685883,441.9599915,175.4267273,
313.0700073,92.04393005,427.8399963,202.5298462,333.0700073,106.1366501,467.8699951,126.2424316,413.0299988,182.637558,443.0299988,174.0565643,
314,96.14041901,428.9200134,198.1658173,334,109.1827087,468.9299927,123.0666962,413.9299927,182.9082642,443.9299927,173.2589722,
315.0700073,102.565567,429.8399963,199.900589,335.0700073,112.6443405,469.8399963,121.9813843,415,180.0353699,445,173.8400116,
316,106.9663544,430.8999939,197.3169403,336,118.1664047,470.8999939,120.8370056,416.0599976,181.5363464,446.0599976,171.1355286,
317.0700073,112.0262909,431.9599915,197.1285553,337.0700073,119.77314,471.9599915,120.9592896,416.9599915,180.6602783,446.9599915,172.8365784,
318,114.2860336,432.8699951,191.998764,338,123.7398453,472.8699951,118.0686188,418.0299988,180.3763275,448.0299988,171.8910828,
319.0700073,117.9071045,433.9299927,191.5365448,339.0700073,124.135704,473.9299927,118.4174194,418.9299927,176.2708435,448.9299927,170.700531,
320,128.1546631,434.8399963,190.1796112,340,127.9908218,474.8399963,117.4301147,420,175.3756714,450,170.9180145,
320.9299927,131.1230316,435.8999939,189.1571808,341.0700073,132.301239,475.8999939,115.8161774,421.0700073,173.3466492,451.0599976,168.0303345,
322.0299988,137.36409,436.9599915,184.4937744,342,133.87883,476.9599915,113.6189423,422,172.4299622,451.9599915,165.2596741,
322.9599915,140.6769867,437.8699951,185.3243713,343.0700073,136.7789459,477.8699951,112.5219574,423.0700073,169.4691925,453.0299988,165.7155304,
324.0599976,146.6427155,438.9299927,182.7291565,344,140.9616394,478.9299927,112.0774231,424,168.2180023,453.9299927,163.1498718,
325,152.346756,439.8399963,181.961792,345.0700073,141.9744263,479.8399963,111.5656281,425.0700073,163.8401184,455,164.5073547,
325.9299927,156.1273193,440.8999939,177.8491211,346,145.7759705,480.8999939,111.372757,426,167.4068604,456.0599976,159.8958435,
327.0299988,160.8939362,441.9599915,181.1264038,347.0700073,147.3434296,481.9599915,110.2353821,427.0700073,164.4467163,456.9599915,158.2848511,
327.9599915,162.6829376,442.8699951,176.6514587,348,152.4294586,482.8699951,109.6421967,428,160.4985199,458.0299988,157.3005524,
329.0599976,166.9013824,443.9299927,172.8875275,349.0700073,151.6558228,483.9299927,110.2317657,429.0700073,158.2975159,458.9299927,157.3036194,
330,173.9319611,444.8399963,172.5583954,350,153.4717102,484.8399963,109.3673859,430,156.7821045,460,153.4888763,
331.0700073,178.3705902,445.8999939,171.21492,351.0700073,156.9339447,485.8999939,110.9723663,431.0599976,156.0676575,461.0599976,152.7376404,
332,183.8560333,446.9599915,168.5075684,352,158.9376373,486.9599915,110.8550568,431.9599915,155.2909241,461.9599915,152.0505829,
333.0700073,188.4234314,447.8699951,166.6162872,353.0700073,161.2323914,487.8699951,111.8766022,433.0299988,150.6198578,463.0299988,149.0798492,
334,190.8540955,448.9299927,162.8250122,354,162.0840607,488.9299927,114.1106415,433.9299927,148.0613708,463.9299927,143.7561798,
335.0700073,193.9682922,449.8399963,164.0313568,355.0700073,162.1818237,489.8399963,113.7820282,435,143.0816956,465,143.1155701,
336,194.6966553,450.8999939,158.993576,356,163.5701599,490.8900146,116.9993439,436.0599976,145.1461029,466.0599976,141.712738,
337.0700073,198.0185699,451.9599915,162.0489044,357.0700073,166.938858,491.9400024,120.4198608,436.9599915,141.7584534,466.9599915,139.4301147,
338,204.7806549,452.8699951,158.9027557,358,166.9700165,492.980011,121.3330231,438.0299988,140.6260834,468.0299988,137.9720306,
339.0700073,204.3141785,453.9299927,152.7985229,359.0700073,173.3222961,493.8800049,123.5614319,438.9299927,140.2636566,468.9299927,133.5600281,
340,206.0576172,454.8399963,154.1973724,360,171.1863403,494.9200134,127.0238037,440,134.0601044,470,132.0149841,
341.0700073,206.0241089,455.8999939,152.0715485,361.0700073,174.8618011,495.9700012,130.0985107,441.0599976,134.5067596,471.0599976,129.316391,
342,206.6889191,456.9599915,147.4979706,362,174.6593323,496.8599854,133.8868256,441.9599915,131.1507416,471.9599915,128.3011627,
343.0700073,210.1852722,457.8699951,144.0400848,363.0700073,175.8903809,497.9100037,139.6447296,443.0299988,128.6359406,473.0299988,125.0996704,
344,210.9960632,458.9299927,143.2625732,364,173.2128906,498.9500122,143.2243347,443.9299927,127.1801529,473.9299927,122.3305206,
345.0700073,209.8891144,459.8399963,143.9685822,365.0700073,176.3909149,499.8500061,146.9173126,445,124.9151688,475,118.9707031,
346,209.4032745,460.8999939,138.0287018,366,176.6985168,500.8900146,152.3193817,446.0599976,125.2240677,476.0599976,118.3125458,
347.0700073,203.8700256,461.9599915,138.5149231,367.0700073,178.8582306,501.9400024,155.5496674,446.9599915,119.5724716,476.9599915,116.8032074,
348,204.5102081,462.8699951,133.8129578,368,178.3721619,502.980011,159.8481445,448.0299988,119.4955368,478.0299988,117.0111847,
349.0700073,203.173584,463.9299927,131.486908,369.0700073,179.0500031,503.8800049,163.8505859,448.9299927,121.5219574,478.9299927,115.17276,
350,204.4228058,464.8399963,129.8236694,370,187.8610229,504.9200134,169.1312714,450,118.6750336,480,112.3911133,
351.0700073,202.1434784,465.8999939,126.4568634,371.0700073,187.6051941,505.9700012,171.8390198,451.0599976,114.7917175,481.0599976,111.2140961,
352,198.299118,466.9599915,124.7341919,372,187.0963745,506.8599854,175.5466766,451.9599915,114.7276077,481.9599915,109.6351395,
353.0700073,194.3790741,467.8699951,122.432785,373.0700073,189.875824,507.9100037,178.7116852,453.0299988,111.7750473,483.0299988,108.2579498,
354,190.5349731,468.9299927,116.697937,374,190.120575,508.9500122,178.8071136,453.9299927,107.3762131,483.9299927,108.5981293,
355.0700073,188.5525818,469.8399963,117.246933,375.0700073,190.8417969,509.8500061,181.1195679,455,107.643486,485,106.3746033,
356,186.1464844,470.8999939,111.7848511,376,190.1426849,510.8999939,181.66185,456.0599976,106.3551178,486.0599976,107.1732254,
357.0700073,184.4772491,471.9599915,112.828598,377.0700073,191.513382,511.9599915,184.1313629,456.9599915,102.3592911,486.9599915,107.1685867,
358,178.7288666,472.8699951,110.9546509,378,191.1040192,512.8699951,183.1479034,458.0299988,99.77142334,488.0299988,109.0425262,
359.0700073,175.6233978,473.9299927,108.8302307,379.0700073,190.9407654,513.9299927,184.9632568,458.9299927,98.98397827,488.9299927,109.9142685,
360,174.8913574,474.8399963,105.4498291,380,192.7547913,514.8400269,183.8294983,460,98.74383545,490,109.7028046,
361.0700073,169.4922638,475.8999939,105.2243958,381.0700073,192.8575134,515.9000244,184.1231689,461.0599976,95.57067108,491.0400085,109.9998703,
362,167.5895233,476.9599915,101.7857666,382,190.596344,516.960022,182.2141266,461.9599915,93.71881866,491.9400024,113.0110474,
363.0700073,162.2644196,477.8699951,100.3849487,383.0700073,191.6244507,517.8699951,179.8667145,463.0299988,90.46931458,492.980011,116.3962555,
364,160.5862122,478.9299927,97.61839294,384,193.3300934,518.9299927,176.5837708,463.9299927,90.27362061,494.019989,115.7959595,
365.0700073,155.9538422,479.8399963,96.4249115,385.0700073,192.0173035,519.8400269,175.5046844,465,90.15251923,495.0700073,120.6824036,
366,152.2552338,480.8999939,95.70533752,386,192.8411255,520.8900146,172.9544067,466.0599976,87.54286194,495.9700012,121.4349365,
367.0700073,145.5486298,481.9599915,96.01063538,387.0700073,192.54245,521.9400024,168.4160614,466.9599915,83.50941467,497.0100098,125.9966431,
368,143.2666016,482.8699951,91.25491333,388,191.2083893,522.9799805,168.246994,468.0299988,81.80768585,498.0499878,128.757309,
369.0700073,137.7908783,483.9299927,90.83950806,389.0700073,188.7756653,523.8800049,166.7920685,468.9299927,81.00876617,498.9500122,131.4303436,
370,138.7783203,484.8399963,93.39382935,390,189.1937714,524.9199829,164.2369995,470,78.09228516,500,136.0123291,
371.0700073,133.3877258,485.8999939,89.58935547,391.0599976,190.2236481,525.9699707,160.5943909,471.0599976,78.48309326,501.0400085,139.9233246,
372,131.6459961,486.9599915,91.79626465,391.9599915,190.5303192,526.8599854,158.2167358,471.9599915,76.42321777,501.9400024,143.72966,
373.0700073,127.532547,487.8699951,89.31434631,393.0299988,188.7867889,527.9099731,155.545105,473.0299988,76.53324127,502.980011,146.0384216,
374,122.1091919,488.9299927,92.60447693,393.9299927,187.8977509,528.9500122,152.2688141,473.9299927,71.92532349,504.019989,147.3273468,
375.0700073,119.6271667,489.8399963,91.46173096,395,187.0410156,529.8499756,152.7499542,475,70.50982666,505.0700073,153.6114502,
376,114.9674072,490.8900146,92.52455139,396.0599976,185.3374634,530.8900146,149.2459412,476.0599976,71.23257446,505.9700012,154.532074,
377.0700073,113.2533646,491.9400024,95.31971741,396.9599915,183.7989655,531.9400024,144.6435394,476.9599915,67.79195404,507.0100098,160.615509,
378,106.454689,492.980011,98.03561401,398.0299988,181.0290985,532.9799805,143.4743805,478.0299988,68.28722382,508.0499878,159.6199951,
379.0700073,104.9634705,493.8800049,98.5630188,398.9299927,181.7945709,533.8800049,141.0274963,478.9299927,66.17541504,508.9500122,162.0933533,
380,101.6509781,494.9200134,99.33088684,400,180.9446716,534.9199829,137.9292755,480,63.69322205,510,164.1423645,
381.0700073,97.54621124,495.9700012,101.3309326,401.0700073,181.0283813,535.9699707,136.4941254,481.0599976,64.90866852,511.0599976,166.5437927,
382,91.7762146,496.8599854,103.0335388,402,178.2582245,536.8599854,135.1771545,481.9599915,64.6842804,511.9599915,164.1013031,
383.0700073,90.29841614,497.9100037,107.3985901,403.0700073,178.0907593,537.9099731,131.4546814,483.0299988,62.99738312,513.0300293,164.7826843,
384,85.73679352,498.9500122,112.1687012,404,177.0203552,538.9500122,129.3938446,483.9299927,62.16033173,513.9299927,165.0183411,
385.0700073,81.77671814,499.8500061,114.4981842,405.0700073,176.1835022,539.8499756,127.2050323,485,61.30461121,515,164.8050079,
386,80.12776947,500.8900146,117.3348389,406,174.6907806,540.8800049,124.8747253,486.0599976,60.94317627,516.0599976,166.5495148,
387.0700073,76.33824158,501.9400024,121.6044922,407.0700073,174.3088226,541.9099731,121.7777863,486.9599915,62.54138947,516.960022,164.3424683,
388,72.61826324,502.980011,121.740799,408,172.7796783,542.9400024,121.7594147,488.0299988,62.11107635,518.0300293,160.4990387,
389.0700073,68.40286255,503.8800049,126.5762329,409.0700073,171.2763824,543.9699707,118.9203796,488.9299927,62.84870911,518.9299927,160.3149567,
390,66.32885742,504.9200134,129.3368378,410,169.2176819,544.8499756,119.6004486,490,61.63618469,520,155.9607086,
391.0599976,63.05686569,505.9700012,131.1725769,411.0599976,167.2852325,545.8800049,115.600235,491.0400085,63.49330139,521.039978,155.9266357,
391.9599915,58.98266983,506.8599854,133.4428253,411.9599915,168.7348785,546.9099731,114.8407898,491.9400024,66.85894775,521.9400024,152.3514862,
393.0299988,56.63756943,507.9100037,132.9545441,413.0299988,165.891037,547.9400024,110.3033295,492.980011,67.51578522,522.9799805,148.9338074,
393.9299927,53.87726593,508.9500122,135.9936066,413.9299927,164.706955,548.9699707,110.8686829,494.019989,69.41294861,524.0200195,148.0783081,
395,50.31060028,509.8500061,137.9915314,415,162.6738892,549.8499756,108.9502563,495.0700073,69.64028168,525.0700073,145.8641815,
396.0599976,47.32860565,510.8999939,140.5817413,416.0599976,163.2928009,550.8900146,106.2974701,495.9700012,70.4488678,525.9699707,143.9275208,
396.9599915,44.50860977,511.9599915,138.780304,416.9599915,164.1592255,551.9400024,105.2364807,497.0100098,74.98294067,527.0100098,142.8680267,
398.0299988,42.30659485,512.8699951,140.9345093,418.0299988,162.2172394,552.9799805,103.3172302,498.0499878,75.27036285,528.0499878,139.9996033,
398.9299927,40.04461288,513.9299927,141.320755,418.9299927,161.8073883,553.8800049,103.7706299,498.9500122,79.37281036,528.9500122,138.0342102,
400,36.06537247,514.8400269,138.6432648,420,161.9406586,554.9199829,101.2484741,500,81.30821991,530,133.2296753,
401.0700073,33.16262817,515.9000244,136.6054077,421.0700073,161.3376007,555.9699707,99.26367188,501.0400085,84.0662384,531.039978,132.6176147,
402,30.51327896,516.960022,138.040863,422,161.4785461,556.8599854,96.84591675,501.9400024,85.35650635,531.9400024,130.9275665,
403.0700073,28.89797592,517.8699951,137.0228577,423.0700073,160.9116974,557.9099731,96.0559082,502.980011,86.71694946,532.9799805,128.6154022,
404,27.33463669,518.9299927,134.443161,424,159.3269043,558.9500122,95.39093018,504.019989,89.99068451,534.0200195,125.27948,
405.0700073,24.95664978,519.8400269,135.5459747,425.0700073,158.8774109,559.8499756,93.97344971,505.0700073,90.01409912,535.0700073,121.77005,
406,23.79293823,520.8900146,130.581955,426,157.4551239,560.8900146,91.11169434,505.9700012,94.85492706,535.9699707,121.5817261,
407.0700073,21.26328087,521.9400024,129.8246918,427.0700073,157.2622223,561.9400024,90.65272522,507.0100098,95.52774811,537.0100098,118.4700928,
408,19.83416557,522.9799805,127.6302643,428,155.1508179,562.9799805,89.12542725,508.0499878,99.62896729,538.0499878,117.6794128,
409.0700073,17.92964935,523.8800049,123.3639984,429.0700073,154.6701813,563.8800049,89.09591675,508.9500122,98.42774963,538.9500122,116.9962006,
410,16.595047,524.9199829,122.0639954,430,152.22052,564.9199829,86.63175964,510,101.3796158,540,111.6515808,
,,525.9699707,121.9440002,431.0599976,151.6016693,565.9699707,85.11941528,511.0599976,99.72220612,541.0200195,109.7597427,
,,526.8599854,119.6774597,431.9599915,150.6514587,566.8599854,84.90000916,511.9599915,102.4581757,542.0499878,109.6616745,
,,527.9099731,116.3122559,433.0299988,150.387146,567.9099731,84.01716614,513.0300293,101.8809586,542.9400024,108.396698,
,,528.9500122,114.5349274,433.9299927,149.2800751,568.9500122,81.19261169,513.9299927,100.8047256,543.9699707,105.6822128,
,,529.8499756,114.0747375,435,149.7766266,569.8499756,79.78845215,515,101.8670425,545,105.5685577,
,,530.8900146,111.0120544,436.0599976,147.5503693,570.8800049,79.34791565,516.0599976,102.5536194,546.0200195,103.3506393,
,,531.9400024,110.2501526,436.9599915,148.272995,571.9099731,76.6156311,516.960022,101.802803,547.0499878,100.6812363,
,,532.9799805,108.0166931,438.0299988,147.4974976,572.9400024,77.26612854,518.0300293,98.57212067,547.9400024,97.92941284,
,,533.8800049,105.1050568,438.9299927,147.0473633,573.9699707,74.75648499,518.9299927,98.14688873,548.9699707,96.68499756,
,,534.9199829,106.178894,440,147.0144501,574.8499756,73.86129761,520,97.12226868,550,97.99225616,
,,535.9699707,102.6991577,441.0599976,147.1078491,575.8800049,73.69493103,521.039978,95.36734772,551.039978,96.74008942,
,,536.8599854,102.3376465,441.9599915,145.8324585,576.9099731,71.1620636,521.9400024,95.29637909,551.9400024,94.72758484,
,,537.9099731,101.5645294,443.0299988,145.9584045,577.9400024,70.75248718,522.9799805,94.70433807,552.9799805,92.68466949,
,,538.9500122,97.46772766,443.9299927,144.851181,578.9699707,69.18495178,524.0200195,93.21598053,554.0200195,90.1395874,
,,539.8499756,96.62852478,445,144.6732788,579.8499756,69.11343384,525.0700073,89.58574677,555.0700073,90.77765656,
,,540.8800049,95.31758118,446.0599976,143.9216461,580.8800049,68.73605347,525.9699707,90.24372864,555.9699707,89.33370972,
,,541.9099731,92.91281128,446.9599915,144.4394073,581.9099731,66.84690857,527.0100098,87.37978363,557.0100098,88.82606506,
,,542.9400024,93.57546997,448.0299988,141.5692291,582.9400024,64.91261292,528.0499878,87.56485748,558.0499878,86.27318573,
,,543.9699707,91.11399841,448.9299927,142.323822,583.9699707,65.12005615,528.9500122,83.44831085,558.9500122,84.77400208,
,,544.8499756,88.49649048,450,141.4125671,584.8499756,63.68671036,530,83.58104706,560,83.33187103,
,,545.8800049,88.30801392,451.0599976,140.9567413,585.8800049,63.07110214,531.039978,81.90942383,561.039978,82.16514587,
,,546.9099731,86.92741394,451.9599915,140.3417358,586.9099731,61.08952713,531.9400024,80.29660797,561.9400024,80.13206482,
,,547.9400024,85.91270447,453.0299988,139.9966431,587.9400024,60.10647964,532.9799805,81.0318222,562.9799805,79.22318268,
,,548.9699707,83.7815094,453.9299927,139.9580536,588.9699707,60.01777267,534.0200195,78.71704865,564.0200195,78.51808929,
,,549.8499756,84.04838562,455,139.7494507,589.8499756,58.55066299,535.0700073,75.76712799,565.0700073,76.92910004,
,,550.8900146,82.44673157,456.0599976,139.2125549,590.8800049,57.41285324,535.9699707,78.83098602,565.9699707,75.71750641,
,,551.9400024,81.0579071,456.9599915,138.3342133,591.9099731,56.17690659,537.0100098,75.27908325,567.0100098,73.48058319,
,,552.9799805,77.97921753,458.0299988,139.0841217,592.9400024,55.52494431,538.0499878,75.34640503,568.0499878,73.16053009,
,,553.8800049,77.74720764,458.9299927,139.8584595,593.9699707,54.38295364,538.9500122,72.13126373,568.9500122,72.75004578,
,,554.9199829,78.44367981,460,138.8385162,594.8499756,53.18806839,540,71.26943207,570,73.11645508,
,,555.9699707,76.07575989,461.0599976,138.3201294,595.8800049,53.2365303,541.0200195,70.77082825,571.0200195,72.28607178,
,,556.8599854,76.11140442,461.9599915,138.0979462,596.9099731,52.817173,542.0499878,70.76406097,572.0499878,69.50184631,
,,557.9099731,75.02670288,463.0299988,137.508255,597.9400024,51.23903275,542.9400024,67.87368011,572.9400024,68.20757294,
